decision,label_family,count
A7FFCORE65A_NUMERIC_CLUE,L0_raw_forward_return,1
A7FFCORE65A_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
A7FFCORE65A_NUMERIC_CLUE,L3_liquidity_tier_relative_return,1
A7FFCORE65A_NUMERIC_CLUE,L5_vol_adjusted_return,1
A7FFCORE65A_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,7
HOLD_A7FFCORE65A_CONTROL_DOMINATED,L0_raw_forward_return,28
HOLD_A7FFCORE65A_CONTROL_DOMINATED,L1_cross_sectional_relative_return,28
HOLD_A7FFCORE65A_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,20
HOLD_A7FFCORE65A_CONTROL_DOMINATED,L5_vol_adjusted_return,27
HOLD_A7FFCORE65A_CONTROL_DOMINATED,L7_ranked_future_return,9
HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,24
HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,24
HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,27
HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,29
HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,36
HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,L0_raw_forward_return,43
HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,43
HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,48
HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,39
HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,L7_ranked_future_return,44
