semantic_pair,decision,count
basis_premium_like,A7FFCORE65A_RANK_LABEL_DIAGNOSTIC_CLUE,1
basis_premium_like,HOLD_A7FFCORE65A_CONTROL_DOMINATED,8
basis_premium_like,HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,12
basis_premium_like,HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,19
basis_premium_like|basis_premium_like,A7FFCORE65A_RANK_LABEL_DIAGNOSTIC_CLUE,2
basis_premium_like|basis_premium_like,HOLD_A7FFCORE65A_CONTROL_DOMINATED,36
basis_premium_like|basis_premium_like,HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,46
basis_premium_like|basis_premium_like,HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,56
basis_premium_like|price_like,A7FFCORE65A_NUMERIC_CLUE,2
basis_premium_like|price_like,A7FFCORE65A_RANK_LABEL_DIAGNOSTIC_CLUE,1
basis_premium_like|price_like,HOLD_A7FFCORE65A_CONTROL_DOMINATED,50
basis_premium_like|price_like,HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,47
basis_premium_like|price_like,HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,100
basis_premium_like|volatility_like,A7FFCORE65A_NUMERIC_CLUE,2
basis_premium_like|volatility_like,A7FFCORE65A_RANK_LABEL_DIAGNOSTIC_CLUE,3
basis_premium_like|volatility_like,HOLD_A7FFCORE65A_CONTROL_DOMINATED,18
basis_premium_like|volatility_like,HOLD_A7FFCORE65A_ONE_BAR_LAG_FRAGILE,35
basis_premium_like|volatility_like,HOLD_A7FFCORE65A_PRE_MAY_UNSTABLE,42
