split,semantic_bucket,motif_bucket,candidate_count,positive_count,control_clean_count,strict_gate_rows,median_spread,median_cost_adjusted_spread,median_control_ratio
recent,liquidity_like|volatility_like,liquidity_shock,28,6,8,4,6.261327762975038e-05,-0.00093738672237015,1.5506919482176404
recent,taker_flow_like|basis_premium_like,gated_sign,24,3,4,3,0.0004672479010585,-0.0005327520989414,3.4969372826584855
validation,liquidity_like|volatility_like,liquidity_shock,28,7,7,2,0.00026913328497485,-0.00073086671502505,1.3518656165291782
recent,taker_flow_like|open_interest_like,flow_x_leverage,24,2,3,1,-8.964394557186208e-05,-0.00108964394557185,3.2222312860489866
validation,taker_flow_like|basis_premium_like,gated_sign,24,2,8,1,0.00057402289852715,-0.00042597710147275003,1.5733591411206969
validation,liquidity_like,single,20,1,2,1,0.00010085288568085053,-0.00089914711431905,5.8513592028097765
recent,open_interest_like,single,4,1,1,1,9.863135741971492e-05,-0.0009013686425802,7.420088627611856
recent,open_interest_like|positioning_like,delta_x_divergence,28,0,4,0,0.0001135779026621,-0.0008864220973377999,5.21800931769743
train,liquidity_like|volatility_like,liquidity_shock,28,4,5,0,-0.00014751673117234998,-0.00114751673117235,1.5109504450359619
train,open_interest_like|positioning_like,delta_x_divergence,28,0,2,0,0.0002926971308068,-0.0007073028691931,1.9303604665696235
validation,open_interest_like|positioning_like,delta_x_divergence,28,1,0,0,3.9629442898841364e-05,-0.0009603705571011,5.046281281365497
train,taker_flow_like|basis_premium_like,gated_sign,24,0,0,0,-4.4380012498467246e-05,-0.0010443800124984,7.829014296042579
train,taker_flow_like|open_interest_like,flow_x_leverage,24,6,3,0,-6.469033318236272e-06,-0.0010064690333182,3.509696324253885
validation,taker_flow_like|open_interest_like,flow_x_leverage,24,4,3,0,-5.5344973831185875e-05,-0.00105534497383115,1.905135590673732
recent,liquidity_like,single,20,0,0,0,0.00012688225650436772,-0.0008731177434955499,3.3943012328690605
train,liquidity_like,single,20,0,6,0,-0.00061519101173505,-0.00161519101173505,2.0448123866083163
train,open_interest_like,single,4,0,0,0,-0.00021028981164395,-0.00121028981164395,6.677735862227511
validation,open_interest_like,single,4,0,0,0,-0.00013929463621664999,-0.00113929463621665,3.204869884064135
