signal_name,field_family,neutralization_mode,valid_row_share,valid_rows,min_group_size
momentum_24h,price,global,0.9910849994154098,339070,1
momentum_24h,price,age_neutral,0.9902841108383024,338796,5
momentum_24h,price,coarse_latent_neutral,0.9068163217584473,310240,5
momentum_24h,price,raw_latent_neutral,0.6353940137963288,217381,5
reversal_24h,price,global,0.9910849994154098,339070,1
reversal_24h,price,age_neutral,0.9902841108383024,338796,5
reversal_24h,price,coarse_latent_neutral,0.9068163217584473,310240,5
reversal_24h,price,raw_latent_neutral,0.6353940137963288,217381,5
liquidity_rank,liquidity,global,0.9916578978136327,339266,1
liquidity_rank,liquidity,age_neutral,0.9908570092365252,338992,5
liquidity_rank,liquidity,coarse_latent_neutral,0.9073307611364434,310416,5
liquidity_rank,liquidity,raw_latent_neutral,0.6358646089091546,217542,5
low_liquidity,liquidity,global,0.9916578978136327,339266,1
low_liquidity,liquidity,age_neutral,0.9908570092365252,338992,5
low_liquidity,liquidity,coarse_latent_neutral,0.9073307611364434,310416,5
low_liquidity,liquidity,raw_latent_neutral,0.6358646089091546,217542,5
realized_vol,volatility,global,0.9894189173389454,338500,1
realized_vol,volatility,age_neutral,0.9886151058108266,338225,5
realized_vol,volatility,coarse_latent_neutral,0.9062872676253946,310059,5
realized_vol,volatility,raw_latent_neutral,0.6349146498304689,217217,5
low_realized_vol,volatility,global,0.9894189173389454,338500,1
low_realized_vol,volatility,age_neutral,0.9886151058108266,338225,5
low_realized_vol,volatility,coarse_latent_neutral,0.9062872676253946,310059,5
low_realized_vol,volatility,raw_latent_neutral,0.6349146498304689,217217,5
funding_abs,funding,global,0.5896585993218754,201734,1
funding_abs,funding,age_neutral,0.5887758681164503,201432,5
funding_abs,funding,coarse_latent_neutral,0.5009616508827313,171389,5
funding_abs,funding,raw_latent_neutral,0.30040921314158775,102776,5
basis_abs,basis,global,0.9899479714719981,338681,1
basis_abs,basis,age_neutral,0.9891470828948907,338407,5
basis_abs,basis,coarse_latent_neutral,0.9057991348065006,309892,5
basis_abs,basis,raw_latent_neutral,0.6358646089091546,217542,5
premium_abs,basis,global,0.9910206944931603,339048,1
premium_abs,basis,age_neutral,0.9902198059160529,338774,5
premium_abs,basis,coarse_latent_neutral,0.9068806266806968,310262,5
premium_abs,basis,raw_latent_neutral,0.6355781597100433,217444,5
oi_change_24h,positioning,global,0.9891646206009588,338413,1
oi_change_24h,positioning,age_neutral,0.988369577925874,338141,5
oi_change_24h,positioning,coarse_latent_neutral,0.905442534783117,309770,5
oi_change_24h,positioning,raw_latent_neutral,0.6346778907985502,217136,5
oi_x_price_move,positioning,global,0.9891646206009588,338413,1
oi_x_price_move,positioning,age_neutral,0.988369577925874,338141,5
oi_x_price_move,positioning,coarse_latent_neutral,0.905442534783117,309770,5
oi_x_price_move,positioning,raw_latent_neutral,0.6346778907985502,217136,5
age_x_liquidity,age_interaction,global,0.9916578978136327,339266,1
age_x_liquidity,age_interaction,age_neutral,0.9908570092365252,338992,5
age_x_liquidity,age_interaction,coarse_latent_neutral,0.9073307611364434,310416,5
age_x_liquidity,age_interaction,raw_latent_neutral,0.6358646089091546,217542,5
age_x_volatility,age_interaction,global,0.9894189173389454,338500,1
age_x_volatility,age_interaction,age_neutral,0.9886151058108266,338225,5
age_x_volatility,age_interaction,coarse_latent_neutral,0.9062872676253946,310059,5
age_x_volatility,age_interaction,raw_latent_neutral,0.6349146498304689,217217,5
