variant,split,finite_ratio_count,dominance_count,median_control_abs_ratio,max_control_abs_ratio
wrong_lag_future_24h,test_2025H2,11,9,1.3200953456270126,17.018194916343592
wrong_lag_future_24h,recent_oos_2026JanApr,11,8,5.183606340347613,40.17264510761729
wrong_lag_future_24h,validation_2025H1,11,7,1.795854909723881,9.067724443036772
wrong_lag_stale_168h,validation_2025H1,11,7,1.2613378460350209,2.1931165359280254
wrong_lag_stale_168h,test_2025H2,11,6,1.3835173925540694,18.98123109437153
symbol_shuffle,validation_2025H1,11,6,1.197379684463903,5.077466446723966
symbol_shuffle,test_2025H2,11,4,0.8463233186062619,31.566621477477078
wrong_lag_stale_168h,recent_oos_2026JanApr,11,4,0.3350814899472004,21.39540244934084
time_shuffle,recent_oos_2026JanApr,11,4,0.33011614324224964,7.051885153880498
symbol_shuffle,recent_oos_2026JanApr,11,3,0.4451377828740729,28.25331563959014
same_family_random,recent_oos_2026JanApr,11,3,0.8210787179265021,18.905862076287857
time_shuffle,validation_2025H1,11,2,0.46744991890145327,1.9074352130811365
same_family_random,test_2025H2,11,2,0.19273990866059237,1.2014139834321693
time_shuffle,test_2025H2,11,1,0.368772650926998,2.7345651906743877
same_family_random,validation_2025H1,11,0,0.15841514487034927,0.8514526259512336
