candidate_id,semantic_bucket,motif_bucket,clue_rows,best_abs_corr,best_original_score,min_non_sign_control_ratio
a7ffcore5_f408fcf92eed3e3cea,liquidity_like|volatility_like,safe_div_abs,9,0.0115759511629764,0.8250897819144711,0.2894137141031
a7ffcore5_b14219288b18bf0b0c,liquidity_like|volatility_like,safe_div_abs,9,0.005416929937387,0.3327451129569743,0.31735811367395256
a7ffcore5_fe6ab6fb0843878019,liquidity_like|volatility_like,safe_div_abs,7,0.0098956922244502,0.1219853567675567,0.117540469208229
a7ffcore5_1f8c481e4c787863b8,liquidity_like|volatility_like,safe_div_abs,7,0.0052063087883757,0.0726521665935074,0.22861792930148964
a7ffcore5_f414f2621b03d718f6,open_interest_like|price_like,mean_reversion_gate,7,0.0070141530873141,0.6974343466508008,0.33640106304574524
a7ffcore5_291837028072641a1c,liquidity_like|volatility_like,safe_div_abs,7,0.0094772210020453,0.0094772210020453,0.45240878836110165
a7ffcore5_89d456568ed9db84c6,liquidity_like|volatility_like,liquidity_shock,7,0.0071439195806037,0.0071439195806037,0.4544969621762753
a7ffcore5_55d479db927df299ef,liquidity_like|volatility_like,liquidity_shock,7,0.0090934593466963,0.0090934593466963,0.45632473177818805
a7ffcore5_e49456a170f19eb240,liquidity_like|volatility_like,liquidity_shock,6,0.0084988330728883,0.0084988330728883,0.239752650253877
a7ffcore5_0df84c13bb1ed0cc5e,liquidity_like|volatility_like,safe_div_abs,6,0.0060432581202158,0.1887481018121899,0.25064100075234114
a7ffcore5_4a1f7c7ea34e49f970,liquidity_like|volatility_like,liquidity_shock,6,0.009658269749572,0.009658269749572,0.28623240116157966
a7ffcore5_0d36019628d9445207,liquidity_like|volatility_like,safe_div_abs,6,0.0101760357187751,0.0101760357187751,0.29392444020317177
a7ffcore5_2785be37d31870a000,open_interest_like|price_like,mean_reversion_gate,6,0.0091111075420305,0.4219122682496605,0.3331680731469889
a7ffcore5_0460706c8101b16f2f,liquidity_like|volatility_like,liquidity_shock,6,0.0093236738745036,0.0093236738745036,0.3373761991136754
a7ffcore5_6f285061a4d5fa2922,liquidity_like|volatility_like,liquidity_shock,6,0.0088007880725204,0.0088007880725204,0.3443975364085868
a7ffcore5_11903004dcea88bab8,liquidity_like|volatility_like,liquidity_shock,6,0.0069309799032963,0.0069309799032963,0.35739619115452076
a7ffcore5_134c181d2d0d0a7a0d,liquidity_like|volatility_like,liquidity_shock,6,0.0068801074422032,0.0068801074422032,0.3743228694359157
a7ffcore5_056264aa1859f3ac7b,liquidity_like|volatility_like,liquidity_shock,6,0.0072177761297734,0.0072177761297734,0.39832643766321496
a7ffcore5_347cfd7114f3a1ae41,liquidity_like|volatility_like,liquidity_shock,6,0.0071799044697795,0.0071799044697795,0.45321729063936067
a7ffcore5_fdc24ebd7772041b83,open_interest_like|price_like,mean_reversion_gate,6,0.0083905479193651,0.4219122682496605,0.4909868407198404
