label_id,horizon,rows,repaired_numeric_clues,original_numeric_clues,median_original_control_ratio,median_non_sign_control_ratio,median_sign_flip_ratio
L3_liquidity_tier_relative_return,4,2048,114,0,2.7050512354590133,2.7050512354590337,1.0
L1_cross_sectional_relative_return,4,2048,101,0,2.75670992382847,2.7567099238284607,1.0
L1_cross_sectional_relative_return,24,2048,92,0,1.8451207855349703,1.84512078553497,1.0
L5_vol_adjusted_return,8,2048,88,0,1.698839469061088,1.698839469061089,1.0
L3_liquidity_tier_relative_return,8,2048,88,0,2.6255784251859597,2.6255784251859575,1.0
L1_cross_sectional_relative_return,8,2048,85,0,2.860869636759126,2.86086963675914,1.0
L3_liquidity_tier_relative_return,24,2048,74,0,2.1169546283222993,2.1169546283223353,1.0
L5_vol_adjusted_return,4,2048,69,0,2.0205044002654873,2.0205044002654877,1.0
L3_liquidity_tier_relative_return,1,2048,67,0,3.7055984732596823,3.70559847325974,1.0
L1_cross_sectional_relative_return,1,2048,63,0,2.9690386949535874,2.969038694953593,1.0
L5_vol_adjusted_return,24,2048,59,0,2.0900087135795675,2.090008713579568,1.0
L5_vol_adjusted_return,1,2048,42,0,3.196292554598349,3.19629255459836,1.0
L7_ranked_future_return,24,2048,0,0,1.0025091731392295,1.0025091731392297,1.0
L7_ranked_future_return,4,2048,0,0,1.0277398278435517,1.027739827843551,1.0
L7_ranked_future_return,8,2048,0,0,1.0333381546768967,1.0333381546768963,1.0
L7_ranked_future_return,1,2048,0,0,1.6976360732389701,1.6976360732389701,1.0
L0_raw_forward_return,24,2048,0,0,1.8416430167947164,1.8416430167947024,1.0
L0_raw_forward_return,8,2048,0,0,1.9361845135296847,1.936184513529689,1.0
L0_raw_forward_return,4,2048,0,0,1.9906913704622409,1.9906913704622402,1.0
L0_raw_forward_return,1,2048,0,0,2.830771825686019,2.8307718256860426,1.0
