field_name,source_family,status,usage_note,present,non_null_rate,min_symbol_rate,median_symbol_rate,max_symbol_rate
agg_signed_flow_z_24h,aggtrades_flow,state_interaction_allowed,signed aggressor flow shock; not standalone alpha,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_flow_imbalance_notional_24h,aggtrades_flow,state_interaction_allowed,24h buy/sell pressure balance,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_large_notional_share_24h,aggtrades_large_trade,state_interaction_allowed,"large trade share, capped as context",True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_cross_symbol_signed_flow_share,aggtrades_cross_symbol,state_interaction_allowed,core3 relative signed flow share,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
agg_notional_accel_4h_vs_24h,aggtrades_activity,state_interaction_allowed,activity acceleration; standalone blocked,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_flow_accel_4h_vs_24h,aggtrades_flow,state_interaction_allowed,signed flow acceleration,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_large_notional_share_4h,aggtrades_large_trade,state_interaction_allowed,shorter large-trade pressure,True,0.9987571107605526,0.9987571107605526,0.9987571107605526,0.9987571107605526
agg_cross_symbol_large_notional_share,aggtrades_cross_symbol,state_interaction_allowed,large trade cross-symbol share,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
mark_index_basis_change_24h,basis_market_structure,interaction_context_allowed,basis dynamic context,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
premium_index_change_24h,basis_market_structure,interaction_context_allowed,premium dynamic context,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
open_interest_change_24h,positioning,interaction_context_allowed,positioning pressure context,True,0.9981516006182577,0.9974186146565324,0.998470290166834,0.9985658970314069
top_long_short_position_ratio_zscore_168h,positioning_crowding,interaction_context_allowed,crowding context,True,0.9989005210574119,0.9989005210574119,0.9989005210574119,0.9989005210574119
flow_pressure_score_v1,derived_existing_flow,benchmark_context_only,"existing derived flow benchmark, not independent source",True,0.9979922558439696,0.9979922558439696,0.9979922558439696,0.9979922558439696
