candidate_id,lane,production_family,expression,horizon,split,orientation,train_ic,active_hours,net10,net20,lag1_net10,turnover_mean,gross_exposure_mean
a7y1_core12_metrics_F1_oi_state_interaction_24_f0b406c8bad6,core12_metrics,F1_oi_state_interaction,"Mul(ZScore(open_interest_change_24h),Rank(realized_vol_24))",24,train_2024,1.0,0.0018121315674008188,8748,-2.8818821698670876,-4.151548836533754,-3.4802722740883363,0.14454310868245296,0.9959016393442623
a7y1_core12_metrics_F1_oi_state_interaction_24_f0b406c8bad6,core12_metrics,F1_oi_state_interaction,"Mul(ZScore(open_interest_change_24h),Rank(realized_vol_24))",24,validation_2025H1,1.0,0.0018121315674008188,4343,2.5675584415549535,1.928225108221619,2.6889108839271634,0.14717618170656843,0.9997697974217311
a7y1_core12_metrics_F1_oi_state_interaction_24_f0b406c8bad6,core12_metrics,F1_oi_state_interaction,"Mul(ZScore(open_interest_change_24h),Rank(realized_vol_24))",24,recent_oos_2025H2_2026Apr,1.0,0.0018121315674008188,7292,1.5963148364989301,0.6209815031655959,1.295371948944699,0.13368055555555555,0.9994517543859649
a7y1_core12_metrics_F1_oi_state_interaction_24_f0b406c8bad6,core12_metrics,F1_oi_state_interaction,"Mul(ZScore(open_interest_change_24h),Rank(realized_vol_24))",24,fresh_may_2026,1.0,0.0018121315674008188,480,0.15670941429801996,0.09670941429801988,0.13066818359389568,0.11881188118811879,0.9504950495049505
a7y1_core3_agg_metrics_F3_metrics_crowding_x_aggflow_24_a1460b56acfb,core3_agg_metrics,F3_metrics_crowding_x_aggflow,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(agg_flow_imbalance_notional_24h))",24,train_2024,1.0,,8751,11.376802971185066,10.604802971185062,11.021941977169032,0.08788706739526411,0.9962431693989071
a7y1_core3_agg_metrics_F3_metrics_crowding_x_aggflow_24_a1460b56acfb,core3_agg_metrics,F3_metrics_crowding_x_aggflow,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(agg_flow_imbalance_notional_24h))",24,validation_2025H1,1.0,,4344,1.165655192276715,0.7006551922767152,1.0858349740783502,0.10704419889502763,1.0
a7y1_core3_agg_metrics_F3_metrics_crowding_x_aggflow_24_a1460b56acfb,core3_agg_metrics,F3_metrics_crowding_x_aggflow,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(agg_flow_imbalance_notional_24h))",24,recent_oos_2025H2_2026Apr,1.0,,7294,0.6518744078144558,0.012374407814454536,0.4635624311577673,0.08765076754385964,0.9997258771929824
a7y1_core3_agg_metrics_F3_metrics_crowding_x_aggflow_24_a1460b56acfb,core3_agg_metrics,F3_metrics_crowding_x_aggflow,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(agg_flow_imbalance_notional_24h))",24,fresh_may_2026,1.0,,480,0.6714515237423024,0.6414515237423022,0.6451856053409888,0.0594059405940594,0.9504950495049505
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,F4_oi_x_aggflow,"Mul(ZScore(open_interest_change_24h),Rank(agg_cross_symbol_signed_flow_share))",24,train_2024,1.0,,8745,2.95860468528897,1.3056046852889687,2.121945795514021,0.18818306010928962,0.9955601092896175
a7y1_core3_agg_metrics_F4_oi_x_aggflow_24_348654b50bf4,core3_agg_metrics,F4_oi_x_aggflow,"Mul(ZScore(open_interest_change_24h),Rank(agg_cross_symbol_signed_flow_share))",24,validation_2025H1,1.0,,4342,0.41755130308356203,-0.41994869691643877,0.36762358531683126,0.19279465930018416,0.9995395948434622
