split,semantic_bucket,motif_bucket,candidate_count,positive_rows,control_clean_rows,median_cost_adjusted_spread,median_control_ratio
recent,taker_flow_like|open_interest_like,flow_x_leverage,25,9,4,-0.0008676372313539,2.230289396581893
train,taker_flow_like|open_interest_like,flow_x_leverage,25,9,3,-0.0008641588528367,1.9223661431843504
train,liquidity_like|volatility_like,liquidity_shock,25,8,10,-0.0010744883669855,1.1738573805307035
recent,open_interest_like|positioning_like,delta_x_divergence,25,8,4,-0.0009070027422523,3.0717702828356392
validation,liquidity_like|volatility_like,liquidity_shock,25,8,2,-0.0007929219337793,2.368306698767878
train,open_interest_like|positioning_like,delta_x_divergence,25,5,5,-0.0007526913352984,2.159102494390833
recent,taker_flow_like|basis_premium_like,gated_sign,25,5,4,-0.0003189989257071,2.7327359356177428
validation,taker_flow_like|open_interest_like,flow_x_leverage,25,5,1,-0.001214158095452,2.644650243705946
train,taker_flow_like|basis_premium_like,gated_sign,25,4,1,-0.0009232623165006,5.236041944727049
validation,liquidity_like,single,23,4,1,-0.0011267438163326,6.214382706057141
validation,taker_flow_like|basis_premium_like,gated_sign,25,3,6,-0.0004826996147446,1.6264192178744004
recent,liquidity_like|volatility_like,liquidity_shock,25,3,5,-0.0008696528565152,1.769777885722304
validation,open_interest_like|positioning_like,delta_x_divergence,25,3,0,-0.000697159225056,2.70846865201515
recent,open_interest_like,single,5,2,1,-0.0006677540772699,3.44798391551792
train,liquidity_like,single,23,1,4,-0.0017197220111314,3.7746229940297047
validation,open_interest_like,single,5,0,2,-0.0011423169271405,1.3830569215796948
train,open_interest_like,single,5,0,1,-0.0014099584729869,3.64713416995338
recent,liquidity_like,single,23,0,0,-0.0010277314279933,3.5572054376641944
