symbol,track,tier,rows,timestamp_min,timestamp_max,common_window_rows,common_window_missing_hours,duplicate_keys,gap_count,listing_policy,ready_for_common_window
BTCUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ETHUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
SOLUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
BNBUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
XRPUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
DOGEUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ADAUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
LINKUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
AVAXUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
LTCUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
BCHUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
SUIUSDT,baseline_core12_existing,core12_existing,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ALGOUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
CELOUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ACHUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
APEUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ARUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ATOMUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
CHZUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
DASHUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
GMXUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
LRCUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
MAGICUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
MASKUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
NEARUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
SEIUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
UNIUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
YFIUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
ZECUSDT,primary_core48_top36_addition,core48_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
BLURUSDT,primary_core48_top36_addition,midcap_candidate,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,18612,0,0,0,continuous_from_2024_01,True
