family_id,field_or_group,source_contract,field_class,pit_policy,allowed_for_historical_dry_generation
F0_OI_delta_price_interaction,open_interest_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F0_OI_delta_price_interaction,open_interest_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F0_OI_delta_price_interaction,open_interest_value_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F0_OI_delta_price_interaction,open_interest_value_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F0_OI_delta_price_interaction,trade_close|mark_close|index_close,binance_market_history,raw_source,timestamp_plus_1h_primary,True
F1_OI_basis_premium_interaction,premium_close|premium_close_bps,binance_premium_history,raw_source,timestamp_plus_1h_primary,True
F1_OI_basis_premium_interaction,mark_index_basis_bps|mark_trade_basis_bps|binance_internal_mark_index_basis_bps,binance_market_history,derived_historical,timestamp_plus_1h_primary,True
F2_OI_funding_crowding_interaction,funding_rate,binance_funding_history,raw_source,timestamp_plus_1h_primary,True
F2_OI_funding_crowding_interaction,funding_rate_abs_168h|funding_rate_mean_168h,a7ak_lv1_derived,derived_rolling,timestamp_plus_1h_primary,True
F3_positioning_divergence,global_long_short_account_ratio_last|global_long_short_account_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F3_positioning_divergence,top_long_short_account_ratio_last|top_long_short_account_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F3_positioning_divergence,top_long_short_position_ratio_last|top_long_short_position_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F4_OI_taker_flow_interaction,taker_buy_sell_volume_ratio_last|taker_buy_sell_volume_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True
F4_OI_taker_flow_interaction,taker_buy_quote_volume|kline_taker_buy_quote_share,binance_market_history,raw_source_or_derived,timestamp_plus_1h_primary,True
F5_OI_upper_regime_interaction,R4_leverage_crowding_state|R5_basis_premium_dislocation_state|R6_positioning_crowding_state|R10_stress_proxy_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,True
F5_OI_upper_regime_interaction,R0_market_trend_state|R2_market_breadth_state|R3_liquidity_cycle_state|R9_alt_vs_major_dispersion_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,True
F6_OI_latent_state_interaction,raw_latent_state_id|listing_age_days|liquidity_rank_active_universe,a7ak_lv1_latent,train_only_or_observable_state,timestamp_plus_1h_primary,True
F6_OI_latent_state_interaction,meme_contract_group|is_multiplier_contract|is_major|liquidity_tier,a7ak_taxonomy,observable_taxonomy,timestamp_plus_1h_primary,True
