field_id,rows,valid_rows,non_null_ratio,pre2024_non_null_ratio,top2024_non_null_ratio,mean,variance,minimum,maximum,assets_with_time_variation,field_family,value_type,unit,sparse_semantics,observable_lag_hours,lineage_ok,economic_role,current_runtime_baseline,admission_status,rejection_reason
account_position_divergence,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,-0.9410808523247994,0.9445339104078181,-12.60622825,4.593874359999999,276,account_position_divergence,RATIO,dimensionless,False,1,True,crowding divergence,True,ADMITTED,
active_universe_size,2549139,2549139,1.0,1.0,1.0,40.710926708978995,4477.086725110214,1.0,176.0,176,cross_asset_market_state,STATE,assets,False,1,True,observable active-universe context,False,ADMITTED,
age_percentile_active_universe,2549139,2549139,1.0,1.0,1.0,0.8697258172269169,0.05380218615123944,0.005681818181818182,1.0,176,listing_age_context,UNIT_INTERVAL,dimensionless,False,1,True,point-in-time maturity context,False,ADMITTED,
funding_rate,2549139,986939,0.3871656272961184,0.9999192330127582,0.16931385462436768,5.29314323276312e-05,4.80642423084759e-07,-0.03,0.00495539,276,funding,RATIO,dimensionless,True,1,True,funding state,False,ADMITTED,
global_long_short_account_ratio_last,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,2.458179558105451,1.0214896375161704,0.18748605,17.9700816,276,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,True,ADMITTED,
global_long_short_account_ratio_mean,2549139,2546299,0.9988858983366541,0.9987077282041311,0.9989492430136093,2.4576382125211,1.0184532802871455,0.20198175583333333,17.58063134083333,276,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,False,ADMITTED,
history_length_hours,2549139,2549139,1.0,1.0,1.0,3133.7549196022655,7506008.258001426,1.0,8784.0,276,listing_age_context,AGE,hours,False,1,True,point-in-time maturity context,False,ADMITTED,
hours_since_funding,2549139,668536,0.26225953155163373,0.9999192330127582,0.0,3.4578017959529017,5.314665973226312,0.0,8.0,176,other,RATIO,dimensionless,False,1,True,registered observable interaction input,False,REJECTED,TWO_SEGMENT_MATERIALIZATION_FAILED;NON_NULL_OR_TIME_VARIATION_GATE;NO_ECONOMIC_ROLE
index_close,2549139,2548395,0.9997081367473488,1.0,0.999604370851278,344.6015211074381,17739156.24158745,0.00011731,108260.41617021,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,REJECTED,EQUIVALENT_TO:trade_close
index_high,2549139,2548395,0.9997081367473488,1.0,0.999604370851278,345.87523026021984,17863133.006742947,0.00012044,108319.72638298,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,ADMITTED,
index_low,2549139,2548395,0.9997081367473488,1.0,0.999604370851278,343.2232693724159,17605184.803226996,0.00011068,107139.66957447,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,ADMITTED,
index_open,2549139,2548395,0.9997081367473488,1.0,0.999604370851278,344.5755951587308,17736116.743229482,0.00011731,108256.12851064,276,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,ADMITTED,
listing_age_days,2549139,2549139,1.0,1.0,1.0,245.57080006610948,24446.852768048295,0.0,549.9583333333334,276,listing_age_context,AGE,days,False,1,True,point-in-time maturity context,False,ADMITTED,
