symbol,timestamp,raw_funding_rate,funding_rate_state_last_ffill_8h,funding_rate_update_age_hours,funding_rate_delta_state_24h,funding_state_x_basis_delta
1000BONKUSDT,2024-01-01T00:00:00+00:00,0.00019961,0.00019961,0.0,,
1000BONKUSDT,2024-01-01T08:00:00+00:00,0.00024704,0.00024704,0.0,,
1000BONKUSDT,2024-01-01T16:00:00+00:00,0.00036748,0.00036748,0.0,,
1000BONKUSDT,2024-01-02T00:00:00+00:00,0.00028561,0.00028561,0.0,8.6e-05,-0.0003723654856809855
1000BONKUSDT,2024-01-02T08:00:00+00:00,0.00042175,0.00042175,0.0,0.00017470999999999996,-0.000610383663672817
1000BONKUSDT,2024-01-02T16:00:00+00:00,0.00036605,0.00036605,0.0,-1.4300000000000185e-06,2.9440194040882987e-06
1000BONKUSDT,2024-01-03T00:00:00+00:00,0.00045586,0.00045586,0.0,0.00017025,0.0008502970200990089
1000BONKUSDT,2024-01-03T08:00:00+00:00,9.655e-05,9.655e-05,0.0,-0.0003252,0.0004962616711160698
1000BONKUSDT,2024-01-03T16:00:00+00:00,5e-05,5e-05,0.0,-0.00031604999999999996,0.0016580701216669777
1000BONKUSDT,2024-01-04T00:00:00+00:00,5e-05,5e-05,0.0,-0.00040585999999999997,0.002037063259120076
1000BONKUSDT,2024-01-04T08:00:00+00:00,5e-05,5e-05,0.0,-4.655e-05,5.152454813095952e-05
1000BONKUSDT,2024-01-04T16:00:00+00:00,5e-05,5e-05,0.0,0.0,0.0
1000FLOKIUSDT,2024-01-01T00:00:00+00:00,0.00043392,0.00043392,0.0,,
1000FLOKIUSDT,2024-01-01T08:00:00+00:00,0.0001,0.0001,0.0,,
1000FLOKIUSDT,2024-01-01T16:00:00+00:00,0.00053603,0.00053603,0.0,,
1000FLOKIUSDT,2024-01-02T00:00:00+00:00,0.00070901,0.00070901,0.0,0.00027509,0.004365892144769535
1000FLOKIUSDT,2024-01-02T08:00:00+00:00,0.00061031,0.00061031,0.0,0.0005103099999999999,-0.0006641405509520013
1000FLOKIUSDT,2024-01-02T16:00:00+00:00,0.0007636,0.0007636,0.0,0.00022757000000000007,-0.00020089259464358235
