symbol,timestamp,raw_funding_rate,funding_rate_state_last_ffill_8h,funding_rate_update_age_hours,funding_rate_delta_state_24h,funding_state_x_basis_delta
1000FLOKIUSDT,2024-01-03T00:00:00+00:00,0.00032534,0.00032534,0.0,-0.00038367,-0.00018168754709327271
1000FLOKIUSDT,2024-01-03T08:00:00+00:00,0.00055104,0.00055104,0.0,-5.926999999999994e-05,-9.988047616810565e-05
1000FLOKIUSDT,2024-01-03T16:00:00+00:00,0.0001,0.0001,0.0,-0.0006636,0.011604489477919385
1000FLOKIUSDT,2024-01-04T00:00:00+00:00,0.0001,0.0001,0.0,-0.00022534000000000003,0.006611997370723501
1000FLOKIUSDT,2024-01-04T08:00:00+00:00,0.0001,0.0001,0.0,-0.00045104000000000005,0.009149422372932555
1000FLOKIUSDT,2024-01-04T16:00:00+00:00,-8.082e-05,-8.082e-05,0.0,-0.00018082,0.002118582502907289
1000LUNCUSDT,2024-01-01T00:00:00+00:00,0.00031326,0.00031326,0.0,,
1000LUNCUSDT,2024-01-01T08:00:00+00:00,0.00038097,0.00038097,0.0,,
1000LUNCUSDT,2024-01-01T16:00:00+00:00,0.00054042,0.00054042,0.0,,
1000LUNCUSDT,2024-01-02T00:00:00+00:00,0.00103456,0.00103456,0.0,0.0007212999999999999,0.006673792012679156
1000LUNCUSDT,2024-01-02T08:00:00+00:00,0.00100213,0.00100213,0.0,0.0006211599999999999,0.005133529696851346
1000LUNCUSDT,2024-01-02T16:00:00+00:00,0.00091335,0.00091335,0.0,0.00037292999999999994,-0.0002530435781037198
1000LUNCUSDT,2024-01-03T00:00:00+00:00,0.00068277,0.00068277,0.0,-0.00035178999999999994,0.0024235697681913733
1000LUNCUSDT,2024-01-03T08:00:00+00:00,0.00052196,0.00052196,0.0,-0.0004801699999999999,0.0021757316883578297
1000LUNCUSDT,2024-01-03T16:00:00+00:00,0.0001,0.0001,0.0,-0.0008133499999999999,0.016959372663711877
1000LUNCUSDT,2024-01-04T00:00:00+00:00,-8.206e-05,-8.206e-05,0.0,-0.00076483,0.019432300683060604
1000LUNCUSDT,2024-01-04T08:00:00+00:00,-0.00013969,-0.00013969,0.0,-0.0006616500000000001,0.018390569151690947
1000LUNCUSDT,2024-01-04T16:00:00+00:00,-9.005e-05,-9.005e-05,0.0,-0.00019004999999999998,-7.185163826177415e-05
1000PEPEUSDT,2024-01-01T00:00:00+00:00,0.00034512,0.00034512,0.0,,
1000PEPEUSDT,2024-01-01T08:00:00+00:00,0.00038936,0.00038936,0.0,,
1000PEPEUSDT,2024-01-01T16:00:00+00:00,0.00070219,0.00070219,0.0,,
1000PEPEUSDT,2024-01-02T00:00:00+00:00,0.00082394,0.00082394,0.0,0.00047882,0.001569538501698002
1000PEPEUSDT,2024-01-02T08:00:00+00:00,0.00069666,0.00069666,0.0,0.0003073,0.003580347373540778
1000PEPEUSDT,2024-01-02T16:00:00+00:00,0.00089842,0.00089842,0.0,0.00019623000000000004,0.00046152186693908655
1000PEPEUSDT,2024-01-03T00:00:00+00:00,0.00057212,0.00057212,0.0,-0.00025182000000000004,0.00042498567555117187
1000PEPEUSDT,2024-01-03T08:00:00+00:00,0.00068141,0.00068141,0.0,-1.5249999999999964e-05,8.982964902192893e-05
1000PEPEUSDT,2024-01-03T16:00:00+00:00,0.0001,0.0001,0.0,-0.00079842,0.0097808863555253
1000PEPEUSDT,2024-01-04T00:00:00+00:00,0.0001,0.0001,0.0,-0.00047211999999999997,0.0035108165196212526
1000PEPEUSDT,2024-01-04T08:00:00+00:00,0.0001,0.0001,0.0,-0.00058141,0.010202542611231432
1000PEPEUSDT,2024-01-04T16:00:00+00:00,0.0001,0.0001,0.0,0.0,-0.0
