candidate_id,split,rank,symbol,abs_contribution,abs_contribution_share
a7al2q_1378ff7d2322adee,known_may2026_stress,1,ZECUSDT,1.676817184420075,0.0604797200390668
a7al2q_1378ff7d2322adee,known_may2026_stress,2,NEARUSDT,1.3810128625277909,0.0498106007453147
a7al2q_1378ff7d2322adee,known_may2026_stress,3,ONDOUSDT,1.3297708263792023,0.0479623944952278
a7al2q_1378ff7d2322adee,known_may2026_stress,4,SUIUSDT,1.1261345096209452,0.0406176060819425
a7al2q_1378ff7d2322adee,known_may2026_stress,5,WLDUSDT,1.0969374849540925,0.039564522958611
a7al2q_1378ff7d2322adee,known_may2026_stress,6,FILUSDT,1.0627883991348808,0.0383328280731306
a7al2q_1378ff7d2322adee,known_may2026_stress,7,ARBUSDT,0.9176086214962184,0.0330964597984596
a7al2q_1378ff7d2322adee,known_may2026_stress,8,UNIUSDT,0.8619380008619868,0.0310885226293735
a7al2q_1378ff7d2322adee,known_may2026_stress,9,DODOXUSDT,0.8354622294142158,0.0301335901180316
a7al2q_1378ff7d2322adee,known_may2026_stress,10,ILVUSDT,0.7890765857018233,0.0284605450349878
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,1,ZECUSDT,1.676817184420075,0.060581968638814
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,2,NEARUSDT,1.3810128625277909,0.0498948118523682
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,3,ONDOUSDT,1.195972943657072,0.0432094780747139
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,4,SUIUSDT,1.1261345096209452,0.0406862752712886
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,5,WLDUSDT,1.0969374849540925,0.0396314117780297
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,6,FILUSDT,1.0627883991348808,0.0383976345568956
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,7,DODOXUSDT,0.9349894293909188,0.0337803672429403
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,8,ARBUSDT,0.9176086214962184,0.0331524135407851
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,9,UNIUSDT,0.8619380008619868,0.031141081700497
a7al2q_f00f22bbcc48dc2c,known_may2026_stress,10,FETUSDT,0.8185872654467337,0.0295748567608923
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,1,ZECUSDT,1.676817184420075,0.0604934834387664
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,2,NEARUSDT,1.3810128625277909,0.0498219361682778
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,3,ONDOUSDT,1.2626488322279918,0.0455517911738115
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,4,SUIUSDT,1.1261345096209452,0.0406268494505789
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,5,WLDUSDT,1.0969374849540925,0.039573526676602
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,6,FILUSDT,1.0627883991348808,0.0383415514937093
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,7,ARBUSDT,0.9176086214962184,0.0331039915761291
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,8,DODOXUSDT,0.905041504995356,0.0326506155844101
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,9,UNIUSDT,0.8619380008619868,0.0310955974597917
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,10,FETUSDT,0.8185872654467337,0.0295316601270479
a7al2q_6671d1fac5e57efe,known_may2026_stress,1,ZECUSDT,1.676817184420075,0.0607534957438604
a7al2q_6671d1fac5e57efe,known_may2026_stress,2,NEARUSDT,1.3810128625277909,0.0500360801674488
a7al2q_6671d1fac5e57efe,known_may2026_stress,3,SUIUSDT,1.1261345096209452,0.0408014712474051
a7al2q_6671d1fac5e57efe,known_may2026_stress,4,WLDUSDT,1.0969374849540925,0.039743621095157
a7al2q_6671d1fac5e57efe,known_may2026_stress,5,FILUSDT,1.0627883991348808,0.0385063506525286
a7al2q_6671d1fac5e57efe,known_may2026_stress,6,ONDOUSDT,1.0334414846046358,0.0374430697751769
a7al2q_6671d1fac5e57efe,known_may2026_stress,7,DODOXUSDT,0.9914211911298476,0.0359206141702988
a7al2q_6671d1fac5e57efe,known_may2026_stress,8,ARBUSDT,0.9176086214962184,0.033246278722913
a7al2q_6671d1fac5e57efe,known_may2026_stress,9,UNIUSDT,0.8619380008619868,0.031229252153061
a7al2q_6671d1fac5e57efe,known_may2026_stress,10,FETUSDT,0.8042168238028057,0.0291379309778141
