raw_field,candidate_count,semantic_buckets,required_in_panel,missing_policy
age_x_liquidity,12,liquidity_like,True,fail_closed_for_candidate
age_x_volatility,282,liquidity_like|volatility_like,True,fail_closed_for_candidate
global_long_short_account_ratio_last,49,open_interest_like|positioning_like,True,fail_closed_for_candidate
global_long_short_account_ratio_mean,49,open_interest_like|positioning_like,True,fail_closed_for_candidate
index_close,45,taker_flow_like|basis_premium_like,True,fail_closed_for_candidate
liquidity_rank_active_universe,12,liquidity_like,True,fail_closed_for_candidate
log_quote_volume_168h,12,liquidity_like,True,fail_closed_for_candidate
mark_close,51,taker_flow_like|basis_premium_like,True,fail_closed_for_candidate
mark_high,55,taker_flow_like|basis_premium_like,True,fail_closed_for_candidate
mark_index_basis_bps,9,taker_flow_like|basis_premium_like,True,fail_closed_for_candidate
mark_low,32,taker_flow_like|basis_premium_like,True,fail_closed_for_candidate
median_quote_volume_168h,12,liquidity_like,True,fail_closed_for_candidate
open_interest_change_24h,12,open_interest_like,True,fail_closed_for_candidate
open_interest_last,371,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,True,fail_closed_for_candidate
open_interest_mean,155,open_interest_like;open_interest_like|price_like;taker_flow_like|open_interest_like,True,fail_closed_for_candidate
open_interest_value_last,53,open_interest_like;taker_flow_like|open_interest_like,True,fail_closed_for_candidate
open_interest_value_mean,45,open_interest_like;taker_flow_like|open_interest_like,True,fail_closed_for_candidate
realized_vol_168h,183,liquidity_like|volatility_like;volatility_like,True,fail_closed_for_candidate
realized_vol_24h,12,volatility_like,True,fail_closed_for_candidate
taker_buy_quote_volume,396,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,True,fail_closed_for_candidate
taker_buy_sell_volume_ratio_last,12,taker_flow_like,True,fail_closed_for_candidate
taker_buy_sell_volume_ratio_mean,12,taker_flow_like,True,fail_closed_for_candidate
taker_buy_volume,12,taker_flow_like,True,fail_closed_for_candidate
top_long_short_account_ratio_last,55,open_interest_like|positioning_like,True,fail_closed_for_candidate
top_long_short_account_ratio_mean,39,open_interest_like|positioning_like,True,fail_closed_for_candidate
trade_close,135,open_interest_like|price_like,True,fail_closed_for_candidate
trade_count,1064,liquidity_like;liquidity_like|volatility_like,True,fail_closed_for_candidate
trade_count_168h,12,liquidity_like,True,fail_closed_for_candidate
trade_high,291,liquidity_like|volatility_like,True,fail_closed_for_candidate
trade_low,296,liquidity_like|volatility_like,True,fail_closed_for_candidate
trade_quote_volume,12,liquidity_like,True,fail_closed_for_candidate
trade_return_1h,42,open_interest_like|price_like,True,fail_closed_for_candidate
trade_return_24h,15,open_interest_like|price_like,True,fail_closed_for_candidate
trade_volume,12,liquidity_like,True,fail_closed_for_candidate
volume_volatility_ratio_168h,12,liquidity_like,True,fail_closed_for_candidate
