semantic_pair,operator,seed_count,diagnostic_seed_count,strict_seed_count,median_clean_label_count,median_control_ratio,max_original_spread
funding_like|price_like,WinsorZ,1,1,0,4.0,2.9471855537070466,0.0002577028790302
basis_premium_like|positioning_like,WinsorZ,2,1,0,1.0,2.996195682471594,0.000317053516322
funding_like|volatility_like,Delta,2,1,0,1.0,3.427933162289603,0.000176387352181
generic_numeric|state_or_taxonomy,WinsorZ,1,1,0,2.0,4.076405208882539,0.0004715746051294
positioning_like|positioning_like,CSRank,2,1,0,1.0,19.8662393811571,7.351489650021532e-05
basis_premium_like|positioning_like,CSRank,1,0,0,0.0,0.909537009669982,-6.968403586951872e-05
funding_like|price_like,AbsDelta,1,0,0,0.0,0.967129655281201,-3.833282282951898e-05
liquidity_like|volatility_like,AbsDelta,1,0,0,0.0,0.9920652256208804,-2.1473145601623168e-05
price_like,Delta,1,0,0,0.0,0.9971316591379839,-0.0001294475318129
positioning_like|price_like,SignedRankDelta,1,0,0,0.0,0.9995849353860253,-7.942078717863637e-05
price_like|state_or_taxonomy,AbsDelta,1,0,0,0.0,0.9999824031859683,-5.5212239177653925e-05
basis_premium_like|basis_premium_like,AbsDelta,2,0,0,0.0,1.0,-0.0001417140364819
basis_premium_like|liquidity_like,SignedRankDelta,1,0,0,0.0,1.0,-6.664924959250898e-05
basis_premium_like|liquidity_like,SpreadShortLong,1,0,0,0.0,1.0,0.0010754436598862
basis_premium_like|price_like,SpreadShortLong,1,0,0,0.0,1.0,0.0008594138431994
funding_like,Delta,1,0,0,0.0,1.0,-7.077493370160583e-05
funding_like|generic_numeric,SpreadShortLong,1,0,0,0.0,1.0,0.0222555101030017
funding_like|liquidity_like,Delta,1,0,0,0.0,1.0,-5.036789980437532e-05
funding_like|positioning_like,SpreadShortLong,1,0,0,0.0,1.0,0.0324440789258119
funding_like|price_like,SpreadShortLong,1,0,0,0.0,1.0,0.002788239912625
generic_numeric|positioning_like,Delta,1,0,0,0.0,1.0,-2.0621764514361453e-05
liquidity_like|price_like,SpreadShortLong,1,0,0,0.0,1.0,0.0011733599111874
positioning_like,SpreadShortLong,1,0,0,0.0,1.0,-5.859340692489186e-05
positioning_like|positioning_like,AbsDelta,2,0,0,0.0,1.0,-3.607087998546618e-05
positioning_like|positioning_like,SpreadShortLong,1,0,0,0.0,1.0,-2.3640743450353266e-05
price_like|price_like,SpreadShortLong,1,0,0,0.0,1.0,0.0008632437645708
state_or_taxonomy,AbsDelta,1,0,0,0.0,1.0,0.0004971947945803
state_or_taxonomy,CSRank,1,0,0,0.0,1.0,-0.0001264500093112
state_or_taxonomy,Delta,1,0,0,0.0,1.0,-7.446529546878401e-05
state_or_taxonomy,Identity,1,0,0,0.0,1.0,-0.0001264500093112
state_or_taxonomy,SpreadShortLong,1,0,0,0.0,1.0,-4.2068006150279936e-05
state_or_taxonomy|volatility_like,Delta,1,0,0,0.0,1.0,0.0004710027506984
positioning_like|price_like,SpreadShortLong,1,0,0,0.0,1.0000344846866307,0.0004661090627759
liquidity_like|price_like,WinsorZ,2,0,0,0.0,1.0000368868406826,-2.9951562292148188e-05
positioning_like,SignedRankDelta,2,0,0,0.0,1.0001151574721743,-2.9737828074428302e-05
basis_premium_like|volatility_like,SignedRankDelta,2,0,0,0.0,1.0003014388995162,-4.987416023008204e-05
price_like|state_or_taxonomy,SignedRankDelta,1,0,0,0.0,1.0004023741251806,-2.835688061016221e-05
basis_premium_like|price_like,WinsorZ,1,0,0,0.0,1.000555915682233,-6.41163628536169e-05
funding_like|funding_like,Delta,1,0,0,0.0,1.0006729812516735,0.0068533011295104
generic_numeric|volatility_like,SignedRankDelta,2,0,0,0.0,1.0007556010175636,-5.026671816470639e-05
generic_numeric|volatility_like,WinsorZ,2,0,0,0.0,1.000911606827549,-2.7849794905964688e-05
price_like|state_or_taxonomy,CSRank,1,0,0,0.0,1.0011837498589238,-4.668842672764872e-05
liquidity_like|positioning_like,Identity,1,0,0,0.0,1.0019910804535206,-3.3507410799354504e-05
generic_numeric|price_like,WinsorZ,2,0,0,0.0,1.0026266688353327,-2.5823375954709164e-05
generic_numeric|volatility_like,Delta,1,0,0,0.0,1.0029989807102484,0.0028872451578847
generic_numeric|positioning_like,SignedRankDelta,2,0,0,0.0,1.0032716684591767,-2.736719458338352e-05
generic_numeric|positioning_like,WinsorZ,2,0,0,0.0,1.0032716684591767,-2.736719458338352e-05
positioning_like|state_or_taxonomy,SignedRankDelta,2,0,0,0.0,1.0032716684591767,1.864793860268022e-05
liquidity_like|price_like,AbsDelta,1,0,0,0.0,1.003537906879001,-3.460521065774123e-05
price_like,Identity,2,0,0,0.0,1.0043873793125684,-6.521248399919821e-05
price_like,CSRank,2,0,0,0.0,1.0044581978597589,-6.521248399919821e-05
basis_premium_like|price_like,SignedRankDelta,1,0,0,0.0,1.0047598834346152,-7.792582529989443e-05
price_like,SignedRankDelta,3,0,0,0.0,1.0073661026910496,0.0001334484938955
positioning_like,WinsorZ,2,0,0,0.0,1.0086971605862949,-1.4461655255651163e-05
funding_like,CSRank,2,0,0,0.0,1.0090968178648152,0.008498190990013
liquidity_like|price_like,SignedRankDelta,1,0,0,0.0,1.0100121011825018,-4.6069545440553606e-05
basis_premium_like|volatility_like,WinsorZ,2,0,0,0.0,1.0105083229983034,-2.55848550440968e-05
basis_premium_like|liquidity_like,WinsorZ,2,0,0,0.0,1.0114696701608965,-2.9187530243709285e-05
funding_like|positioning_like,CSRank,2,0,0,0.0,1.0125675714695945,-5.620567884490931e-05
basis_premium_like,AbsDelta,2,0,0,0.0,1.0158750905131584,-2.756849662278835e-05
funding_like,Identity,1,0,0,0.0,1.0193684934342482,0.008498190990013
funding_like|generic_numeric,CSRank,1,0,0,0.0,1.0195817326066443,0.0084875547452952
funding_like|generic_numeric,Identity,1,0,0,0.0,1.0195817326066443,0.0084875547452952
funding_like,AbsDelta,2,0,0,0.0,1.0215219649674192,-9.466594314859976e-05
basis_premium_like|basis_premium_like,SpreadShortLong,1,0,0,0.0,1.0228688973133302,-0.0001644827924236
generic_numeric|positioning_like,AbsDelta,2,0,0,0.0,1.027636346204867,-2.355983462075698e-05
funding_like|positioning_like,AbsDelta,2,0,0,0.0,1.0290955819116436,-7.278700345608037e-05
funding_like|generic_numeric,AbsDelta,1,0,0,0.0,1.0297192738971752,-0.0001861287793419
generic_numeric|positioning_like,CSRank,1,0,0,0.0,1.0333254572513542,-4.182545224499312e-05
liquidity_like|volatility_like,WinsorZ,2,0,0,0.0,1.0371128933207894,-2.162158141333321e-05
price_like|price_like,WinsorZ,2,0,0,0.0,1.0386587570612733,-2.01155814496263e-05
funding_like,SignedRankDelta,2,0,0,0.0,1.0401735079982573,0.0012975032464812
funding_like|liquidity_like,SpreadShortLong,1,0,0,0.0,1.0403169347087295,0.0161586583032214
funding_like,WinsorZ,2,0,0,0.0,1.0403764174277366,0.0012975131029708
price_like,WinsorZ,3,0,0,0.0,1.0407439972655108,0.0001294334879101
price_like|volatility_like,WinsorZ,2,0,0,0.0,1.046593159685938,-1.7643949783005035e-05
basis_premium_like|basis_premium_like,CSRank,1,0,0,0.0,1.0508568411120511,-0.000152471152623
volatility_like|volatility_like,SpreadShortLong,1,0,0,0.0,1.0547178619030517,0.0006031051784338
volatility_like,AbsDelta,1,0,0,0.0,1.0551362754056048,-3.3939586547455694e-05
basis_premium_like|price_like,CSRank,2,0,0,0.0,1.0567031217832887,-6.588554182265678e-05
funding_like|funding_like,Identity,1,0,0,0.0,1.063260149887404,0.0031761375021908
basis_premium_like|state_or_taxonomy,SpreadShortLong,1,0,0,0.0,1.0646152978320647,-1.236287759979227e-05
funding_like|volatility_like,WinsorZ,1,0,0,0.0,1.065986956385235,0.0015373300811441
funding_like|generic_numeric,Delta,1,0,0,0.0,1.0688310403500156,0.0044052651997281
liquidity_like|volatility_like,SignedRankDelta,1,0,0,0.0,1.0702770581832626,-2.9963859987668125e-05
price_like|volatility_like,Delta,3,0,0,0.0,1.0712861195091319,1.5770796628669118e-05
positioning_like|price_like,WinsorZ,1,0,0,0.0,1.078308853317175,0.0001160798565873
price_like|price_like,SignedRankDelta,2,0,0,0.0,1.0823632674496317,-2.071895293202772e-05
funding_like|price_like,Identity,1,0,0,0.0,1.0854987571355825,4.403482248566532e-05
generic_numeric|price_like,SignedRankDelta,2,0,0,0.0,1.0868293609532422,-2.0651696422574952e-05
volatility_like|volatility_like,Identity,2,0,0,0.0,1.0886518581096833,-1.4891736110291952e-05
funding_like|generic_numeric,SignedRankDelta,1,0,0,0.0,1.0931835955129587,0.0012975032464812
funding_like|generic_numeric,WinsorZ,1,0,0,0.0,1.0935894143719174,0.0012975131029708
positioning_like,AbsDelta,2,0,0,0.0,1.1003693497441653,-2.6695031639284554e-06
funding_like|positioning_like,SignedRankDelta,2,0,0,0.0,1.118134523805698,-9.257066032361902e-05
positioning_like|positioning_like,Delta,1,0,0,0.0,1.1304419511156953,0.0001202569588975
basis_premium_like|basis_premium_like,Delta,2,0,0,0.0,1.137205373274383,2.7989202189760613e-05
price_like|volatility_like,AbsDelta,2,0,0,0.0,1.1435314592931256,0.0001775158904344
volatility_like,WinsorZ,2,0,0,0.0,1.1597768356429723,0.0001812553192553
funding_like|state_or_taxonomy,Identity,2,0,0,0.0,1.1627572075846226,0.0084875547452952
positioning_like|state_or_taxonomy,CSRank,2,0,0,0.0,1.1930223705352523,9.306833224768813e-06
state_or_taxonomy,SignedRankDelta,2,0,0,0.0,1.1983706690804232,0.0001290610118326
basis_premium_like|state_or_taxonomy,WinsorZ,2,0,0,0.0,1.2064843026658387,0.0002365850474783
positioning_like|state_or_taxonomy,Delta,1,0,0,0.0,1.2178044428303525,0.0001604202154319
basis_premium_like,SignedRankDelta,4,0,0,0.0,1.2237361607868396,0.0002616658124657
liquidity_like|volatility_like,CSRank,1,0,0,0.0,1.2253475670418923,0.0001448718072863
liquidity_like|price_like,CSRank,1,0,0,0.0,1.23568328494468,0.0001370074215853
funding_like|positioning_like,Delta,2,0,0,0.0,1.2378527458798723,0.0011157830616449
volatility_like|volatility_like,CSRank,2,0,0,0.0,1.242180655822187,1.2747593535914985e-06
volatility_like|volatility_like,WinsorZ,2,0,0,0.0,1.2605944145440964,0.0001729822623631
basis_premium_like|liquidity_like,AbsDelta,1,0,0,0.0,1.2621703658255634,9.02029522639574e-05
positioning_like|price_like,AbsDelta,1,0,0,0.0,1.284673392582021,-2.7296200175939715e-05
positioning_like|state_or_taxonomy,SpreadShortLong,1,0,0,0.0,1.305349942732741,-9.05997036339306e-06
liquidity_like|positioning_like,SignedRankDelta,1,0,0,0.0,1.3141216191847,0.0001429059486536
funding_like|volatility_like,Identity,1,0,0,0.0,1.3235167314136547,0.0005912857813148
funding_like|funding_like,SignedRankDelta,2,0,0,0.0,1.3355749878939212,0.0034106470755111
funding_like|funding_like,AbsDelta,2,0,0,0.0,1.3543569100286348,0.0024642602998706
funding_like|volatility_like,CSRank,2,0,0,0.0,1.3751187462180108,0.0024208404867146
basis_premium_like,WinsorZ,2,0,0,0.0,1.384259481032819,0.0001685534006191
state_or_taxonomy|volatility_like,CSRank,1,0,0,0.0,1.394562650796526,3.631732184864501e-05
basis_premium_like|price_like,AbsDelta,1,0,0,0.0,1.3956385536868987,1.1407962288959946e-05
generic_numeric|state_or_taxonomy,SignedRankDelta,1,0,0,0.0,1.3967413381608467,0.0001290610118326
funding_like|liquidity_like,AbsDelta,2,0,0,0.0,1.401051183863894,0.000654723655625
state_or_taxonomy|volatility_like,SignedRankDelta,2,0,0,0.0,1.4247566292407319,0.0002575686354143
liquidity_like|price_like,Identity,1,0,0,0.0,1.4521309500924997,3.860468451386303e-05
liquidity_like|state_or_taxonomy,Delta,1,0,0,0.0,1.4523933918974041,0.0001550242542892
price_like|volatility_like,SpreadShortLong,1,0,0,0.0,1.4607319810635535,0.0003165727470553
positioning_like|state_or_taxonomy,AbsDelta,2,0,0,0.0,1.4780812724967582,2.535925287624557e-05
liquidity_like|positioning_like,AbsDelta,1,0,0,0.0,1.4830446315905799,0.0002622671380732
liquidity_like|volatility_like,Identity,1,0,0,0.0,1.4859134018734488,3.585125260549706e-05
liquidity_like|price_like,Delta,1,0,0,0.0,1.520700797040171,0.0001723239291519
basis_premium_like|volatility_like,AbsDelta,2,0,0,0.0,1.535004573953918,7.629869085365507e-05
price_like|price_like,CSRank,2,0,0,0.0,1.545788878901904,0.000399848368615
state_or_taxonomy|volatility_like,AbsDelta,2,0,0,0.0,1.577885682637713,0.0002619994462903
state_or_taxonomy|volatility_like,WinsorZ,2,0,0,0.0,1.5815833440958003,0.0002082372430934
volatility_like,SignedRankDelta,2,0,0,0.0,1.595399317722386,0.000256095981052
generic_numeric|state_or_taxonomy,Delta,1,0,0,0.0,1.6034058722994124,5.515355734880934e-05
price_like|volatility_like,SignedRankDelta,2,0,0,0.0,1.6052689515325063,1.0463301546721009e-05
funding_like|price_like,SignedRankDelta,1,0,0,0.0,1.605279677901613,5.290922289653255e-05
volatility_like,SpreadShortLong,1,0,0,0.0,1.6321283632051458,0.0002100328744645
state_or_taxonomy|volatility_like,Identity,2,0,0,0.0,1.6485605307581321,0.0008719347865443
price_like|price_like,AbsDelta,2,0,0,0.0,1.6739965291835879,0.0003230588833361
price_like|state_or_taxonomy,Delta,1,0,0,0.0,1.682540341654164,8.913818399506475e-05
basis_premium_like,SpreadShortLong,1,0,0,0.0,1.6868159968041598,0.0003302765927634
basis_premium_like|positioning_like,SignedRankDelta,2,0,0,0.0,1.687930485194479,-1.5518717633052415e-06
liquidity_like|positioning_like,SpreadShortLong,1,0,0,0.0,1.714534426944247,0.0002470396984057
basis_premium_like|state_or_taxonomy,AbsDelta,2,0,0,0.0,1.7176886918830752,5.778852505262188e-05
positioning_like|positioning_like,SignedRankDelta,2,0,0,0.0,1.7180235168319944,0.0001738724889131
generic_numeric|volatility_like,Identity,2,0,0,0.0,1.7397707709161219,0.0001994566664923
volatility_like|volatility_like,AbsDelta,2,0,0,0.0,1.761321331145894,-9.670703758029683e-06
generic_numeric|price_like,SpreadShortLong,1,0,0,0.0,1.7725380996642333,0.000221419836337
price_like,SpreadShortLong,1,0,0,0.0,1.8298012339622067,0.0002922268124814
state_or_taxonomy|state_or_taxonomy,SpreadShortLong,1,0,0,0.0,1.8489636909522367,2.650794605317122e-06
state_or_taxonomy|state_or_taxonomy,Delta,1,0,0,0.0,1.88071425520838,8.807024550344315e-05
generic_numeric|positioning_like,Identity,1,0,0,0.0,1.9019552862156108,7.40030456624494e-05
positioning_like|state_or_taxonomy,WinsorZ,2,0,0,0.0,1.9032706191737117,4.847782234766915e-07
liquidity_like|volatility_like,Delta,2,0,0,0.0,1.915392463548555,6.441014011645732e-05
generic_numeric|price_like,AbsDelta,2,0,0,0.0,1.9217956760195947,0.0001873378651528
price_like|price_like,Delta,1,0,0,0.0,1.9351323491346795,4.151927579379177e-05
basis_premium_like|liquidity_like,Delta,3,0,0,0.0,1.9455144515018148,4.25600975108563e-05
price_like|state_or_taxonomy,Identity,1,0,0,0.0,1.9730671600101717,0.0001115471171267
funding_like|state_or_taxonomy,WinsorZ,2,0,0,0.0,2.0003456900576158,0.0007132282864437
state_or_taxonomy|state_or_taxonomy,Identity,1,0,0,0.0,2.025073651462729,2.025918130080592e-05
state_or_taxonomy|state_or_taxonomy,CSRank,1,0,0,0.0,2.02564763093243,4.1023940910791246e-05
basis_premium_like|state_or_taxonomy,SignedRankDelta,2,0,0,0.0,2.0509246229796694,0.0002357382204689
basis_premium_like|volatility_like,CSRank,2,0,0,0.0,2.0736171549692606,5.301089117577256e-05
price_like|state_or_taxonomy,WinsorZ,1,0,0,0.0,2.089641837891098,0.0001440444875841
positioning_like|volatility_like,Identity,1,0,0,0.0,2.096461999000486,2.6411228915560165e-05
positioning_like,CSRank,2,0,0,0.0,2.096913599810886,1.8901187020274627e-05
funding_like|funding_like,SpreadShortLong,1,0,0,0.0,2.1108713829920727,0.0034179296691608
positioning_like|volatility_like,WinsorZ,2,0,0,0.0,2.143416058863301,8.761693603054948e-05
basis_premium_like|liquidity_like,Identity,1,0,0,0.0,2.1616404043926307,2.199007647549643e-05
funding_like|liquidity_like,Identity,2,0,0,0.0,2.172243197864671,0.0004346809987648
funding_like,SpreadShortLong,1,0,0,0.0,2.17696674910556,-3.39888446298899e-05
positioning_like|positioning_like,WinsorZ,2,0,0,0.0,2.1811699920225633,4.68534116751619e-06
positioning_like|price_like,CSRank,1,0,0,0.0,2.211999073221558,1.077726277239749e-05
volatility_like|volatility_like,Delta,2,0,0,0.0,2.2224260665528073,-1.4222858912349516e-06
state_or_taxonomy|state_or_taxonomy,AbsDelta,1,0,0,0.0,2.2296824500672185,-1.1026401767055135e-05
liquidity_like|positioning_like,WinsorZ,2,0,0,0.0,2.252225871868027,0.0001499896811737
volatility_like|volatility_like,SignedRankDelta,2,0,0,0.0,2.2811268785895478,0.0001666007293543
funding_like|volatility_like,SignedRankDelta,2,0,0,0.0,2.290759145151137,2.5027842704025765e-05
funding_like|state_or_taxonomy,SpreadShortLong,1,0,0,0.0,2.2918484135795,0.0002878364798218
funding_like|funding_like,CSRank,2,0,0,0.0,2.310091266488839,0.002419496934728
basis_premium_like|funding_like,Delta,2,0,0,0.0,2.359147118428508,0.0013981744220849
basis_premium_like|volatility_like,Delta,2,0,0,0.0,2.360324874663386,4.018401875794996e-05
price_like|volatility_like,CSRank,2,0,0,0.0,2.360530597625648,0.0003051942724359
funding_like|price_like,Delta,2,0,0,0.0,2.4163906158437904,0.0002779827047542
volatility_like,Delta,1,0,0,0.0,2.4218836560166928,5.419671942560958e-05
state_or_taxonomy|volatility_like,SpreadShortLong,1,0,0,0.0,2.422756330791273,0.0003942165245218
basis_premium_like|volatility_like,Identity,2,0,0,0.0,2.4551978790247584,0.0001697815301461
funding_like|state_or_taxonomy,CSRank,2,0,0,0.0,2.5237884351276425,0.0084875547452952
liquidity_like|positioning_like,Delta,1,0,0,0.0,2.546130814923435,0.0001476205724843
liquidity_like|state_or_taxonomy,CSRank,1,0,0,0.0,2.6183562080763285,0.0002324126648859
basis_premium_like|price_like,Delta,2,0,0,0.0,2.6256150274434074,5.326071756642822e-05
basis_premium_like|positioning_like,AbsDelta,2,0,0,0.0,2.6352489954523066,1.9131626352083733e-06
basis_premium_like|basis_premium_like,SignedRankDelta,2,0,0,0.0,2.63569922867509,0.000234565565295
liquidity_like|state_or_taxonomy,AbsDelta,2,0,0,0.0,2.766249733830446,0.0003149739001217
funding_like|liquidity_like,CSRank,1,0,0,0.0,2.8017699146862087,0.0002020937961903
volatility_like,CSRank,1,0,0,0.0,2.8500813962254243,-4.630469138557075e-06
volatility_like,Identity,1,0,0,0.0,2.8500813962254243,-4.630469138557075e-06
generic_numeric|volatility_like,SpreadShortLong,1,0,0,0.0,2.9200307791557893,0.0001619537659216
basis_premium_like|positioning_like,Identity,2,0,0,0.0,2.9277254821048193,1.3678802911936971e-05
funding_like|liquidity_like,SignedRankDelta,1,0,0,0.0,3.030877401605851,0.0009148375155614
positioning_like|volatility_like,AbsDelta,2,0,0,0.0,3.0378254545268306,0.000598718527659
basis_premium_like|state_or_taxonomy,Identity,1,0,0,0.0,3.0507903415057,1.7226431816094296e-05
generic_numeric|volatility_like,CSRank,2,0,0,0.0,3.1196482664303398,0.0003298596401833
positioning_like|price_like,Identity,1,0,0,0.0,3.160293226049629,3.555324766807026e-05
positioning_like,Identity,1,0,0,0.0,3.1881880261753475,1.8901187020274627e-05
positioning_like|volatility_like,CSRank,2,0,0,0.0,3.2357648266398855,1.1615830766676324e-05
generic_numeric|state_or_taxonomy,SpreadShortLong,2,0,0,0.0,3.3018964772764052,4.691544420597178e-05
basis_premium_like|positioning_like,Delta,1,0,0,0.0,3.4579874625474476,4.082106572725928e-05
basis_premium_like|state_or_taxonomy,Delta,1,0,0,0.0,3.4674946458658003,8.321946204958603e-05
basis_premium_like|volatility_like,SpreadShortLong,1,0,0,0.0,3.513605165809355,7.026920767781601e-05
liquidity_like|state_or_taxonomy,SignedRankDelta,1,0,0,0.0,3.625871971437017,0.0002328569153801
liquidity_like|state_or_taxonomy,Identity,1,0,0,0.0,3.626855804687862,6.501194147394698e-05
positioning_like|volatility_like,SignedRankDelta,2,0,0,0.0,3.7325408150964723,0.0002366687690117
generic_numeric|price_like,CSRank,2,0,0,0.0,3.9516189598380347,0.0003344415406617
positioning_like|volatility_like,Delta,1,0,0,0.0,4.195766821814631,8.662102425335819e-05
funding_like|price_like,CSRank,1,0,0,0.0,4.657385439785758,1.0898200490747867e-05
funding_like|state_or_taxonomy,Delta,2,0,0,0.0,4.877616290949603,0.0001342358530935
state_or_taxonomy|state_or_taxonomy,WinsorZ,1,0,0,0.0,5.024475965684744,1.7267522230459813e-05
basis_premium_like|generic_numeric,Delta,1,0,0,0.0,5.06788083429199,0.0001718645271598
funding_like|volatility_like,SpreadShortLong,1,0,0,0.0,5.130622241361436,-7.534986633962477e-06
positioning_like|positioning_like,Identity,1,0,0,0.0,6.070902867060437,0.0001302277137091
positioning_like|price_like,Delta,1,0,0,0.0,8.102915401576153,1.9907056950641032e-05
price_like,AbsDelta,2,0,0,0.0,8.371434395224437,3.6778464291811146e-05
positioning_like|volatility_like,SpreadShortLong,1,0,0,0.0,41.81633504454307,-6.787021288979147e-08
