semantic_pair,operator,seed_count,diagnostic_seed_count,strict_seed_count,median_clean_label_count,median_control_ratio,max_original_spread
state_or_taxonomy|state_or_taxonomy,SignedRankDelta,2,0,1,3.0,1.1398625516667935,0.0003375051388064
basis_premium_like|basis_premium_like,Identity,2,2,0,4.0,0.9994173616723064,0.0003714883750779
basis_premium_like,Delta,4,2,0,3.0,0.9997563402108193,0.0007570525176162
price_like|price_like,Identity,2,2,0,5.0,1.0033762444945105,0.0002739727236391
positioning_like|state_or_taxonomy,Identity,2,2,0,3.0,1.0353090907396125,0.0012892804033839
funding_like|positioning_like,Identity,1,1,0,4.0,0.9649860951179887,0.0013652481756405
funding_like|funding_like,WinsorZ,1,1,0,6.0,0.9684016692838455,0.0018563000938473
basis_premium_like|price_like,Identity,1,1,0,8.0,0.9965697931827215,0.0002746777773361
price_like|state_or_taxonomy,SpreadShortLong,1,1,0,2.0,1.0000000705125187,0.0004326285932313
liquidity_like|state_or_taxonomy,SpreadShortLong,1,1,0,2.0,1.0122843737920193,0.0004306439101126
funding_like|state_or_taxonomy,AbsDelta,2,1,0,1.0,1.0130062153930812,0.0010150337368827
funding_like|liquidity_like,WinsorZ,2,1,0,1.0,1.0192702885818998,0.0021313842668531
liquidity_like|positioning_like,CSRank,1,1,0,2.0,1.0527279776767817,0.00011671589437
funding_like|positioning_like,WinsorZ,1,1,0,2.0,1.1811068498775539,0.0010875085865339
basis_premium_like,Identity,2,1,0,1.0,1.2451045087685542,0.0025477753394105
funding_like|volatility_like,AbsDelta,2,1,0,1.0,1.2886645170903823,0.0004533884499814
basis_premium_like|basis_premium_like,WinsorZ,2,1,0,1.0,1.3900737021363023,0.0006052710554738
basis_premium_like,CSRank,3,1,0,0.0,1.4869189751402059,0.0025477753394105
basis_premium_like|liquidity_like,CSRank,2,1,0,1.0,1.5019047847482896,0.0002102525140473
price_like|volatility_like,Identity,2,1,0,1.0,1.5882764017594884,0.000370956386023
generic_numeric|price_like,Identity,2,1,0,1.0,1.742432232787722,0.0002077170971018
liquidity_like|state_or_taxonomy,WinsorZ,1,1,0,2.0,1.8814819567704573,8.13583161477525e-05
generic_numeric|volatility_like,AbsDelta,2,1,0,1.0,2.1321947562092465,0.0002051534448915
positioning_like,Delta,1,1,0,2.0,2.1993540146726125,9.860361484408636e-05
state_or_taxonomy,WinsorZ,2,1,0,1.0,2.5382026044412695,0.0004715746051294
funding_like|state_or_taxonomy,SignedRankDelta,2,1,0,1.0,2.6930096448691403,0.0007126319962914
