label_family,label_horizon_h,rows,seed_lane_count
L0_raw_forward_return,1,26,4
L1_cross_sectional_relative_return,1,26,4
L3_liquidity_tier_relative_return,1,19,4
L5_vol_adjusted_return,1,7,2
L0_raw_forward_return,4,3,3
L1_cross_sectional_relative_return,4,3,3
L3_liquidity_tier_relative_return,24,2,2
L5_vol_adjusted_return,4,2,1
L3_liquidity_tier_relative_return,4,2,2
L0_raw_forward_return,8,1,1
L0_raw_forward_return,24,1,1
L1_cross_sectional_relative_return,8,1,1
L1_cross_sectional_relative_return,24,1,1
L3_liquidity_tier_relative_return,8,1,1
L5_vol_adjusted_return,24,1,1
