semantic_pair,operator,row_count,seed_count,control_clean_positive_count,median_control_ratio
basis_premium_like|volatility_like,Delta,16,2,0,1.9806163268036092
basis_premium_like|volatility_like,Identity,16,2,0,2.371836611945364
basis_premium_like|volatility_like,SignedRankDelta,16,2,0,1.0002338907546182
basis_premium_like|volatility_like,WinsorZ,16,2,0,1.0021312863284595
funding_like,AbsDelta,16,2,0,1.0133246560376632
funding_like,CSRank,16,2,0,1.0143452653481644
funding_like,SignedRankDelta,16,2,0,1.029054860216177
funding_like,WinsorZ,16,2,0,1.029155849692894
funding_like|funding_like,AbsDelta,16,2,0,1.2576781309476113
funding_like|funding_like,CSRank,16,2,0,1.4537071271537698
funding_like|funding_like,SignedRankDelta,16,2,0,1.2609634789837103
funding_like|liquidity_like,AbsDelta,16,2,0,1.1949474262509585
funding_like|liquidity_like,Identity,16,2,0,2.0510501024478187
funding_like|positioning_like,AbsDelta,16,2,0,1.0058471109957206
funding_like|positioning_like,CSRank,16,2,0,0.9471449584242796
funding_like|positioning_like,Delta,16,2,0,1.0419300842827184
funding_like|positioning_like,SignedRankDelta,16,2,0,1.123887670589392
funding_like|price_like,Delta,16,2,0,1.39308972198596
funding_like|state_or_taxonomy,CSRank,16,2,0,1.042293534244702
funding_like|state_or_taxonomy,Delta,16,2,0,4.147702688489835
funding_like|state_or_taxonomy,Identity,16,2,0,1.0682193318657178
funding_like|state_or_taxonomy,WinsorZ,16,2,0,1.1234544324251692
funding_like|volatility_like,CSRank,16,2,0,1.2751122028539954
funding_like|volatility_like,SignedRankDelta,16,2,0,2.1334460595083278
generic_numeric|positioning_like,AbsDelta,16,2,0,1.0
generic_numeric|positioning_like,SignedRankDelta,16,2,0,1.0
generic_numeric|positioning_like,WinsorZ,16,2,0,1.0
generic_numeric|price_like,AbsDelta,16,2,0,1.4859219101203134
generic_numeric|price_like,CSRank,16,2,0,1.801445262390826
generic_numeric|price_like,SignedRankDelta,16,2,0,1.004326375356689
generic_numeric|price_like,WinsorZ,16,2,0,1.0022376365192776
generic_numeric|state_or_taxonomy,SpreadShortLong,16,2,0,3.1998124647172963
generic_numeric|volatility_like,CSRank,16,2,0,2.595534363090417
generic_numeric|volatility_like,Identity,16,2,0,1.5647408034110462
generic_numeric|volatility_like,SignedRankDelta,16,2,0,0.9995340462288982
generic_numeric|volatility_like,WinsorZ,16,2,0,0.9963292503273709
liquidity_like|positioning_like,WinsorZ,16,2,0,2.2689008399108053
liquidity_like|price_like,WinsorZ,16,2,0,0.9964949546178314
liquidity_like|state_or_taxonomy,AbsDelta,16,2,0,2.198685113253043
liquidity_like|volatility_like,Delta,16,2,0,2.056850706846252
liquidity_like|volatility_like,WinsorZ,16,2,0,0.99552073577886
positioning_like,AbsDelta,16,2,0,1.0606776049105036
positioning_like,CSRank,16,2,0,1.2834168654445883
positioning_like,SignedRankDelta,16,2,0,1.0
positioning_like,WinsorZ,16,2,0,1.0002303149443486
positioning_like|positioning_like,AbsDelta,16,2,0,1.0
positioning_like|positioning_like,SignedRankDelta,16,2,0,1.272722431090624
positioning_like|positioning_like,WinsorZ,16,2,0,1.1506788320844263
positioning_like|state_or_taxonomy,AbsDelta,16,2,0,1.0
positioning_like|state_or_taxonomy,CSRank,16,2,0,1.0334250014700013
positioning_like|state_or_taxonomy,SignedRankDelta,16,2,0,1.0
positioning_like|state_or_taxonomy,WinsorZ,16,2,0,1.0065433369183534
positioning_like|volatility_like,AbsDelta,16,2,0,2.669696049733157
positioning_like|volatility_like,CSRank,16,2,0,2.6492028485284767
positioning_like|volatility_like,SignedRankDelta,16,2,0,3.094479352939929
positioning_like|volatility_like,WinsorZ,16,2,0,1.7860924336965864
price_like,AbsDelta,16,2,0,1.882834750024223
price_like,CSRank,16,2,0,1.0006090143479276
price_like,Identity,16,2,0,0.9998801059932968
price_like|price_like,AbsDelta,16,2,0,1.1233801699628407
price_like|price_like,CSRank,16,2,0,1.0035392258531897
price_like|price_like,SignedRankDelta,16,2,0,1.010768000502426
price_like|price_like,WinsorZ,16,2,0,1.0070898280764005
price_like|volatility_like,AbsDelta,16,2,0,1.0769251427052824
price_like|volatility_like,CSRank,16,2,0,1.486591135129404
price_like|volatility_like,SignedRankDelta,16,2,0,1.0121562575574434
price_like|volatility_like,WinsorZ,16,2,0,1.013498100867395
state_or_taxonomy,SignedRankDelta,16,2,0,1.0243812780303116
state_or_taxonomy|volatility_like,AbsDelta,16,2,0,1.373180239946923
state_or_taxonomy|volatility_like,Identity,16,2,0,1.8114149212467896
state_or_taxonomy|volatility_like,SignedRankDelta,16,2,0,1.4828910047678807
state_or_taxonomy|volatility_like,WinsorZ,16,2,0,1.5804878136357492
volatility_like,SignedRankDelta,16,2,0,1.234024468119182
volatility_like,WinsorZ,16,2,0,1.1509577699677591
volatility_like|volatility_like,AbsDelta,16,2,0,1.8011191123379071
volatility_like|volatility_like,CSRank,16,2,0,1.2646135250901829
volatility_like|volatility_like,Delta,16,2,0,2.12164427712135
volatility_like|volatility_like,Identity,16,2,0,1.0339001780977497
volatility_like|volatility_like,SignedRankDelta,16,2,0,2.0337979628844973
volatility_like|volatility_like,WinsorZ,16,2,0,1.2041132638030971
basis_premium_like,SpreadShortLong,8,1,0,1.6868159968041598
basis_premium_like|basis_premium_like,CSRank,8,1,0,1.0508568411120511
basis_premium_like|basis_premium_like,SpreadShortLong,8,1,0,1.0228688973133302
basis_premium_like|generic_numeric,Delta,8,1,0,5.06788083429199
basis_premium_like|liquidity_like,AbsDelta,8,1,0,1.2621703658255634
basis_premium_like|liquidity_like,Identity,8,1,0,2.1616404043926307
basis_premium_like|liquidity_like,SignedRankDelta,8,1,0,1.0
basis_premium_like|liquidity_like,SpreadShortLong,8,1,0,1.0
basis_premium_like|positioning_like,CSRank,8,1,0,0.909537009669982
basis_premium_like|positioning_like,Delta,8,1,0,3.457987462547448
basis_premium_like|price_like,AbsDelta,8,1,0,1.3956385536868987
basis_premium_like|price_like,SignedRankDelta,8,1,0,1.0047598834346152
basis_premium_like|price_like,SpreadShortLong,8,1,0,1.0
basis_premium_like|price_like,WinsorZ,8,1,0,1.000555915682233
basis_premium_like|state_or_taxonomy,Delta,8,1,0,3.4674946458658003
basis_premium_like|state_or_taxonomy,Identity,8,1,0,3.0507903415057
basis_premium_like|state_or_taxonomy,SpreadShortLong,8,1,0,1.0646152978320649
basis_premium_like|volatility_like,SpreadShortLong,8,1,0,3.513605165809355
funding_like,Delta,8,1,0,1.0
funding_like,Identity,8,1,0,1.0193684934342482
funding_like,SpreadShortLong,8,1,0,2.17696674910556
funding_like|funding_like,Delta,8,1,0,1.0006729812516737
funding_like|funding_like,Identity,8,1,0,1.063260149887404
funding_like|funding_like,SpreadShortLong,8,1,0,2.1108713829920727
funding_like|generic_numeric,AbsDelta,8,1,0,1.0297192738971752
funding_like|generic_numeric,CSRank,8,1,0,1.0195817326066443
funding_like|generic_numeric,Delta,8,1,0,1.0688310403500156
funding_like|generic_numeric,Identity,8,1,0,1.0195817326066443
funding_like|generic_numeric,SignedRankDelta,8,1,0,1.0931835955129587
funding_like|generic_numeric,SpreadShortLong,8,1,0,1.0
funding_like|generic_numeric,WinsorZ,8,1,0,1.0935894143719174
funding_like|liquidity_like,CSRank,8,1,0,2.8017699146862087
funding_like|liquidity_like,Delta,8,1,0,1.0
funding_like|liquidity_like,SignedRankDelta,8,1,0,3.030877401605851
funding_like|liquidity_like,SpreadShortLong,8,1,0,1.0403169347087295
funding_like|positioning_like,SpreadShortLong,8,1,0,1.0
funding_like|price_like,AbsDelta,8,1,0,0.967129655281201
funding_like|price_like,CSRank,8,1,0,4.657385439785758
funding_like|price_like,Identity,8,1,0,1.0854987571355823
funding_like|price_like,SignedRankDelta,8,1,0,1.605279677901613
funding_like|price_like,SpreadShortLong,8,1,0,1.0
funding_like|state_or_taxonomy,SpreadShortLong,8,1,0,2.2918484135795
funding_like|volatility_like,Identity,8,1,0,1.323516731413655
funding_like|volatility_like,SpreadShortLong,8,1,0,5.130622241361436
funding_like|volatility_like,WinsorZ,8,1,0,1.065986956385235
generic_numeric|positioning_like,CSRank,8,1,0,1.0333254572513542
generic_numeric|positioning_like,Delta,8,1,0,1.0
generic_numeric|positioning_like,Identity,8,1,0,1.9019552862156108
generic_numeric|price_like,SpreadShortLong,8,1,0,1.7725380996642337
generic_numeric|state_or_taxonomy,Delta,8,1,0,1.6034058722994124
generic_numeric|state_or_taxonomy,SignedRankDelta,8,1,0,1.396741338160847
generic_numeric|volatility_like,Delta,8,1,0,1.0029989807102484
generic_numeric|volatility_like,SpreadShortLong,8,1,0,2.9200307791557893
liquidity_like|positioning_like,AbsDelta,8,1,0,1.48304463159058
liquidity_like|positioning_like,Delta,8,1,0,2.546130814923435
liquidity_like|positioning_like,Identity,8,1,0,1.0019910804535206
liquidity_like|positioning_like,SignedRankDelta,8,1,0,1.3141216191847
liquidity_like|positioning_like,SpreadShortLong,8,1,0,1.714534426944247
liquidity_like|price_like,AbsDelta,8,1,0,1.003537906879001
liquidity_like|price_like,CSRank,8,1,0,1.23568328494468
liquidity_like|price_like,Delta,8,1,0,1.520700797040171
liquidity_like|price_like,Identity,8,1,0,1.4521309500924997
liquidity_like|price_like,SignedRankDelta,8,1,0,1.0100121011825018
liquidity_like|price_like,SpreadShortLong,8,1,0,1.0
liquidity_like|state_or_taxonomy,CSRank,8,1,0,2.6183562080763285
liquidity_like|state_or_taxonomy,Delta,8,1,0,1.452393391897404
liquidity_like|state_or_taxonomy,Identity,8,1,0,3.626855804687862
liquidity_like|state_or_taxonomy,SignedRankDelta,8,1,0,3.625871971437017
liquidity_like|volatility_like,AbsDelta,8,1,0,0.9920652256208804
liquidity_like|volatility_like,CSRank,8,1,0,1.2253475670418923
liquidity_like|volatility_like,Identity,8,1,0,1.4859134018734488
liquidity_like|volatility_like,SignedRankDelta,8,1,0,1.0702770581832626
positioning_like,Identity,8,1,0,3.1881880261753475
positioning_like,SpreadShortLong,8,1,0,1.0
positioning_like|positioning_like,Delta,8,1,0,1.1304419511156951
positioning_like|positioning_like,Identity,8,1,0,6.070902867060437
positioning_like|positioning_like,SpreadShortLong,8,1,0,1.0
positioning_like|price_like,AbsDelta,8,1,0,1.284673392582021
positioning_like|price_like,CSRank,8,1,0,2.211999073221558
positioning_like|price_like,Delta,8,1,0,8.102915401576153
positioning_like|price_like,Identity,8,1,0,3.160293226049629
positioning_like|price_like,SignedRankDelta,8,1,0,0.9995849353860252
positioning_like|price_like,SpreadShortLong,8,1,0,1.0000344846866307
positioning_like|price_like,WinsorZ,8,1,0,1.078308853317175
positioning_like|state_or_taxonomy,Delta,8,1,0,1.2178044428303525
positioning_like|state_or_taxonomy,SpreadShortLong,8,1,0,1.305349942732741
positioning_like|volatility_like,Delta,8,1,0,4.195766821814631
positioning_like|volatility_like,Identity,8,1,0,2.096461999000486
positioning_like|volatility_like,SpreadShortLong,8,1,0,41.81633504454307
price_like,Delta,8,1,0,0.997131659137984
price_like,SpreadShortLong,8,1,0,1.8298012339622067
price_like|price_like,Delta,8,1,0,1.9351323491346797
price_like|price_like,SpreadShortLong,8,1,0,1.0
price_like|state_or_taxonomy,AbsDelta,8,1,0,0.9999824031859684
price_like|state_or_taxonomy,CSRank,8,1,0,1.0011837498589238
price_like|state_or_taxonomy,Delta,8,1,0,1.682540341654164
price_like|state_or_taxonomy,Identity,8,1,0,1.973067160010172
price_like|state_or_taxonomy,SignedRankDelta,8,1,0,1.0004023741251806
price_like|state_or_taxonomy,WinsorZ,8,1,0,2.089641837891098
price_like|volatility_like,SpreadShortLong,8,1,0,1.4607319810635535
state_or_taxonomy,AbsDelta,8,1,0,1.0
state_or_taxonomy,CSRank,8,1,0,1.0
state_or_taxonomy,Delta,8,1,0,1.0
state_or_taxonomy,Identity,8,1,0,1.0
state_or_taxonomy,SpreadShortLong,8,1,0,1.0
state_or_taxonomy|state_or_taxonomy,AbsDelta,8,1,0,2.2296824500672185
state_or_taxonomy|state_or_taxonomy,CSRank,8,1,0,2.02564763093243
state_or_taxonomy|state_or_taxonomy,Delta,8,1,0,1.88071425520838
state_or_taxonomy|state_or_taxonomy,Identity,8,1,0,2.025073651462729
state_or_taxonomy|state_or_taxonomy,SpreadShortLong,8,1,0,1.848963690952237
state_or_taxonomy|state_or_taxonomy,WinsorZ,8,1,0,5.024475965684744
state_or_taxonomy|volatility_like,CSRank,8,1,0,1.394562650796526
state_or_taxonomy|volatility_like,Delta,8,1,0,1.0
state_or_taxonomy|volatility_like,SpreadShortLong,8,1,0,2.422756330791273
volatility_like,AbsDelta,8,1,0,1.0551362754056048
volatility_like,CSRank,8,1,0,2.8500813962254243
volatility_like,Delta,8,1,0,2.4218836560166928
volatility_like,Identity,8,1,0,2.8500813962254243
volatility_like,SpreadShortLong,8,1,0,1.6321283632051458
volatility_like|volatility_like,SpreadShortLong,8,1,0,1.0547178619030515
