semantic_pair,operator,row_count,seed_count,control_clean_positive_count,median_control_ratio
basis_premium_like,Delta,32,4,12,1.0
price_like|price_like,Identity,16,2,10,0.9978122401832464
basis_premium_like|basis_premium_like,Identity,16,2,8,0.999397244334424
basis_premium_like|price_like,Identity,8,1,8,0.9965697931827217
positioning_like|state_or_taxonomy,Identity,16,2,6,1.0545850685253662
state_or_taxonomy|state_or_taxonomy,SignedRankDelta,16,2,6,1.0677523517987024
funding_like|funding_like,WinsorZ,8,1,6,0.9684016692838456
funding_like|positioning_like,Identity,8,1,4,0.9649860951179888
funding_like|price_like,WinsorZ,8,1,4,2.9471855537070466
basis_premium_like,CSRank,24,3,2,1.184361881589221
basis_premium_like,Identity,16,2,2,1.115669122085249
basis_premium_like|basis_premium_like,WinsorZ,16,2,2,1.3005397393032978
basis_premium_like|liquidity_like,CSRank,16,2,2,1.372256099136279
basis_premium_like|positioning_like,WinsorZ,16,2,2,2.487949704106408
funding_like|liquidity_like,WinsorZ,16,2,2,1.020238849719849
funding_like|state_or_taxonomy,AbsDelta,16,2,2,1.027294506418876
funding_like|state_or_taxonomy,SignedRankDelta,16,2,2,1.1250902691332243
funding_like|volatility_like,AbsDelta,16,2,2,0.954081499755542
funding_like|volatility_like,Delta,16,2,2,1.1603171624676951
generic_numeric|price_like,Identity,16,2,2,1.5515132938180762
generic_numeric|volatility_like,AbsDelta,16,2,2,1.2548231861628212
positioning_like|positioning_like,CSRank,16,2,2,23.470176331056848
price_like|volatility_like,Identity,16,2,2,1.580639550043574
state_or_taxonomy,WinsorZ,16,2,2,1.0
funding_like|positioning_like,WinsorZ,8,1,2,1.181106849877554
generic_numeric|state_or_taxonomy,WinsorZ,8,1,2,4.076405208882539
liquidity_like|positioning_like,CSRank,8,1,2,1.0527279776767815
liquidity_like|state_or_taxonomy,SpreadShortLong,8,1,2,1.0122843737920193
liquidity_like|state_or_taxonomy,WinsorZ,8,1,2,1.8814819567704573
positioning_like,Delta,8,1,2,2.1993540146726125
price_like|state_or_taxonomy,SpreadShortLong,8,1,2,1.0000000705125187
basis_premium_like,SignedRankDelta,32,4,0,1.0523343492540196
basis_premium_like|liquidity_like,Delta,24,3,0,1.732418516562769
price_like,SignedRankDelta,24,3,0,1.0055713918139435
price_like,WinsorZ,24,3,0,1.017283016604636
price_like|volatility_like,Delta,24,3,0,1.160822370566477
basis_premium_like,AbsDelta,16,2,0,1.0029355840551557
basis_premium_like,WinsorZ,16,2,0,1.2818655626043356
basis_premium_like|basis_premium_like,AbsDelta,16,2,0,1.0
basis_premium_like|basis_premium_like,Delta,16,2,0,1.0
basis_premium_like|basis_premium_like,SignedRankDelta,16,2,0,1.5208976370717449
basis_premium_like|funding_like,Delta,16,2,0,2.379946210980057
basis_premium_like|liquidity_like,WinsorZ,16,2,0,0.9994571322095042
basis_premium_like|positioning_like,AbsDelta,16,2,0,1.869302040749379
basis_premium_like|positioning_like,Identity,16,2,0,2.0684124553399315
basis_premium_like|positioning_like,SignedRankDelta,16,2,0,1.28749262397336
basis_premium_like|price_like,CSRank,16,2,0,1.0581140517792968
basis_premium_like|price_like,Delta,16,2,0,2.138310069611188
basis_premium_like|state_or_taxonomy,AbsDelta,16,2,0,1.2928751466439907
basis_premium_like|state_or_taxonomy,SignedRankDelta,16,2,0,1.9953255380349624
basis_premium_like|state_or_taxonomy,WinsorZ,16,2,0,1.2248750300277012
basis_premium_like|volatility_like,AbsDelta,16,2,0,1.3707599196970237
basis_premium_like|volatility_like,CSRank,16,2,0,1.3312779682874396
