a7input_queue,decision,label_family,row_count
ordinary_alpha,HOLD_A7FFCORE54ES04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,787
ordinary_alpha,HOLD_A7FFCORE54ES06_PRE_MAY_UNSTABLE,L0_raw_forward_return,747
ordinary_alpha,HOLD_A7FFCORE54ES06_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,747
ordinary_alpha,HOLD_A7FFCORE54ES05_PRE_MAY_UNSTABLE,L0_raw_forward_return,719
ordinary_alpha,HOLD_A7FFCORE54ES05_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,719
ordinary_alpha,HOLD_A7FFCORE54ES05_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,668
ordinary_alpha,HOLD_A7FFCORE54ES06_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,663
ordinary_alpha,HOLD_A7FFCORE54ES03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,657
ordinary_alpha,HOLD_A7FFCORE54ES00_PRE_MAY_UNSTABLE,L0_raw_forward_return,643
ordinary_alpha,HOLD_A7FFCORE54ES00_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,643
ordinary_alpha,HOLD_A7FFCORE54ES00_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,642
ordinary_alpha,HOLD_A7FFCORE54ES05_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,639
ordinary_alpha,HOLD_A7FFCORE54ES00_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,630
interaction_alpha,HOLD_A7FFCORE54ES08_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,621
ordinary_alpha,HOLD_A7FFCORE54ES01_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,614
ordinary_alpha,HOLD_A7FFCORE54ES06_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,610
ordinary_alpha,HOLD_A7FFCORE54ES01_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,594
interaction_alpha,HOLD_A7FFCORE54ES08_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,593
interaction_alpha,HOLD_A7FFCORE54ES08_PRE_MAY_UNSTABLE,L0_raw_forward_return,593
ordinary_alpha,HOLD_A7FFCORE54ES01_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,591
ordinary_alpha,HOLD_A7FFCORE54ES01_PRE_MAY_UNSTABLE,L0_raw_forward_return,591
ordinary_alpha,HOLD_A7FFCORE54ES02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,585
ordinary_alpha,HOLD_A7FFCORE54ES02_PRE_MAY_UNSTABLE,L0_raw_forward_return,585
ordinary_alpha,HOLD_A7FFCORE54ES02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,577
ordinary_alpha,HOLD_A7FFCORE54ES02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,573
interaction_alpha,HOLD_A7FFCORE54ES08_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,568
ordinary_alpha,HOLD_A7FFCORE54ES03_PRE_MAY_UNSTABLE,L0_raw_forward_return,564
ordinary_alpha,HOLD_A7FFCORE54ES03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,564
ordinary_alpha,HOLD_A7FFCORE54ES04_CONTROL_DOMINATED,L7_ranked_future_return,552
ordinary_alpha,HOLD_A7FFCORE54ES03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,551
ordinary_alpha,HOLD_A7FFCORE54ES04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,533
ordinary_alpha,HOLD_A7FFCORE54ES06_CONTROL_DOMINATED,L7_ranked_future_return,529
ordinary_alpha,HOLD_A7FFCORE54ES04_PRE_MAY_UNSTABLE,L0_raw_forward_return,525
ordinary_alpha,HOLD_A7FFCORE54ES04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,525
ordinary_alpha,HOLD_A7FFCORE54ES03_CONTROL_DOMINATED,L7_ranked_future_return,426
interaction_alpha,HOLD_A7FFCORE54ES09_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,422
interaction_alpha,HOLD_A7FFCORE54ES09_PRE_MAY_UNSTABLE,L0_raw_forward_return,416
interaction_alpha,HOLD_A7FFCORE54ES09_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,416
ordinary_alpha,HOLD_A7FFCORE54ES05_PRE_MAY_UNSTABLE,L7_ranked_future_return,412
interaction_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L0_raw_forward_return,412
interaction_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,412
interaction_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,406
interaction_alpha,HOLD_A7FFCORE54ES08_CONTROL_DOMINATED,L7_ranked_future_return,403
ordinary_alpha,HOLD_A7FFCORE54ES05_CONTROL_DOMINATED,L7_ranked_future_return,399
interaction_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,393
interaction_alpha,HOLD_A7FFCORE54ES09_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,389
ordinary_alpha,HOLD_A7FFCORE54ES00_PRE_MAY_UNSTABLE,L7_ranked_future_return,381
ordinary_alpha,HOLD_A7FFCORE54ES04_CONTROL_DOMINATED,L0_raw_forward_return,358
ordinary_alpha,HOLD_A7FFCORE54ES04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,357
ordinary_alpha,HOLD_A7FFCORE54ES04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,348
ordinary_alpha,HOLD_A7FFCORE54ES01_PRE_MAY_UNSTABLE,L7_ranked_future_return,336
ordinary_alpha,HOLD_A7FFCORE54ES01_CONTROL_DOMINATED,L7_ranked_future_return,333
ordinary_alpha,HOLD_A7FFCORE54ES03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,328
ordinary_alpha,HOLD_A7FFCORE54ES00_CONTROL_DOMINATED,L7_ranked_future_return,324
ordinary_alpha,HOLD_A7FFCORE54ES02_CONTROL_DOMINATED,L7_ranked_future_return,318
ordinary_alpha,HOLD_A7FFCORE54ES03_CONTROL_DOMINATED,L0_raw_forward_return,315
ordinary_alpha,HOLD_A7FFCORE54ES03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,313
ordinary_alpha,HOLD_A7FFCORE54ES02_PRE_MAY_UNSTABLE,L7_ranked_future_return,308
interaction_alpha,HOLD_A7FFCORE54ES08_PRE_MAY_UNSTABLE,L7_ranked_future_return,301
ordinary_alpha,HOLD_A7FFCORE54ES06_PRE_MAY_UNSTABLE,L7_ranked_future_return,292
ordinary_alpha,HOLD_A7FFCORE54ES06_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,287
ordinary_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,267
interaction_alpha,HOLD_A7FFCORE54ES09_PRE_MAY_UNSTABLE,L7_ranked_future_return,265
ordinary_alpha,HOLD_A7FFCORE54ES03_PRE_MAY_UNSTABLE,L7_ranked_future_return,240
ordinary_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L0_raw_forward_return,239
ordinary_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,239
interaction_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L7_ranked_future_return,238
interaction_alpha,HOLD_A7FFCORE54ES08_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,235
ordinary_alpha,HOLD_A7FFCORE54ES06_CONTROL_DOMINATED,L5_vol_adjusted_return,232
ordinary_alpha,HOLD_A7FFCORE54ES03_CONTROL_DOMINATED,L5_vol_adjusted_return,223
ordinary_alpha,HOLD_A7FFCORE54ES04_PRE_MAY_UNSTABLE,L7_ranked_future_return,217
interaction_alpha,HOLD_A7FFCORE54ES09_CONTROL_DOMINATED,L7_ranked_future_return,214
