a7input_queue,decision,label_family,row_count
ordinary_alpha,HOLD_A7FFCORE54ES05_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,211
ordinary_alpha,HOLD_A7FFCORE54ES00_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,211
interaction_alpha,HOLD_A7FFCORE54ES08_CONTROL_DOMINATED,L0_raw_forward_return,211
interaction_alpha,HOLD_A7FFCORE54ES08_CONTROL_DOMINATED,L1_cross_sectional_relative_return,210
ordinary_alpha,A7FFCORE54ES03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,207
ordinary_alpha,HOLD_A7FFCORE54ES00_CONTROL_DOMINATED,L1_cross_sectional_relative_return,204
ordinary_alpha,HOLD_A7FFCORE54ES00_CONTROL_DOMINATED,L0_raw_forward_return,203
interaction_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L7_ranked_future_return,200
ordinary_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L7_ranked_future_return,196
ordinary_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,194
ordinary_alpha,HOLD_A7FFCORE54ES02_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,193
ordinary_alpha,HOLD_A7FFCORE54ES02_CONTROL_DOMINATED,L1_cross_sectional_relative_return,190
ordinary_alpha,HOLD_A7FFCORE54ES01_CONTROL_DOMINATED,L1_cross_sectional_relative_return,188
ordinary_alpha,HOLD_A7FFCORE54ES02_CONTROL_DOMINATED,L0_raw_forward_return,187
ordinary_alpha,HOLD_A7FFCORE54ES01_CONTROL_DOMINATED,L0_raw_forward_return,185
interaction_alpha,HOLD_A7FFCORE54ES08_CONTROL_DOMINATED,L5_vol_adjusted_return,184
ordinary_alpha,HOLD_A7FFCORE54ES00_CONTROL_DOMINATED,L5_vol_adjusted_return,184
ordinary_alpha,HOLD_A7FFCORE54ES05_CONTROL_DOMINATED,L5_vol_adjusted_return,183
ordinary_alpha,HOLD_A7FFCORE54ES02_CONTROL_DOMINATED,L5_vol_adjusted_return,182
ordinary_alpha,HOLD_A7FFCORE54ES01_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,180
ordinary_alpha,HOLD_A7FFCORE54ES01_CONTROL_DOMINATED,L5_vol_adjusted_return,156
ordinary_alpha,HOLD_A7FFCORE54ES06_CONTROL_DOMINATED,L1_cross_sectional_relative_return,147
ordinary_alpha,HOLD_A7FFCORE54ES06_CONTROL_DOMINATED,L0_raw_forward_return,147
interaction_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L5_vol_adjusted_return,140
interaction_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,133
ordinary_alpha,A7FFCORE54ES02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,132
ordinary_alpha,HOLD_A7FFCORE54ES05_CONTROL_DOMINATED,L0_raw_forward_return,131
ordinary_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,131
ordinary_alpha,HOLD_A7FFCORE54ES05_CONTROL_DOMINATED,L1_cross_sectional_relative_return,131
interaction_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L0_raw_forward_return,130
interaction_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L1_cross_sectional_relative_return,129
ordinary_alpha,A7FFCORE54ES00_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,117
ordinary_alpha,A7FFCORE54ES04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,114
interaction_alpha,HOLD_A7FFCORE54ES09_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,107
ordinary_alpha,A7FFCORE54ES01_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,97
ordinary_alpha,HOLD_A7FFCORE54ES04_CONTROL_DOMINATED,L5_vol_adjusted_return,96
ordinary_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L1_cross_sectional_relative_return,88
ordinary_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L0_raw_forward_return,88
ordinary_alpha,HOLD_A7FFCORE54ES07_PRE_MAY_UNSTABLE,L7_ranked_future_return,88
interaction_alpha,A7FFCORE54ES07_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,88
interaction_alpha,A7FFCORE54ES08_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,84
interaction_alpha,HOLD_A7FFCORE54ES09_CONTROL_DOMINATED,L1_cross_sectional_relative_return,79
interaction_alpha,HOLD_A7FFCORE54ES09_CONTROL_DOMINATED,L5_vol_adjusted_return,79
interaction_alpha,HOLD_A7FFCORE54ES09_CONTROL_DOMINATED,L0_raw_forward_return,78
ordinary_alpha,A7FFCORE54ES06_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,73
ordinary_alpha,HOLD_A7FFCORE54ES00_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,66
ordinary_alpha,HOLD_A7FFCORE54ES07_CONTROL_DOMINATED,L5_vol_adjusted_return,60
ordinary_alpha,A7FFCORE54ES07_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,43
ordinary_alpha,HOLD_A7FFCORE54ES02_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,41
ordinary_alpha,HOLD_A7FFCORE54ES01_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,41
interaction_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,38
interaction_alpha,HOLD_A7FFCORE54ES08_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,36
ordinary_alpha,HOLD_A7FFCORE54ES00_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,35
ordinary_alpha,A7FFCORE54ES05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,31
ordinary_alpha,A7FFCORE54ES00_NUMERIC_CLUE,L5_vol_adjusted_return,27
interaction_alpha,HOLD_A7FFCORE54ES09_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,25
ordinary_alpha,HOLD_A7FFCORE54ES01_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,25
ordinary_alpha,HOLD_A7FFCORE54ES00_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,24
ordinary_alpha,HOLD_A7FFCORE54ES03_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,23
ordinary_alpha,A7FFCORE54ES00_NUMERIC_CLUE,L1_cross_sectional_relative_return,23
ordinary_alpha,HOLD_A7FFCORE54ES05_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,22
interaction_alpha,HOLD_A7FFCORE54ES09_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,22
ordinary_alpha,A7FFCORE54ES00_NUMERIC_CLUE,L0_raw_forward_return,22
ordinary_alpha,HOLD_A7FFCORE54ES01_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,22
ordinary_alpha,HOLD_A7FFCORE54ES02_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,21
ordinary_alpha,A7FFCORE54ES00_NUMERIC_CLUE,L3_liquidity_tier_relative_return,21
interaction_alpha,HOLD_A7FFCORE54ES09_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,21
interaction_alpha,HOLD_A7FFCORE54ES09_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,20
ordinary_alpha,A7FFCORE54ES02_NUMERIC_CLUE,L3_liquidity_tier_relative_return,20
ordinary_alpha,A7FFCORE54ES02_NUMERIC_CLUE,L5_vol_adjusted_return,20
ordinary_alpha,HOLD_A7FFCORE54ES01_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,19
ordinary_alpha,HOLD_A7FFCORE54ES00_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,19
interaction_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,19
ordinary_alpha,HOLD_A7FFCORE54ES06_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,18
ordinary_alpha,HOLD_A7FFCORE54ES01_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,18
interaction_alpha,HOLD_A7FFCORE54ES08_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,17
interaction_alpha,HOLD_A7FFCORE54ES08_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,17
ordinary_alpha,HOLD_A7FFCORE54ES00_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,17
interaction_alpha,HOLD_A7FFCORE54ES08_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,16
ordinary_alpha,A7FFCORE54ES03_NUMERIC_CLUE,L1_cross_sectional_relative_return,15
ordinary_alpha,A7FFCORE54ES03_NUMERIC_CLUE,L5_vol_adjusted_return,15
interaction_alpha,HOLD_A7FFCORE54ES09_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,15
ordinary_alpha,A7FFCORE54ES02_NUMERIC_CLUE,L0_raw_forward_return,15
ordinary_alpha,HOLD_A7FFCORE54ES06_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,15
ordinary_alpha,A7FFCORE54ES02_NUMERIC_CLUE,L1_cross_sectional_relative_return,15
ordinary_alpha,HOLD_A7FFCORE54ES05_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,14
ordinary_alpha,HOLD_A7FFCORE54ES05_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,14
ordinary_alpha,HOLD_A7FFCORE54ES05_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,14
ordinary_alpha,HOLD_A7FFCORE54ES06_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,14
interaction_alpha,HOLD_A7FFCORE54ES08_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,14
ordinary_alpha,A7FFCORE54ES01_NUMERIC_CLUE,L0_raw_forward_return,13
ordinary_alpha,A7FFCORE54ES01_NUMERIC_CLUE,L5_vol_adjusted_return,13
ordinary_alpha,HOLD_A7FFCORE54ES06_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,13
ordinary_alpha,A7FFCORE54ES03_NUMERIC_CLUE,L3_liquidity_tier_relative_return,13
interaction_alpha,A7FFCORE54ES07_NUMERIC_CLUE,L5_vol_adjusted_return,12
interaction_alpha,A7FFCORE54ES07_NUMERIC_CLUE,L1_cross_sectional_relative_return,12
interaction_alpha,A7FFCORE54ES07_NUMERIC_CLUE,L3_liquidity_tier_relative_return,12
ordinary_alpha,HOLD_A7FFCORE54ES05_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,12
ordinary_alpha,HOLD_A7FFCORE54ES02_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,12
ordinary_alpha,HOLD_A7FFCORE54ES06_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,12
interaction_alpha,A7FFCORE54ES09_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,12
ordinary_alpha,A7FFCORE54ES01_NUMERIC_CLUE,L1_cross_sectional_relative_return,11
ordinary_alpha,A7FFCORE54ES03_NUMERIC_CLUE,L0_raw_forward_return,11
interaction_alpha,A7FFCORE54ES07_NUMERIC_CLUE,L0_raw_forward_return,10
ordinary_alpha,HOLD_A7FFCORE54ES02_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,10
ordinary_alpha,HOLD_A7FFCORE54ES02_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,9
ordinary_alpha,A7FFCORE54ES01_NUMERIC_CLUE,L3_liquidity_tier_relative_return,9
interaction_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,9
interaction_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,9
interaction_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,8
ordinary_alpha,HOLD_A7FFCORE54ES03_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,5
interaction_alpha,A7FFCORE54ES08_NUMERIC_CLUE,L5_vol_adjusted_return,5
ordinary_alpha,A7FFCORE54ES06_NUMERIC_CLUE,L1_cross_sectional_relative_return,4
interaction_alpha,A7FFCORE54ES08_NUMERIC_CLUE,L1_cross_sectional_relative_return,4
ordinary_alpha,A7FFCORE54ES06_NUMERIC_CLUE,L5_vol_adjusted_return,4
interaction_alpha,A7FFCORE54ES08_NUMERIC_CLUE,L3_liquidity_tier_relative_return,4
interaction_alpha,A7FFCORE54ES08_NUMERIC_CLUE,L0_raw_forward_return,4
ordinary_alpha,HOLD_A7FFCORE54ES03_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,4
interaction_alpha,HOLD_A7FFCORE54ES07_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,4
ordinary_alpha,HOLD_A7FFCORE54ES03_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,4
interaction_alpha,HOLD_A7FFCORE54ES07_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,3
ordinary_alpha,A7FFCORE54ES07_NUMERIC_CLUE,L3_liquidity_tier_relative_return,3
ordinary_alpha,A7FFCORE54ES06_NUMERIC_CLUE,L3_liquidity_tier_relative_return,3
ordinary_alpha,A7FFCORE54ES06_NUMERIC_CLUE,L0_raw_forward_return,3
interaction_alpha,HOLD_A7FFCORE54ES07_COST2_PROXY_FRAGILE,L0_raw_forward_return,3
ordinary_alpha,HOLD_A7FFCORE54ES02_COST2_PROXY_FRAGILE,L0_raw_forward_return,3
ordinary_alpha,HOLD_A7FFCORE54ES02_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,2
ordinary_alpha,HOLD_A7FFCORE54ES00_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,2
ordinary_alpha,A7FFCORE54ES04_NUMERIC_CLUE,L3_liquidity_tier_relative_return,2
ordinary_alpha,HOLD_A7FFCORE54ES01_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,2
ordinary_alpha,A7FFCORE54ES04_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
ordinary_alpha,A7FFCORE54ES05_NUMERIC_CLUE,L5_vol_adjusted_return,1
ordinary_alpha,A7FFCORE54ES04_NUMERIC_CLUE,L0_raw_forward_return,1
ordinary_alpha,HOLD_A7FFCORE54ES03_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,1
ordinary_alpha,HOLD_A7FFCORE54ES03_COST2_PROXY_FRAGILE,L0_raw_forward_return,1
ordinary_alpha,HOLD_A7FFCORE54ES02_NONOVERLAP_WEAK,L7_ranked_future_return,1
ordinary_alpha,HOLD_A7FFCORE54ES02_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,1
ordinary_alpha,HOLD_A7FFCORE54ES00_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,1
ordinary_alpha,HOLD_A7FFCORE54ES00_COST2_PROXY_FRAGILE,L0_raw_forward_return,1
ordinary_alpha,HOLD_A7FFCORE54ES01_NONOVERLAP_WEAK,L3_liquidity_tier_relative_return,1
ordinary_alpha,HOLD_A7FFCORE54ES01_NONOVERLAP_WEAK,L7_ranked_future_return,1
ordinary_alpha,HOLD_A7FFCORE54ES04_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,1
ordinary_alpha,HOLD_A7FFCORE54ES04_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,1
ordinary_alpha,HOLD_A7FFCORE54ES04_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,1
ordinary_alpha,HOLD_A7FFCORE54ES04_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,1
ordinary_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,1
ordinary_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,1
ordinary_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,1
ordinary_alpha,HOLD_A7FFCORE54ES07_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,1
