a7input_queue,semantic_pair,label_family,row_count
ordinary_alpha,basis_premium_like|volatility_like,L7_ranked_future_return,21
ordinary_alpha,basis_premium_like|price_like,L7_ranked_future_return,19
ordinary_alpha,volatility_like|volatility_like,L7_ranked_future_return,11
ordinary_alpha,basis_premium_like|price_like,L5_vol_adjusted_return,10
interaction_alpha,basis_premium_like|volatility_like,L7_ranked_future_return,10
interaction_alpha,basis_premium_like|positioning_like,L7_ranked_future_return,9
ordinary_alpha,basis_premium_like|basis_premium_like,L7_ranked_future_return,8
ordinary_alpha,price_like|volatility_like,L7_ranked_future_return,7
ordinary_alpha,basis_premium_like|volatility_like,L5_vol_adjusted_return,7
ordinary_alpha,basis_premium_like|basis_premium_like,L5_vol_adjusted_return,6
ordinary_alpha,liquidity_like|volatility_like,L7_ranked_future_return,6
interaction_alpha,basis_premium_like|basis_premium_like,L7_ranked_future_return,4
interaction_alpha,price_like|volatility_like,L7_ranked_future_return,4
interaction_alpha,basis_premium_like|volatility_like,L5_vol_adjusted_return,4
ordinary_alpha,price_like,L7_ranked_future_return,3
ordinary_alpha,basis_premium_like|positioning_like,L5_vol_adjusted_return,3
ordinary_alpha,basis_premium_like|positioning_like,L7_ranked_future_return,3
interaction_alpha,basis_premium_like|price_like,L7_ranked_future_return,2
interaction_alpha,price_like|volatility_like,L5_vol_adjusted_return,2
ordinary_alpha,volatility_like,L7_ranked_future_return,2
ordinary_alpha,price_like|volatility_like,L5_vol_adjusted_return,2
interaction_alpha,basis_premium_like|basis_premium_like,L5_vol_adjusted_return,1
interaction_alpha,basis_premium_like|positioning_like,L5_vol_adjusted_return,1
ordinary_alpha,basis_premium_like,L5_vol_adjusted_return,1
interaction_alpha,basis_premium_like|price_like,L5_vol_adjusted_return,1
ordinary_alpha,basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,1
ordinary_alpha,price_like,L5_vol_adjusted_return,1
