shard,started_at,finished_at,returncode,timed_out,runtime_dir,queue_rows,ordinary_rows,interaction_rows,decision,blockers,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,selected_portfolio_queue_count,reused_existing
s00,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_00,256,256,0,PASS_A7FFCORE54ES00_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,222,4440,93,117,20,True
s01,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_01,256,256,0,PASS_A7FFCORE54ES01_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,202,4040,46,97,18,True
s02,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_02,256,256,0,PASS_A7FFCORE54ES02_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,200,4000,70,132,19,True
s03,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_03,256,256,0,PASS_A7FFCORE54ES03_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,224,4480,54,207,20,True
s04,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_04,256,256,0,PASS_A7FFCORE54ES04_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,221,4420,4,114,11,True
s05,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_05,256,256,0,PASS_A7FFCORE54ES05_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,216,4320,1,31,7,True
s06,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_06,256,256,0,PASS_A7FFCORE54ES06_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,228,4560,14,73,9,True
s07,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_07,256,83,173,PASS_A7FFCORE54ES07_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,223,4460,49,131,24,True
s08,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_08,256,0,256,PASS_A7FFCORE54ES08_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,206,4120,17,84,16,True
s09,,2026-06-04T05:50:39Z,0,False,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore54e_tag_aware_numeric_execution_20260604/shard_09,147,0,147,HOLD_A7FFCORE54ES09_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,129,2580,0,12,5,True
