field_token,family_id,role
signed_aggressor_notional,F1a_aggtrades_flow_microstructure,flow
signed_aggressor_quantity,F1a_aggtrades_flow_microstructure,flow
volume_imbalance,F1a_aggtrades_flow_microstructure,flow_state
max_trade_notional,F1a_aggtrades_flow_microstructure,large_trade_state
kline_taker_buy_quote_share,F1b_taker_flow_market_panel,taker_flow
kline_quote_volume,F1b_taker_flow_market_panel,liquidity_state
realized_vol_168h,F1b_taker_flow_market_panel,volatility_state
mark_index_basis_bps,F2a_basis_funding_independent,basis
premium_close_bps,F2a_basis_funding_independent,premium
funding_rate,F2a_basis_funding_independent,funding
funding_rate_abs_168h,F2a_basis_funding_independent,funding_state
