blueprint_id,expression,a7ls_lane,lane_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,skeleton_key,production_key,source_stage,source_seed_id,checkpoint_group
a7ls15_3fb0d12516aff15c,"Mul(Mul(ZScore(Mean(premium_close_bps,168)),ZScore(Mean(basis_abs_168h,168))),mark_index_basis_bps)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|basis_premium|basis_premium_like,seed_mul,a7ls9_13b0747d7cd8a637,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,level,skel_3f60938f4cdb8f74,prod_80d0266c84fec707,A7LS-13,a7ls9_13b0747d7cd8a637,chk_be21b14e923f3764
a7ls15_85f064f4aa3649ee,mark_index_basis_bps,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,level,,skel_ca36cd3eaf5a3a94,prod_371f830af694ca1a,A7LS-14,,chk_152340eddcac6bc2
a7ls15_036be76de15c9654,"Mul(mark_index_basis_bps,realized_vol_24h)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|volatility_like,mul,mark_index_basis_bps,realized_vol_24h,basis_premium_like,volatility_like,level,level,skel_337820bc5afcf6cc,prod_12192ffb8ce1c01e,A7LS-14,,chk_eaaa0aa889d83133
a7ls15_a42cd8ee4ff69c71,"Sub(Mul(Delta(realized_vol_72h,168),ZScore(Mean(liquidity_rank_active_universe,168))),CSRank(mark_index_basis_bps))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,volatility_like|liquidity_rank_active_universe|basis_premium_like,seed_sub,a7ls9_db1bf403691c180d,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,csrank,skel_f4a4768f52f6024b,prod_1f9f7d4c0f80ae9d,A7LS-13,a7ls9_db1bf403691c180d,chk_f2e5402b02fee918
a7ls15_8de7a42f16da144c,CSRank(mark_index_basis_bps),A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,csrank,,skel_f6a3f0b03e9258f2,prod_6fc7a77fbdc2a0e5,A7LS-14,,chk_0b1cdaa706367870
a7ls15_bb2dcfc2d8d93d43,"Mul(mark_index_basis_bps,trade_quote_volume)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|liquidity_like,mul,mark_index_basis_bps,trade_quote_volume,basis_premium_like,liquidity_like,level,level,skel_337820bc5afcf6cc,prod_2de326a3c43df8da,A7LS-14,,chk_5d6006f59b0475d5
a7ls15_201549108ff1f5d7,"Mul(Mul(Abs(ZScore(Mean(premium_abs_168h,72))),ZScore(Mean(taker_buy_sell_volume_ratio_last,72))),Sign(Clip(ZScore(mark_index_basis_bps),-3,3)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|positioning_flow|basis_premium_like,seed_gated_sign,a7ls9_d7a773685af27a8b,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,clip_z,skel_4c67730a88229806,prod_454fedf7810dbcd8,A7LS-13,a7ls9_d7a773685af27a8b,chk_6ab6bb381d865f97
a7ls15_01d1c0d4ef557ad9,"Clip(ZScore(mark_index_basis_bps),-3,3)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,clip_z,,skel_8a3e91f81074ce44,prod_46cb8d2209e49dee,A7LS-14,,chk_f11b9e343eac0ba4
a7ls15_4380c7baced6ffe3,"Mul(mark_index_basis_bps,trade_close)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|price_like,mul,mark_index_basis_bps,trade_close,basis_premium_like,price_like,level,level,skel_337820bc5afcf6cc,prod_0defca006920ee45,A7LS-14,,chk_fcb44eb7382a7121
a7ls15_0f52d57c856551ab,"Mean(Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Delta(mark_index_basis_bps,1)),4)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|basis_premium_like,seed_smooth_mul,a7ls9_0c00218805a15710,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,delta_1h,skel_e7511eb3cb595ad6,prod_333cd8ee2fcbe14f,A7LS-13,a7ls9_0c00218805a15710,chk_aeadfee51a41d52a
a7ls15_58f9840fba8538b9,"Delta(mark_index_basis_bps,1)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,delta_1h,,skel_1d39996e97d5ace0,prod_cecd271772906b58,A7LS-14,,chk_8d039fd807233575
a7ls15_be9af6ea145bf937,"Mul(mark_index_basis_bps,listing_age_days)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|listing_age_like,mul,mark_index_basis_bps,listing_age_days,basis_premium_like,listing_age_like,level,level,skel_337820bc5afcf6cc,prod_3b5ca24744ae21e3,A7LS-14,,chk_52b58b5fd77c6994
a7ls15_0cfacf142f2f534d,"Mul(Delta(Mul(ZScore(Mean(basis_abs_168h,24)),ZScore(Mean(premium_abs_168h,24))),4),ZScore(Mean(mark_index_basis_bps,1)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|basis_premium|basis_premium_like,seed_relative_shock,a7ls9_a5baef25254e750a,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,mean_1h,skel_228fcafb2b3d8e0a,prod_8c35a6e572a39976,A7LS-13,a7ls9_a5baef25254e750a,chk_bc85ff2ba5fb9b9f
a7ls15_b318ea370971e53f,"Mean(mark_index_basis_bps,1)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,mean_1h,,skel_1d39996e97d5ace0,prod_6507c5158bcbb4e3,A7LS-14,,chk_8d039fd807233575
a7ls15_9da3e03eea03c7f4,"Mul(mark_index_basis_bps,global_long_short_account_ratio_last)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|positioning_like,mul,mark_index_basis_bps,global_long_short_account_ratio_last,basis_premium_like,positioning_like,level,level,skel_337820bc5afcf6cc,prod_bb44f40c528a42be,A7LS-14,,chk_b0d77289bae5a6b4
a7ls15_b6fad0ab41d3f73a,"Mul(Sub(CSRank(Mul(Abs(ZScore(Mean(basis_abs_168h,72))),ZScore(Mean(taker_buy_sell_volume_ratio_last,72)))),CSRank(ZScore(Mean(mark_index_basis_bps,1)))),Sign(ZScore(Mean(mark_index_basis_bps,1))))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium|positioning_flow|basis_premium_like,seed_signed_spread,a7ls9_9060064e491093b0,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,zmean_1h,skel_4e306b47ce685682,prod_95efa4c8d6ced454,A7LS-13,a7ls9_9060064e491093b0,chk_376934c4eab903cb
a7ls15_25aa9363f00910ce,"ZScore(Mean(mark_index_basis_bps,1))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,zmean_1h,,skel_a311ee3fdacdeca2,prod_b077fec66741c371,A7LS-14,,chk_3a9c98241afc04cd
a7ls15_f2572f4f4a2a5d62,"Mul(mark_index_basis_bps,mark_trade_basis_bps)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like,mul,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,level,level,skel_337820bc5afcf6cc,prod_87c86032c47ce09a,A7LS-14,,chk_c467bfe2203adde9
a7ls15_0776a992d7f20a95,"Mul(Mul(Abs(ZScore(Mean(realized_vol_168h,168))),ZScore(Mean(volume_volatility_ratio_168h,168))),Abs(ZScore(Mean(mark_index_basis_bps,1))))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,volatility_like|volume_volatility_ratio_168h|basis_premium_like,seed_mul,a7ls9_164ffbbc7312fdc6,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,abs_zmean_1h,skel_d6e7a606066a190d,prod_b19b32a7591af681,A7LS-13,a7ls9_164ffbbc7312fdc6,chk_2e0e9ae8dde5fd7e
a7ls15_3e9a7ab0f699fe17,"Abs(ZScore(Mean(mark_index_basis_bps,1)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,abs_zmean_1h,,skel_1926552988410ac0,prod_b46e11ea8e83735f,A7LS-14,,chk_5984a68d1441d1ef
a7ls15_736468a6a38080ea,"Sub(mark_trade_basis_bps,realized_vol_24h)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|volatility_like,sub,mark_trade_basis_bps,realized_vol_24h,basis_premium_like,volatility_like,level,level,skel_337820bc5afcf6cc,prod_92128cccf00607fd,A7LS-14,,chk_65d5f53ca4066987
a7ls15_0f7fd433f9bd9706,"Sub(Mul(Abs(ZScore(Mean(premium_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(mark_index_basis_bps,1))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,basis_premium_like|age_x_volatility|basis_premium_like,seed_sub,a7ls9_f131878ada5f7bdb,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,decay_1h,skel_591fa1d46246bc58,prod_273c8e16d1fdd81a,A7LS-13,a7ls9_f131878ada5f7bdb,chk_0aace6502597c444
a7ls15_d70a9c9c8d3c815e,"Decay(mark_index_basis_bps,1)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,decay_1h,,skel_1d39996e97d5ace0,prod_c24edcc0fb944f23,A7LS-14,,chk_8d039fd807233575
a7ls15_5aa5120d75c3c7af,"Sub(mark_trade_basis_bps,trade_quote_volume)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|liquidity_like,sub,mark_trade_basis_bps,trade_quote_volume,basis_premium_like,liquidity_like,level,level,skel_337820bc5afcf6cc,prod_54512af1ba1bd6d6,A7LS-14,,chk_5647a1bcc6f102ca
a7ls15_8017f144a576b3e6,"Mul(Mul(Abs(ZScore(Mean(trade_return_24h,504))),ZScore(Mean(volume_volatility_ratio_168h,504))),Sign(TSRank(mark_index_basis_bps,1)))",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,volatility_like|volume_volatility_ratio_168h|basis_premium_like,seed_gated_sign,a7ls9_1d98ff9117e75a6f,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,tsrank_1h,skel_de24d62b59cd8e14,prod_3beede145867cbf1,A7LS-13,a7ls9_1d98ff9117e75a6f,chk_bf59afdfe80d7de9
a7ls15_47746699eae91e08,"TSRank(mark_index_basis_bps,1)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L1_single_axis_transform,role_mixed_allowed,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,tsrank_1h,,skel_1d39996e97d5ace0,prod_a2c1015d174b9e75,A7LS-14,,chk_8d039fd807233575
a7ls15_457fabcaa39ff786,"Sub(mark_trade_basis_bps,trade_close)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L2_typed_interaction,role_mixed_allowed,P0,basis_premium_like|price_like,sub,mark_trade_basis_bps,trade_close,basis_premium_like,price_like,level,level,skel_337820bc5afcf6cc,prod_6e0c7b7e06c33622,A7LS-14,,chk_c7603043d7676901
a7ls15_60fa4f8113958949,"Mean(Mul(Mul(ZScore(Mean(age_x_volatility,24)),Abs(ZScore(Mean(basis_abs_168h,24)))),Delta(mark_index_basis_bps,2)),4)",A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,L3_seed_context_mutation,role_mixed_allowed,P0,listing_age_like|regime_state|basis_premium_like,seed_smooth_mul,a7ls9_a86ac02d201ae3f4,mark_index_basis_bps,a7ls13_seed,basis_premium_like,seed_expression,delta_2h,skel_2a158a063467ef22,prod_65a656dc666d651b,A7LS-13,a7ls9_a86ac02d201ae3f4,chk_0d3d862ac4d05f42
