field_name,source_contract,field_class,pit_policy,in_base_panel_schema,allowed_for_historical_dry_generation
R0_market_trend_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R10_stress_proxy_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R2_market_breadth_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R3_liquidity_cycle_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R4_leverage_crowding_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R5_basis_premium_dislocation_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R6_positioning_crowding_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
R9_alt_vs_major_dispersion_state,a7al0g_upper_regime,train_only_state,timestamp_plus_1h_primary,False,True
binance_internal_mark_index_basis_bps,binance_market_history,derived_historical,timestamp_plus_1h_primary,False,True
funding_rate,binance_funding_history,raw_source,timestamp_plus_1h_primary,True,True
funding_rate_abs_168h,a7ak_lv1_derived,derived_rolling,timestamp_plus_1h_primary,False,True
funding_rate_mean_168h,a7ak_lv1_derived,derived_rolling,timestamp_plus_1h_primary,False,True
global_long_short_account_ratio_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
global_long_short_account_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
index_close,binance_market_history,raw_source,timestamp_plus_1h_primary,True,True
is_major,a7ak_taxonomy,observable_taxonomy,timestamp_plus_1h_primary,False,True
is_multiplier_contract,a7ak_taxonomy,observable_taxonomy,timestamp_plus_1h_primary,False,True
kline_taker_buy_quote_share,binance_market_history,raw_source_or_derived,timestamp_plus_1h_primary,True,True
liquidity_rank_active_universe,a7ak_lv1_latent,train_only_or_observable_state,timestamp_plus_1h_primary,False,True
liquidity_tier,a7ak_taxonomy,observable_taxonomy,timestamp_plus_1h_primary,False,True
listing_age_days,a7ak_lv1_latent,train_only_or_observable_state,timestamp_plus_1h_primary,False,True
mark_close,binance_market_history,raw_source,timestamp_plus_1h_primary,True,True
mark_index_basis_bps,binance_market_history,derived_historical,timestamp_plus_1h_primary,True,True
mark_trade_basis_bps,binance_market_history,derived_historical,timestamp_plus_1h_primary,True,True
meme_contract_group,a7ak_taxonomy,observable_taxonomy,timestamp_plus_1h_primary,False,True
open_interest_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
open_interest_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
open_interest_value_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
open_interest_value_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
premium_close,binance_premium_history,raw_source,timestamp_plus_1h_primary,True,True
premium_close_bps,binance_premium_history,raw_source,timestamp_plus_1h_primary,True,True
raw_latent_state_id,a7ak_lv1_latent,train_only_or_observable_state,timestamp_plus_1h_primary,False,True
taker_buy_quote_volume,binance_market_history,raw_source_or_derived,timestamp_plus_1h_primary,True,True
taker_buy_sell_volume_ratio_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
taker_buy_sell_volume_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
top_long_short_account_ratio_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
top_long_short_account_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
top_long_short_position_ratio_last,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
top_long_short_position_ratio_mean,binance_metrics_history,raw_source,timestamp_plus_1h_primary,True,True
trade_close,binance_market_history,raw_source,timestamp_plus_1h_primary,True,True
