label_family,label_horizon_h,cost_tier,candidate_rows,unique_blueprints,median_control_ratio,median_cost2,median_cost5,median_cost10
L0_raw_forward_return,1,cost2_numeric_diagnostic,29,29,0.6134253789985966,0.0003653212564005,-0.0002346787435994,-0.0012346787435994
L0_raw_forward_return,1,cost5_followup,43,43,0.3143084679293464,0.0007853100250019,0.0001853100250019,-0.000814689974998
L0_raw_forward_return,4,cost2_numeric_diagnostic,7,7,0.8425524497865741,0.0005810204768871,-1.897952311287563e-05,-0.0010189795231128
L0_raw_forward_return,4,cost5_followup,8,8,0.8720036828829506,0.0019314917916033,0.0013314917916033,0.00033149179160335
L0_raw_forward_return,4,strict_cost10,7,7,0.7604519179234577,0.0024548690715478,0.0018548690715478,0.0008548690715478
L0_raw_forward_return,8,cost2_numeric_diagnostic,1,1,0.6920938139350163,0.0002924047597,-0.0003075952402999,-0.0013075952402999
L0_raw_forward_return,8,cost5_followup,2,2,0.7149831063128645,0.0007102921699077,0.0001102921699077,-0.0008897078300922
L0_raw_forward_return,8,strict_cost10,1,1,0.7844530643104192,0.0023295948758117,0.0017295948758117,0.0007295948758117
L1_cross_sectional_relative_return,1,cost2_numeric_diagnostic,32,32,0.599107608589919,0.00035811771296105003,-0.00024188228703885,-0.00124188228703885
L1_cross_sectional_relative_return,1,cost5_followup,43,43,0.3249173712716064,0.0007853100250019,0.0001853100250019,-0.000814689974998
L1_cross_sectional_relative_return,4,cost2_numeric_diagnostic,10,10,0.8780436049149215,0.00052398626306245,-7.601373693748793e-05,-0.00107601373693745
L1_cross_sectional_relative_return,4,cost5_followup,5,5,0.8804359289372079,0.0024442938334242,0.0018442938334242,0.0008442938334242
L1_cross_sectional_relative_return,4,strict_cost10,10,10,0.7635230345576339,0.0024548690715478,0.0018548690715478,0.0008548690715478
L1_cross_sectional_relative_return,8,cost2_numeric_diagnostic,2,2,0.985716975048582,0.002509453026002,0.0019094530260019998,0.000909453026002
L1_cross_sectional_relative_return,8,cost5_followup,1,1,0.7149831063128645,0.0007102921699077,0.0001102921699077,-0.0008897078300922
L1_cross_sectional_relative_return,24,cost2_numeric_diagnostic,1,1,0.9832131784937672,0.000676547065992,7.654706599200998e-05,-0.0009234529340079
L3_liquidity_tier_relative_return,1,cost2_numeric_diagnostic,36,36,0.6091940108544747,0.0003993935489793,-0.0002006064510206,-0.0012006064510206
L3_liquidity_tier_relative_return,1,cost5_followup,43,43,0.3120855806229328,0.0008100505354117,0.0002100505354117,-0.0007899494645882
L3_liquidity_tier_relative_return,4,cost2_numeric_diagnostic,18,18,0.9179798861457156,0.0023853046550800497,0.00178530465508005,0.00078530465508005
L3_liquidity_tier_relative_return,4,cost5_followup,5,5,0.8031294600497001,0.0012206397423511,0.0006206397423511,-0.0003793602576488
L3_liquidity_tier_relative_return,4,strict_cost10,1,1,0.5735686275107887,0.0019250704379093,0.0013250704379093,0.0003250704379093
L3_liquidity_tier_relative_return,8,cost2_numeric_diagnostic,1,1,0.9077218331289636,0.0020775982812947,0.0014775982812947,0.0004775982812947
L3_liquidity_tier_relative_return,8,cost5_followup,2,2,0.7461023534650366,0.0006670881064944,6.7088106494457e-05,-0.0009329118935055
L5_vol_adjusted_return,1,cost2_numeric_diagnostic,2,2,0.9687689988991826,0.07068891844967601,0.07008891844967599,0.06908891844967599
L5_vol_adjusted_return,1,cost5_followup,8,8,0.8359334102511127,0.0739412638304131,0.07334126383041309,0.0723412638304131
L5_vol_adjusted_return,1,strict_cost10,73,73,0.3173265658778443,0.1106074670841613,0.1100074670841613,0.1090074670841613
L5_vol_adjusted_return,4,cost2_numeric_diagnostic,10,10,0.9453868297406052,0.2063446370356756,0.2057446370356756,0.2047446370356756
L5_vol_adjusted_return,4,cost5_followup,4,4,0.8697439989252325,0.2733864101773197,0.2727864101773197,0.2717864101773197
L5_vol_adjusted_return,4,strict_cost10,25,25,0.5710029450359628,0.2730781257703649,0.2724781257703649,0.2714781257703649
L5_vol_adjusted_return,8,cost2_numeric_diagnostic,1,1,0.9726476599249532,0.3203057580652389,0.3197057580652389,0.3187057580652389
L5_vol_adjusted_return,8,cost5_followup,6,6,0.8444631104494107,0.2660290093228323,0.2654290093228323,0.2644290093228323
L5_vol_adjusted_return,8,strict_cost10,22,22,0.643013496997797,0.3427140363391744,0.3421140363391745,0.3411140363391745
L5_vol_adjusted_return,24,cost2_numeric_diagnostic,1,1,0.9904536234223146,0.1464606531264873,0.1458606531264873,0.1448606531264873
L5_vol_adjusted_return,24,cost5_followup,1,1,0.8658451689252166,0.1810555159643762,0.1804555159643762,0.1794555159643762
