label_family,label_horizon_h,cost_tier,selected_rows,unique_blueprints,median_control_ratio,median_cost2,median_cost5,median_cost10
L0_raw_forward_return,1,cost5_followup,29,29,0.2879997611130839,0.000789826795645,0.000189826795645,-0.0008101732043549
L0_raw_forward_return,4,cost5_followup,3,3,0.8628903398058642,0.0024524519058166,0.0018524519058166,0.0008524519058166
L0_raw_forward_return,4,strict_cost10,7,7,0.7604519179234577,0.0024548690715478,0.0018548690715478,0.0008548690715478
L0_raw_forward_return,8,strict_cost10,1,1,0.7844530643104192,0.0023295948758117,0.0017295948758117,0.0007295948758117
L1_cross_sectional_relative_return,1,cost2_numeric_diagnostic,5,5,0.4197598664643383,0.0005549156473986,-4.508435260137608e-05,-0.0010450843526013
L1_cross_sectional_relative_return,1,cost5_followup,27,27,0.3321122997913443,0.0007445064861407,0.0001445064861407,-0.0008554935138592
L1_cross_sectional_relative_return,4,strict_cost10,7,7,0.7635230345576339,0.0024548690715478,0.0018548690715478,0.0008548690715478
L1_cross_sectional_relative_return,8,cost5_followup,1,1,0.7149831063128645,0.0007102921699077,0.0001102921699077,-0.0008897078300922
L3_liquidity_tier_relative_return,1,cost2_numeric_diagnostic,23,23,0.5270308823329706,0.000453117340839,-0.0001468826591609,-0.0011468826591609
L3_liquidity_tier_relative_return,1,cost5_followup,12,12,0.5438211412840604,0.0007318837659163501,0.00013188376591635,-0.00086811623408355
L3_liquidity_tier_relative_return,4,cost2_numeric_diagnostic,1,1,0.541387917616742,0.0002282221017846,-0.0003717778982153,-0.0013717778982153
L3_liquidity_tier_relative_return,4,cost5_followup,3,3,0.6192368899100064,0.000717403573647,0.000117403573647,-0.0008825964263529
L3_liquidity_tier_relative_return,8,cost5_followup,1,1,0.7909649429946661,0.0006670881064944,6.7088106494457e-05,-0.0009329118935055
L5_vol_adjusted_return,1,cost2_numeric_diagnostic,2,2,0.9687689988991826,0.07068891844967601,0.07008891844967599,0.06908891844967599
L5_vol_adjusted_return,1,cost5_followup,5,5,0.8408038211582173,0.0715485957655527,0.0709485957655527,0.0699485957655527
L5_vol_adjusted_return,1,strict_cost10,16,16,0.5519187549877616,0.0795804270170741,0.07898042701707411,0.07798042701707411
L5_vol_adjusted_return,4,cost2_numeric_diagnostic,2,2,0.8257007388917503,0.07900464982950364,0.07840464982950365,0.07740464982950365
L5_vol_adjusted_return,4,strict_cost10,1,1,0.7626559630690036,0.0983181859278754,0.0977181859278754,0.0967181859278754
L5_vol_adjusted_return,8,cost5_followup,1,1,0.8300616941849034,0.1842651278407959,0.1836651278407959,0.1826651278407959
L5_vol_adjusted_return,8,strict_cost10,5,5,0.6363897725852734,0.3409866850483853,0.3403866850483854,0.3393866850483854
