production_family,allowed_inputs,allowed_transforms,allowed_windows,may_use_missing_as_signal,requires_agg_available_mask,must_residualize_against,notes
base_activity_liquidity,activity_liquidity,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
base_cross_symbol,cross_symbol,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
base_flow,flow,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
base_large_trade,large_trade,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
base_other,other,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
base_price_microstructure,price_microstructure,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
base_rolling,rolling,"Rank,ZScore,WinsorZScore,Clip,SafeDiv,Sign,Abs,Neg",none,False,True,"FundingCore,Core4 for scoring",Base agg feature use; generator may combine with existing mark/index/funding fields only under availability mask.
rolling_self_reproduction,all_numeric_agg_features,"TSMean,TSStd,TSRank,Delta,Decay,RollingMin,RollingMax,ZScore","4h,8h,12h,24h,48h,72h,96h",False,True,"FundingCore,Core4","Formula generator may create rolling descendants, but windows must be past-only and feature_available_time shifts by the full rolling lookback plus one completed hour."
cross_symbol_self_reproduction_core3,"BTCUSDT,ETHUSDT,SOLUSDT agg features only","CrossSymbolRank,CrossSymbolZScore,ShareOfUniverse,RelativeToBTC,RelativeToETH","1h,4h,24h",False,True,"FundingCore,Core4",Cross-symbol transforms are core3-only until agg coverage expands. Do not rank non-agg core12 symbols as zeros.
interaction_self_reproduction,agg_features plus existing market/funding/basis fields,"Mul,Add,Sub,SafeDiv,HorizonSpread,SmoothInteraction",same input windows only,False,True,"FundingCore,Core4","Interactions are allowed only after both sides pass PIT availability. Funding remains a baseline/control, not an unrestricted discovery target."
blocked_missingness_or_core12_zero_fill,none,none,none,False,True,n/a,Generator must not treat missing agg rows for non-core3 symbols as negative/zero signal. No zero-fill cross-section ranking.
blocked_future_or_same_hour,none,none,none,False,True,n/a,Same-hour close execution and future rolling windows are forbidden.
