blueprint_id,seed_lane,label_family,label_horizon_h,left_field,left_transform,operator,right_field,right_transform,expression,candidate_role
core26ce_S0_positioning_price_basis_1572b807bf8d0c,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_dbd1f8858fb841,S0_positioning_price_basis,L0_raw_forward_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,delta_4h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(trade_return_24h,4))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_19256ade752751,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,decay_72h,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(trade_return_24h,72))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_79b945756f4d0d,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,decay_72h,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(trade_return_24h,72))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_d943e251dc1b0c,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,zscore_168h,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(trade_return_24h))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_0922438f201b00,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,zscore_168h,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(trade_return_24h))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_7bdd72b98aaa04,S0_positioning_price_basis,L0_raw_forward_return,24,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,zscore_168h,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(trade_return_24h))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_2978693a972bc6,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,delta_8h,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(premium_close_bps,8))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_84ab6bfe2edb1e,S0_positioning_price_basis,L1_cross_sectional_relative_return,8,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,decay_24h,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(premium_close_bps,24))",split_consistency_repair_probe
core26ce_S0_positioning_price_basis_56873693af9391,S0_positioning_price_basis,L1_cross_sectional_relative_return,8,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,decay_72h,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(premium_close_bps,72))",split_consistency_repair_probe
