semantic_type,input_approval,field_count
basis_premium_like,approved_incremental_signal_input,2
basis_premium_like,approved_redundant_cluster_member_requires_cap,2
funding_like,blocked_low_coverage,4
liquidity_like,approved_incremental_signal_input,5
liquidity_like,approved_redundant_cluster_member_requires_cap,2
liquidity_like,blocked_low_cross_sectional_variation,2
positioning_like,approved_redundant_cluster_member_requires_cap,4
price_like,approved_redundant_cluster_member_requires_cap,6
price_like,approved_incremental_signal_input,2
state_or_taxonomy,approved_condition_or_neutralizer_only,4
volatility_like,approved_incremental_signal_input,3
