info_cluster_id,field_count,semantic_types,approved_signal_count,condition_only_count,blocked_count,fields
ic_000,6,price_like,0,0,0,index_close|mark_close|trade_close|trade_high|trade_low|trade_open
ic_001,3,state_or_taxonomy,0,3,0,history_length_hours|listing_age_days|sqrt_listing_age_days
ic_002,2,funding_like,0,0,2,age_x_funding_abs|funding_rate_abs_168h
ic_003,2,positioning_like,0,0,0,global_long_short_account_ratio_last|global_long_short_account_ratio_mean
ic_004,2,positioning_like,0,0,0,open_interest_last|open_interest_mean
ic_005,2,basis_premium_like,0,0,0,premium_close|premium_close_bps
ic_006,2,liquidity_like,0,0,0,taker_buy_quote_volume|trade_quote_volume
ic_008,1,volatility_like,1,0,0,age_x_volatility
ic_012,1,liquidity_like,1,0,0,kline_taker_buy_quote_share
ic_013,1,basis_premium_like,1,0,0,mark_index_basis_bps
ic_014,1,basis_premium_like,1,0,0,mark_trade_basis_bps
ic_015,1,volatility_like,1,0,0,realized_vol_168h
ic_016,1,volatility_like,1,0,0,realized_vol_24h
ic_018,1,liquidity_like,1,0,0,taker_buy_sell_volume_ratio_last
ic_019,1,liquidity_like,1,0,0,taker_buy_sell_volume_ratio_mean
ic_020,1,liquidity_like,1,0,0,trade_count
ic_021,1,price_like,1,0,0,trade_return_1h
ic_022,1,price_like,1,0,0,trade_return_24h
ic_023,1,liquidity_like,1,0,0,trade_volume
ic_007,1,state_or_taxonomy,0,1,0,age_percentile_active_universe
ic_009,1,funding_like,0,0,1,funding_rate
ic_010,1,funding_like,0,0,1,funding_rate_mean_168h
ic_011,1,liquidity_like,0,0,1,gap_hours_recent_168h
ic_017,1,liquidity_like,0,0,1,rolling_coverage_168h
