fold_id,n,min_effective_sample_rate,p05_effective_sample_rate,median_effective_sample_rate,share_below_60pct,pass
F0_validation_2025H1,4296,0.9774208566108007,0.9776536312849162,0.9888268156424581,0.0,True
F0_recent_2025H2_2026Apr,7248,0.9866169977924945,0.9867549668874173,0.9933774834437086,0.0,True
F1_high_realized_vol,3463,0.9719896043892579,0.972278371354317,0.9861391856771585,0.0,True
F2_low_liquidity,3463,0.9719896043892579,0.972278371354317,0.9861391856771585,0.0,True
F3_high_liquidity_high_vol,3341,0.9709667764142472,0.9712660879976055,0.9856330439988028,0.0,True
F4_basis_dislocation,3463,0.9719896043892579,0.972278371354317,0.9861391856771585,0.0,True
F5_funding_neutral,5775,0.9832034632034632,0.9833766233766233,0.9916883116883117,0.0,True
F6_cross_symbol_dispersion,3463,0.9719896043892579,0.972278371354317,0.9861391856771585,0.0,True
F7_trend_reversal,4178,0.9767831498324557,0.9770224988032551,0.9885112494016276,0.0,True
F8_low_vol_high_liquidity,478,0.797071129707113,0.799163179916318,0.899581589958159,0.0,True
F9_liquidity_shock,2886,0.9663894663894664,0.9667359667359667,0.9833679833679834,0.0,True
F10_volatility_compression,4041,0.9759960405840139,0.9762435040831478,0.9881217520415738,0.0,True
F11_cross_symbol_crowding,3463,0.9719896043892579,0.972278371354317,0.9861391856771585,0.0,True
