signal,allowed_for_elite,allowed_for_weight_update,notes
raw_validation_recent,True,True,Positive elite input from validation/recent only.
residual_vs_FundingCore_Core4_validation_recent,True,True,Positive/penalty input from non-May residual metrics.
cost20_validation_recent,True,True,Cost survival input.
lag1_validation_recent,True,True,Latency survival input.
activity_coverage,True,True,Static coverage/activity guard.
cluster_diversity,True,True,Diversity input when cluster proxy is available.
near_miss_label,True,True,Preferred positive search signal.
May_stress_result,False,False,Stress label/veto/failure attribution only.
May_residual_result,False,False,Stress label only.
May_severe_fail_margin,False,False,Forbidden for elite selection and weight updates.
