semantic_pair,queue_rows,materialized_rows,activity_ok_rows,label_response_rows,rank_label_clue_rows,selected_rows,non_l7_rows,activity_ok_rate_vs_queue,selected_rate_vs_rank_clue,non_l7_rate_vs_selected,rank_to_non_l7_loss_rows,selected_to_non_l7_loss_rows
basis_premium_like|price_like,282,282,230,4600,172,13,5,0.8156028368794326,0.0755813953488372,0.38461538461538464,167,8
basis_premium_like|volatility_like,213,213,167,3340,65,10,1,0.784037558685446,0.15384615384615385,0.1,64,9
basis_premium_like|basis_premium_like,200,200,132,2640,49,8,0,0.66,0.16326530612244897,0.0,49,8
price_like|volatility_like,51,51,43,860,28,3,0,0.8431372549019608,0.10714285714285714,0.0,28,3
volatility_like|volatility_like,26,26,22,440,11,4,0,0.8461538461538461,0.36363636363636365,0.0,11,4
price_like,3,3,3,60,9,3,0,1.0,0.3333333333333333,0.0,9,3
volatility_like,14,14,14,280,6,2,0,1.0,0.3333333333333333,0.0,6,2
basis_premium_like,38,38,36,720,1,1,0,0.9473684210526315,1.0,0.0,1,1
basis_premium_like|funding_like,360,360,0,0,0,0,0,0.0,,,0,0
funding_like|positioning_like,13,13,0,0,0,0,0,0.0,,,0,0
