label_family,label_horizon_h,decision,label_response_rows
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,147
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,146
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,144
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,139
L0_raw_forward_return,8,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,139
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,138
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,138
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,137
L0_raw_forward_return,4,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,136
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,136
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,133
L0_raw_forward_return,8,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,132
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,132
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,129
L0_raw_forward_return,24,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,129
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,128
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,128
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,128
L0_raw_forward_return,24,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,126
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,126
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,126
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,126
L0_raw_forward_return,24,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,125
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,125
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,125
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,124
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,123
