label_family,label_horizon_h,decision,label_response_rows
L0_raw_forward_return,8,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,123
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,123
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,123
L0_raw_forward_return,4,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,123
L0_raw_forward_return,4,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,123
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,123
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,122
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,121
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,120
L0_raw_forward_return,8,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,120
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,119
L0_raw_forward_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,119
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,119
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,119
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,118
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,118
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,117
L0_raw_forward_return,4,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,117
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,115
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,114
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,114
L0_raw_forward_return,24,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,111
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,111
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,111
L7_ranked_future_return,24,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,104
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,99
L7_ranked_future_return,24,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,92
L0_raw_forward_return,1,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,89
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,89
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,89
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,88
L0_raw_forward_return,1,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,88
L7_ranked_future_return,24,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,87
L0_raw_forward_return,1,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,84
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,84
L7_ranked_future_return,4,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,83
L7_ranked_future_return,24,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,82
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,81
L7_ranked_future_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,81
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,80
L7_ranked_future_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,77
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,77
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,77
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,76
L7_ranked_future_return,1,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,72
L7_ranked_future_return,4,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,72
L7_ranked_future_return,8,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,70
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,69
L7_ranked_future_return,8,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,69
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,69
L7_ranked_future_return,4,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,69
L7_ranked_future_return,1,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,68
L7_ranked_future_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,67
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,66
L7_ranked_future_return,8,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,66
L7_ranked_future_return,1,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,66
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,65
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,65
L0_raw_forward_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,63
L7_ranked_future_return,8,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,63
L0_raw_forward_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,62
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,62
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,62
L7_ranked_future_return,4,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,62
L7_ranked_future_return,4,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,62
L7_ranked_future_return,24,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,61
L7_ranked_future_return,4,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,60
L7_ranked_future_return,24,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,59
L7_ranked_future_return,24,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,55
L7_ranked_future_return,8,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,55
L7_ranked_future_return,8,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,55
L7_ranked_future_return,24,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,53
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,52
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,52
L0_raw_forward_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,52
L7_ranked_future_return,4,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,51
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,50
L7_ranked_future_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,46
L7_ranked_future_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,45
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,45
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,45
L0_raw_forward_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,44
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,44
L7_ranked_future_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,44
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,43
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,43
L7_ranked_future_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,42
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,42
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,40
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,39
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,39
L0_raw_forward_return,24,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,39
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,38
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,37
L0_raw_forward_return,4,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,37
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,36
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,36
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,35
L0_raw_forward_return,24,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,35
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,35
L7_ranked_future_return,1,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,34
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,34
L0_raw_forward_return,4,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,34
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,33
L0_raw_forward_return,24,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,33
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,33
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,33
L0_raw_forward_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,32
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,30
L7_ranked_future_return,1,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,30
L7_ranked_future_return,1,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,30
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,30
L0_raw_forward_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,30
L7_ranked_future_return,8,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,30
L7_ranked_future_return,4,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,30
L7_ranked_future_return,4,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,29
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,28
L7_ranked_future_return,8,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,28
L7_ranked_future_return,1,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,28
L0_raw_forward_return,4,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,27
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,27
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,26
L7_ranked_future_return,4,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,26
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,25
L0_raw_forward_return,24,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,25
L7_ranked_future_return,8,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,25
L7_ranked_future_return,4,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,23
L7_ranked_future_return,1,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,22
L7_ranked_future_return,1,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,22
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,22
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,21
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,21
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,21
L0_raw_forward_return,8,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,21
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,21
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,21
L7_ranked_future_return,1,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,20
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,20
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,19
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,19
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,18
L0_raw_forward_return,1,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,18
L0_raw_forward_return,4,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,18
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,18
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,18
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,18
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,17
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,17
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,17
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,16
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,16
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,16
L7_ranked_future_return,8,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,15
L0_raw_forward_return,8,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,15
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,15
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,15
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,15
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,14
L0_raw_forward_return,4,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,14
L7_ranked_future_return,24,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,14
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,14
L0_raw_forward_return,8,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,14
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,12
L0_raw_forward_return,24,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,12
L0_raw_forward_return,1,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,12
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,12
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,12
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,12
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,12
L7_ranked_future_return,8,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,12
L7_ranked_future_return,1,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,12
L7_ranked_future_return,24,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,11
L0_raw_forward_return,1,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,11
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,11
L0_raw_forward_return,24,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,11
L1_cross_sectional_relative_return,24,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,11
L3_liquidity_tier_relative_return,24,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,11
L7_ranked_future_return,4,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,11
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,10
L7_ranked_future_return,24,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,10
L7_ranked_future_return,4,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,10
L7_ranked_future_return,8,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,10
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,10
L0_raw_forward_return,1,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,10
L7_ranked_future_return,1,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,9
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,9
L0_raw_forward_return,8,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,9
L0_raw_forward_return,4,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,9
L1_cross_sectional_relative_return,8,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,9
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,8
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,8
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,8
L7_ranked_future_return,4,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,8
L7_ranked_future_return,24,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,8
L7_ranked_future_return,1,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,7
L7_ranked_future_return,1,HOLD_A7FFCORE59S02_ONE_BAR_LAG_FRAGILE,6
L7_ranked_future_return,1,A7FFCORE59S01_RANK_LABEL_DIAGNOSTIC_CLUE,6
L0_raw_forward_return,4,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,6
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,6
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,5
L7_ranked_future_return,24,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,5
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,5
L7_ranked_future_return,4,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,4
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,3
L7_ranked_future_return,24,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,3
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,3
L0_raw_forward_return,1,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,3
L0_raw_forward_return,1,HOLD_A7FFCORE59S02_ONE_BAR_LAG_FRAGILE,2
L7_ranked_future_return,8,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,2
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,2
L5_vol_adjusted_return,1,A7FFCORE59S05_NUMERIC_CLUE,2
L0_raw_forward_return,4,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,2
L7_ranked_future_return,4,A7FFCORE59S01_RANK_LABEL_DIAGNOSTIC_CLUE,2
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,2
L5_vol_adjusted_return,8,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,2
L7_ranked_future_return,24,A7FFCORE59S01_RANK_LABEL_DIAGNOSTIC_CLUE,2
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S02_ONE_BAR_LAG_FRAGILE,2
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S02_ONE_BAR_LAG_FRAGILE,2
L0_raw_forward_return,24,A7FFCORE59S05_NUMERIC_CLUE,1
L0_raw_forward_return,1,HOLD_A7FFCORE59S01_ONE_BAR_LAG_FRAGILE,1
L0_raw_forward_return,1,HOLD_A7FFCORE59S02_COST2_PROXY_FRAGILE,1
L7_ranked_future_return,8,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,1
L7_ranked_future_return,8,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,1
L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S01_ONE_BAR_LAG_FRAGILE,1
L1_cross_sectional_relative_return,1,A7FFCORE59S05_NUMERIC_CLUE,1
L3_liquidity_tier_relative_return,4,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,1
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_COST2_PROXY_FRAGILE,1
L3_liquidity_tier_relative_return,1,A7FFCORE59S05_NUMERIC_CLUE,1
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S01_ONE_BAR_LAG_FRAGILE,1
L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_ONE_BAR_LAG_FRAGILE,1
L1_cross_sectional_relative_return,4,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,1
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S01_ONE_BAR_LAG_FRAGILE,1
L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,1
L5_vol_adjusted_return,24,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,1
L0_raw_forward_return,4,A7FFCORE59S04_NUMERIC_CLUE,1
L5_vol_adjusted_return,4,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,1
L5_vol_adjusted_return,1,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,1
L7_ranked_future_return,1,HOLD_A7FFCORE59S01_ONE_BAR_LAG_FRAGILE,1
L7_ranked_future_return,4,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,1
L7_ranked_future_return,8,A7FFCORE59S01_RANK_LABEL_DIAGNOSTIC_CLUE,1
L7_ranked_future_return,24,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,1
