decision,label_family,count
A7FF8_NUMERIC_CLUE,L0_raw_forward_return,18
A7FF8_NUMERIC_CLUE,L1_cross_sectional_relative_return,19
A7FF8_NUMERIC_CLUE,L3_liquidity_tier_relative_return,16
A7FF8_NUMERIC_CLUE,L5_vol_adjusted_return,12
A7FF8_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,12
HOLD_A7FF8_CONTROL_DOMINATED,L0_raw_forward_return,58
HOLD_A7FF8_CONTROL_DOMINATED,L1_cross_sectional_relative_return,57
HOLD_A7FF8_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,45
HOLD_A7FF8_CONTROL_DOMINATED,L5_vol_adjusted_return,58
HOLD_A7FF8_CONTROL_DOMINATED,L7_ranked_future_return,39
HOLD_A7FF8_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,3
HOLD_A7FF8_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,6
HOLD_A7FF8_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,6
HOLD_A7FF8_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,6
HOLD_A7FF8_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,21
HOLD_A7FF8_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,36
HOLD_A7FF8_PRE_MAY_UNSTABLE,L0_raw_forward_return,174
HOLD_A7FF8_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,174
HOLD_A7FF8_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,186
HOLD_A7FF8_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,165
HOLD_A7FF8_PRE_MAY_UNSTABLE,L7_ranked_future_return,169
