field,in_core12,in_primary_additions,core12_dtype,primary_dtype
agg_trade_count_sum_24h,True,False,float64,
agg_trade_count_sum_4h,True,False,float64,
agg_underlying_trade_count,True,False,float64,
agg_universe_large_notional,True,False,float64,
agg_universe_notional,True,False,float64,
agg_universe_signed_notional,True,False,float64,
agg_volume_imbalance,True,False,float64,
agg_vwap,True,False,float64,
agg_vwap_close_bps,True,False,float64,
avg_trade_size_quote,True,True,Float64,float64
bar_close_timestamp,True,True,"datetime64[us, UTC]","datetime64[ms, UTC]"
bar_interval,True,True,object,object
checksum_status,True,False,object,
close,True,True,float64,float64
close_time_ms,True,True,Int64,Int64
cs_rank_latest_known_funding_rate,True,True,float64,float64
cs_rank_mark_index_ratio,True,True,float64,float64
cs_rank_premium_index,True,True,float64,float64
cs_rank_quote_asset_volume,True,True,float64,float64
cs_rank_realized_vol_12,True,True,float64,float64
cs_rank_ret_1,True,True,float64,float64
cs_rank_ret_12,True,True,float64,float64
cs_rank_ret_24,True,True,float64,float64
cs_rank_ret_3,True,True,float64,float64
cs_rank_ret_6,True,True,float64,float64
cs_rank_taker_imbalance,True,True,float64,float64
cs_z_latest_known_funding_rate,True,True,float64,float64
cs_z_mark_index_ratio,True,True,float64,float64
cs_z_premium_index,True,True,float64,float64
cs_z_quote_asset_volume,True,True,float64,float64
cs_z_realized_vol_12,True,True,float64,float64
cs_z_ret_1,True,True,float64,float64
cs_z_ret_12,True,True,float64,float64
cs_z_ret_24,True,True,float64,float64
cs_z_ret_3,True,True,float64,float64
cs_z_ret_6,True,True,float64,float64
cs_z_taker_imbalance,True,True,float64,float64
execution_time_min,True,False,"datetime64[us, UTC]",
feature_available_time,True,False,"datetime64[us, UTC]",
fundingTime_ms,True,True,Int64,int64
funding_datetime_utc,True,True,"datetime64[us, UTC]","datetime64[ms, UTC]"
funding_mark_price,True,True,float64,float64
funding_rate_persistence_3,True,True,float64,float64
funding_rate_sign,True,True,float64,float64
funding_rate_z_24,True,True,float64,float64
fwd_ret_1,True,True,float64,float64
fwd_ret_12,True,True,float64,float64
fwd_ret_24,True,True,float64,float64
fwd_ret_3,True,True,float64,float64
fwd_ret_6,True,True,float64,float64
global_long_short_account_ratio,True,True,float64,float64
global_long_short_account_ratio_change_1h,True,True,float64,float64
global_long_short_account_ratio_change_24h,True,True,float64,float64
global_long_short_account_ratio_change_4h,True,True,float64,float64
global_long_short_account_ratio_zscore_168h,True,True,float64,float64
high,True,True,float64,float64
historical_backfill_allowed,False,True,,bool
hl_range,True,True,float64,float64
index_close,True,True,float64,float64
index_high,True,True,float64,float64
index_low,True,True,float64,float64
index_open,True,True,float64,float64
interval,True,False,object,
latest_known_funding_rate,True,True,float64,float64
log_ret_1,True,True,float64,float64
low,True,True,float64,float64
mark_close,True,True,float64,float64
mark_high,True,True,float64,float64
mark_index_ratio,True,True,float64,float64
mark_low,True,True,float64,float64
mark_minus_index,True,True,float64,float64
mark_open,True,True,float64,float64
metrics_feature_available_time,True,False,"datetime64[us, UTC]",
metrics_features_available,True,False,bool,
metrics_historical_backfill_allowed,False,True,,object
metrics_pit_contract,False,True,,object
metrics_source,False,True,,object
metrics_vendor_warning_caveat,True,False,bool,
number_of_trades,True,True,Int64,int64
open,True,True,float64,float64
open_interest,True,True,float64,float64
open_interest_change_1h,True,True,float64,float64
open_interest_change_24h,True,True,float64,float64
open_interest_change_4h,True,True,float64,float64
open_interest_value,True,True,float64,float64
open_interest_value_change_1h,True,True,float64,float64
open_interest_value_change_24h,True,True,float64,float64
open_interest_value_change_4h,True,True,float64,float64
open_interest_value_zscore_168h,True,True,float64,float64
open_interest_x_price_move_1h,True,True,float64,float64
open_interest_x_taker_imbalance,True,True,float64,float64
open_interest_zscore_168h,True,True,float64,float64
open_time_ms,True,True,Int64,int64
positioning_historical_allowed,True,True,bool,bool
premium_close,True,True,float64,float64
premium_high,True,True,float64,float64
premium_index,True,True,float64,float64
premium_low,True,True,float64,float64
premium_open,True,True,float64,float64
quote_asset_volume,True,True,float64,float64
quote_volume_mean_12,True,True,float64,float64
quote_volume_mean_24,True,True,float64,float64
quote_volume_mean_6,True,True,float64,float64
realized_vol_12,True,True,float64,float64
realized_vol_24,True,True,float64,float64
realized_vol_6,True,True,float64,float64
ret_1,True,True,float64,float64
ret_12,True,True,float64,float64
ret_24,True,True,float64,float64
ret_3,True,True,float64,float64
ret_6,True,True,float64,float64
source_panel,False,True,,object
source_timestamp_unit,True,False,object,
spot_available,True,False,bool,
spot_close,True,False,float64,
spot_perp_basis,True,False,float64,
symbol,True,True,object,object
taker_buy_base_asset_volume,True,True,float64,float64
taker_buy_quote_asset_volume,True,True,float64,float64
taker_buy_ratio,True,True,float64,float64
taker_buy_sell_volume_ratio,True,True,float64,float64
taker_buy_sell_volume_ratio_change_1h,True,True,float64,float64
taker_buy_sell_volume_ratio_change_24h,True,True,float64,float64
taker_buy_sell_volume_ratio_change_4h,True,True,float64,float64
taker_buy_sell_volume_ratio_zscore_168h,True,True,float64,float64
taker_imbalance,True,True,float64,float64
timestamp,True,True,"datetime64[us, UTC]","datetime64[ms, UTC]"
top_long_short_account_ratio,True,True,float64,float64
top_long_short_account_ratio_change_1h,True,True,float64,float64
top_long_short_account_ratio_change_24h,True,True,float64,float64
top_long_short_account_ratio_change_4h,True,True,float64,float64
top_long_short_account_ratio_zscore_168h,True,True,float64,float64
top_long_short_position_ratio,True,True,float64,float64
top_long_short_position_ratio_change_1h,True,True,float64,float64
top_long_short_position_ratio_change_24h,True,True,float64,float64
top_long_short_position_ratio_change_4h,True,True,float64,float64
top_long_short_position_ratio_zscore_168h,True,True,float64,float64
unified_feature_schema,True,False,object,
volume,True,True,float64,float64
