field,in_core12,in_primary_additions,core12_dtype,primary_dtype
abs_ret_1,True,True,float64,float64
agg_avg_agg_trade_notional,True,False,float64,
agg_avg_trade_notional_24h,True,False,float64,
agg_avg_trade_notional_4h,True,False,float64,
agg_avg_underlying_trade_notional,True,False,float64,
agg_avg_underlying_trades_per_agg,True,False,float64,
agg_btcusdt_flow_imbalance_4h,True,False,float64,
agg_buy_agg_trade_count,True,False,float64,
agg_buy_notional,True,False,float64,
agg_buy_notional_share,True,False,float64,
agg_buy_quantity,True,False,float64,
agg_buy_sell_notional_ratio,True,False,float64,
agg_buy_sell_vwap_spread_bps,True,False,float64,
agg_buy_underlying_trade_count,True,False,float64,
agg_buy_vwap,True,False,float64,
agg_close_price,True,False,float64,
agg_close_to_open_bps,True,False,float64,
agg_close_to_open_bps_sum_24h,True,False,float64,
agg_close_to_open_bps_sum_4h,True,False,float64,
agg_cross_symbol_large_notional_share,True,False,float64,
agg_cross_symbol_notional_share,True,False,float64,
agg_cross_symbol_signed_flow_share,True,False,float64,
agg_ethusdt_flow_imbalance_4h,True,False,float64,
agg_feature_schema,True,False,object,
agg_features_available,True,False,bool,
agg_first_agg_trade_id,True,False,float64,
agg_first_transact_time_ms,True,False,float64,
agg_flow_accel_4h_vs_24h,True,False,float64,
agg_flow_imbalance_notional,True,False,float64,
agg_flow_imbalance_notional_24h,True,False,float64,
agg_flow_imbalance_notional_4h,True,False,float64,
agg_flow_imbalance_qty,True,False,float64,
agg_flow_minus_btcusdt_4h,True,False,float64,
agg_flow_minus_ethusdt_4h,True,False,float64,
agg_high_price,True,False,float64,
agg_large_count_share_100k_plus,True,False,float64,
agg_large_notional_100k_plus,True,False,float64,
agg_large_notional_ratio_100k_plus,True,False,float64,
agg_large_notional_share_100k_plus,True,False,float64,
agg_large_notional_share_24h,True,False,float64,
agg_large_notional_share_4h,True,False,float64,
agg_large_notional_sum_24h,True,False,float64,
agg_large_notional_sum_4h,True,False,float64,
agg_large_trade_count_100k_plus,True,False,float64,
agg_large_trade_count_ratio_100k_plus,True,False,float64,
agg_last_agg_trade_id,True,False,float64,
agg_last_transact_time_ms,True,False,float64,
agg_low_price,True,False,float64,
agg_max_trade_notional,True,False,float64,
agg_notional,True,False,float64,
agg_notional_100_1k,True,False,float64,
agg_notional_100k_1m,True,False,float64,
agg_notional_10k_100k,True,False,float64,
agg_notional_1k_10k,True,False,float64,
agg_notional_accel_4h_vs_24h,True,False,float64,
agg_notional_gt_1m,True,False,float64,
agg_notional_le_100,True,False,float64,
agg_notional_shock_24h_mad,True,False,float64,
agg_notional_sum_24h,True,False,float64,
agg_notional_sum_4h,True,False,float64,
agg_open_price,True,False,float64,
agg_price_range_bps,True,False,float64,
agg_price_range_bps_max_24h,True,False,float64,
agg_price_range_bps_max_4h,True,False,float64,
agg_price_std,True,False,float64,
agg_quantity,True,False,float64,
agg_quantity_sum_24h,True,False,float64,
agg_quantity_sum_4h,True,False,float64,
agg_sell_agg_trade_count,True,False,float64,
agg_sell_notional,True,False,float64,
agg_sell_notional_share,True,False,float64,
agg_sell_quantity,True,False,float64,
agg_sell_underlying_trade_count,True,False,float64,
agg_sell_vwap,True,False,float64,
agg_signed_aggressor_notional,True,False,float64,
agg_signed_aggressor_quantity,True,False,float64,
agg_signed_flow_z_24h,True,False,float64,
agg_signed_notional_sum_24h,True,False,float64,
agg_signed_notional_sum_4h,True,False,float64,
agg_signed_quantity_sum_24h,True,False,float64,
agg_signed_quantity_sum_4h,True,False,float64,
agg_trade_count,True,False,float64,
agg_trade_count_100_1k,True,False,float64,
agg_trade_count_100k_1m,True,False,float64,
agg_trade_count_10k_100k,True,False,float64,
agg_trade_count_1k_10k,True,False,float64,
agg_trade_count_gt_1m,True,False,float64,
agg_trade_count_le_100,True,False,float64,
