symbol,expected_days,ready_days,missing_or_hold_days,checksum_ok_days,coverage_by_date,row_coverage,timestamp_gap_count_5m,nan_count_raw_values,negative_count_raw_values
ADAUSDT,872,872,0,872,1.0,0.9994106778797146,11,125,0
AVAXUSDT,872,872,0,872,1.0,0.9994823521916412,11,125,0
BCHUSDT,872,872,0,872,1.0,0.9994823521916412,11,124,0
BNBUSDT,872,872,0,872,1.0,0.9994823521916412,11,126,0
BTCUSDT,872,872,0,872,1.0,0.9994823521916412,11,122,0
DOGEUSDT,872,872,0,872,1.0,0.9994823521916412,11,126,0
ETHUSDT,872,872,0,872,1.0,0.9994823521916412,11,128,0
LINKUSDT,872,872,0,872,1.0,0.9994823521916412,11,123,0
LTCUSDT,872,872,0,872,1.0,0.9994823521916412,11,120,0
SOLUSDT,872,872,0,872,1.0,0.9994823521916412,11,128,0
SUIUSDT,872,872,0,872,1.0,0.9994823521916412,11,126,0
XRPUSDT,872,872,0,872,1.0,0.9994823521916412,11,128,0
