column,dtype,non_null,example,field_family
collection_time,str,153,2026-05-22T09:44:32Z,time_contract
provider,str,153,binance,source_contract
dataset,str,153,current_open_interest,source_contract
symbol,str,153,BTCUSDT,source_contract
feature_group,str,153,open_interest,source_contract
raw_path,str,153,G:\AlphaFactory_CryptoData\raw\source_probes\cross_exchange_20260522_core12_probe2\binance__current_open_interest__BTCUS,source_trace
raw_sha256,str,153,5cf9bac310c222f4637fb6e9ac3ae93bb9caa01b1bd487954236e8b856e3ec7f,source_trace
source_url,str,153,https://fapi.binance.com/fapi/v1/openInterest?symbol=BTCUSDT,source_contract
history_depth,str,153,snapshot_only,source_contract
proof_role,str,153,forward_observation,source_contract
is_forward_only,bool,153,True,source_contract
is_historical_backfill,bool,153,False,source_contract
timezone,str,153,UTC,time_contract
event_time,str,153,2026-05-22T09:44:26.020000Z,time_contract
observable_time,str,153,2026-05-22T09:44:32Z,time_contract
open_interest,float64,48,100686.683,open_interest
best_bid,float64,36,77293.5,orderbook_depth
best_ask,float64,36,77293.6,orderbook_depth
mid,float64,36,77293.55,orderbook_depth
spread_bps,float64,36,0.012937690144367901,orderbook_depth
depth_bid_notional_5,float64,36,1380539.14,orderbook_depth
depth_ask_notional_5,float64,36,871639.9522,orderbook_depth
depth_imbalance_5,float64,36,0.225958579210009,orderbook_depth
depth_bid_notional_10,float64,36,1396615.9357,orderbook_depth
depth_ask_notional_10,float64,36,902557.8818,orderbook_depth
depth_imbalance_10,float64,36,0.21488503832964342,orderbook_depth
depth_bid_notional_20,float64,36,1438817.0182000005,orderbook_depth
depth_ask_notional_20,float64,36,932162.1451999999,orderbook_depth
depth_imbalance_20,float64,36,0.21369014153353166,orderbook_depth
depth_thinness_20,float64,36,4.2176667574167677e-07,orderbook_depth
mark_price,float64,24,77290.06939167,funding_basis_premium
index_price,float64,24,77325.54475,funding_basis_premium
last_funding_rate,float64,12,1.111e-05,funding_basis_premium
next_funding_time,str,36,2026-05-22T16:00:00Z,funding_basis_premium
basis,float64,9,-38.475,funding_basis_premium
basis_rate,float64,9,-0.0005,funding_basis_premium
open_interest_ccy,float64,12,32570.658600000228,open_interest
funding_rate,float64,48,5.69304999139e-05,funding_basis_premium
liquidation_buy_notional,float64,12,253984480.34099984,liquidation_recent
liquidation_sell_notional,float64,12,476691907.28799975,liquidation_recent
liquidation_count,float64,12,1140.0,liquidation_recent
large_liquidation_notional,float64,12,59946412.28,liquidation_recent
liquidation_imbalance,float64,12,-0.30479625552109596,liquidation_recent
open_interest_value,float64,12,4044967698.44,open_interest
