expression,horizon,control_mode,split,net10,active_hours
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,sign_flip,train_2024,5.752848223974937,8751
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,sign_flip,validation_2025H1,-1.816662459227807,4344
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,sign_flip,recent_oos_2025H2_2026Apr,-2.600899432591235,7294
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,sign_flip,fresh_may_2026,-0.6654537715037987,480
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,wrong_lag,train_2024,-4.813580087754357,8727
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,wrong_lag,validation_2025H1,-0.4212043833053598,4344
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,wrong_lag,recent_oos_2025H2_2026Apr,-0.1962033629255766,7292
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,wrong_lag,fresh_may_2026,0.2987887482994678,480
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,row_shuffle,train_2024,-5.638681244737664,8751
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,row_shuffle,validation_2025H1,-2.381950162190426,4344
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,row_shuffle,recent_oos_2025H2_2026Apr,-4.533067834366808,7294
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,row_shuffle,fresh_may_2026,-0.44424160753298103,480
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,time_shuffle,train_2024,-7.314268524300239,8739
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,time_shuffle,validation_2025H1,-1.7379819839260604,4342
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,time_shuffle,recent_oos_2025H2_2026Apr,-4.3892327761856045,7284
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),24,time_shuffle,fresh_may_2026,-0.4657583879614756,479
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,sign_flip,train_2024,9.200339286506743,8751
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,sign_flip,validation_2025H1,-2.4303405427942364,4344
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,sign_flip,recent_oos_2025H2_2026Apr,-3.0412684423592,7294
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,sign_flip,fresh_may_2026,-0.8042147525659564,456
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,wrong_lag,train_2024,-4.255854865276563,8727
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,wrong_lag,validation_2025H1,-0.6396649517026951,4344
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,wrong_lag,recent_oos_2025H2_2026Apr,-0.08778662939645399,7292
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,wrong_lag,fresh_may_2026,0.552824577939582,456
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,row_shuffle,train_2024,-6.024609602574845,8751
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,row_shuffle,validation_2025H1,-2.236411931331909,4344
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,row_shuffle,recent_oos_2025H2_2026Apr,-5.576913217796359,7294
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,row_shuffle,fresh_may_2026,-0.12154952369115661,456
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,time_shuffle,train_2024,-3.472485463966835,8743
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,time_shuffle,validation_2025H1,-3.11989429300458,4339
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,time_shuffle,recent_oos_2025H2_2026Apr,-7.451062257890694,7283
Neg(ZScore(global_long_short_account_ratio_zscore_168h)),48,time_shuffle,fresh_may_2026,-0.3907308600598562,456
