base_field,semantic_type,seed_route,transform_count,formula_count,materialization_count,company_wave_count
funding_rate,funding_like,modifier_only_seed,20,12000,1413,813
global_long_short_account_ratio_last,positioning_like,modifier_only_seed,20,4897,246,9
global_long_short_account_ratio_mean,positioning_like,modifier_only_seed,20,3301,167,4
index_close,basis_premium_like,modifier_only_seed,20,2601,585,477
mark_index_basis_bps,basis_premium_like,primary_signal_seed,39,2350,928,928
mark_close,basis_premium_like,modifier_only_seed,20,1949,415,323
premium_close_bps,basis_premium_like,exploratory_signal_seed,42,1540,829,829
mark_high,basis_premium_like,modifier_only_seed,20,1212,0,0
realized_vol_168h,volatility_like,exploratory_signal_seed,42,1102,322,322
realized_vol_24h,volatility_like,exploratory_signal_seed,42,1057,299,299
trade_return_1h,price_like,exploratory_signal_seed,34,1041,633,633
mark_low,basis_premium_like,modifier_only_seed,20,807,0,0
mark_trade_basis_bps,basis_premium_like,modifier_only_seed,20,737,0,0
premium_close,basis_premium_like,modifier_only_seed,20,475,0,0
index_count,basis_premium_like,modifier_only_seed,20,454,0,0
open_interest_value_last,positioning_like,modifier_only_seed,20,442,0,0
open_interest_last,positioning_like,modifier_only_seed,20,442,0,0
open_interest_mean,positioning_like,modifier_only_seed,20,442,0,0
index_high,basis_premium_like,modifier_only_seed,20,395,0,0
open_interest_value_mean,positioning_like,modifier_only_seed,20,338,0,0
index_low,basis_premium_like,modifier_only_seed,20,232,0,0
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,20,218,0,0
index_open,basis_premium_like,modifier_only_seed,20,210,0,0
mark_count,basis_premium_like,modifier_only_seed,20,210,0,0
mark_open,basis_premium_like,modifier_only_seed,17,190,0,0
premium_abs_168h,basis_premium_like,modifier_only_seed,7,164,0,0
premium_count,basis_premium_like,modifier_only_seed,7,144,0,0
premium_open,basis_premium_like,modifier_only_seed,7,140,0,0
premium_low,basis_premium_like,modifier_only_seed,7,140,0,0
premium_high,basis_premium_like,modifier_only_seed,7,140,0,0
age_x_volatility,volatility_like,modifier_only_seed,1,124,0,0
trade_high,volatility_like,modifier_only_seed,5,124,0,0
trade_low,volatility_like,modifier_only_seed,1,114,0,0
taker_buy_sell_volume_ratio_mean,positioning_like,modifier_only_seed,7,104,0,0
top_long_short_account_ratio_last,positioning_like,modifier_only_seed,7,104,0,0
top_long_short_account_ratio_mean,positioning_like,modifier_only_seed,7,104,0,0
trade_close,price_like,modifier_only_seed,7,102,0,0
top_long_short_position_ratio_last,positioning_like,modifier_only_seed,7,102,0,0
top_long_short_position_ratio_mean,positioning_like,modifier_only_seed,7,102,0,0
basis_abs_168h,basis_premium_like,modifier_only_seed,1,96,0,0
realized_vol_72h,volatility_like,modifier_only_seed,1,74,0,0
trade_return_24h,price_like,modifier_only_seed,1,66,0,0
metrics_n_5m,positioning_like,modifier_only_seed,1,65,0,0
open_interest_change_24h,positioning_like,modifier_only_seed,1,60,0,0
oi_x_price_move_24h,positioning_like,modifier_only_seed,1,60,0,0
age_x_liquidity,liquidity_like,modifier_only_seed,1,24,0,0
volume_volatility_ratio_168h,liquidity_like,modifier_only_seed,1,20,0,0
taker_buy_quote_volume,liquidity_like,modifier_only_seed,1,20,0,0
trade_count,liquidity_like,modifier_only_seed,1,20,0,0
trade_volume,liquidity_like,modifier_only_seed,1,20,0,0
trade_quote_volume,liquidity_like,modifier_only_seed,1,20,0,0
liquidity_rank_active_universe,liquidity_like,modifier_only_seed,1,14,0,0
log_quote_volume_168h,liquidity_like,modifier_only_seed,1,14,0,0
trade_count_168h,liquidity_like,modifier_only_seed,1,12,0,0
taker_buy_volume,liquidity_like,modifier_only_seed,1,12,0,0
median_quote_volume_168h,liquidity_like,modifier_only_seed,1,10,0,0
source_metrics,generic_numeric,modifier_only_seed,1,8,0,0
source_trade_klines,generic_numeric,modifier_only_seed,1,8,0,0
trade_open,generic_numeric,modifier_only_seed,1,8,0,0
sqrt_listing_age_days,state_or_taxonomy,modifier_only_seed,1,6,0,0
raw_latent_state_id,state_or_taxonomy,modifier_only_seed,1,6,0,0
rolling_coverage_168h,state_or_taxonomy,modifier_only_seed,1,6,0,0
