search_policy,motif,rows
uct_ast_tree,safe_div_abs,34
cem_ast_prior,safe_div_abs,27
map_elites_diversity,safe_div_abs,26
cem_ast_prior,safe_div_abs_gated,23
uct_ast_tree,safe_div_abs_gated,23
raw_ast_explore,smooth_mul,16
raw_ast_explore,additive_composite,14
cem_ast_prior,spread,12
raw_ast_explore,safe_div_abs,12
raw_ast_explore,spread,10
uct_ast_tree,spread,10
uct_ast_tree,additive_composite,8
cem_ast_prior,additive_composite,8
cem_ast_prior,smooth_mul,7
cem_ast_prior,additive_composite_gated,5
uct_ast_tree,smooth_mul,5
uct_ast_tree,spread_gated,4
cem_ast_prior,smooth_mul_gated,3
map_elites_diversity,spread,3
uct_ast_tree,smooth_mul_gated,2
cem_ast_prior,spread_gated,2
map_elites_diversity,smooth_mul,1
uct_ast_tree,additive_composite_gated,1
