blueprint_id,semantic_pair,motif,mutation_kind,field_count,fields,expression,unresolved_fields,contract_drift_fields,field_routes,gate_decision
a7ls28b_3d0d974a9c0b6f1e,basis_premium_like|positioning_like,signed_spread,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_last,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,504)),CSRank(Mean(top_long_short_account_ratio_last,48))),Sign(Mean(top_long_short_account_ratio_last,48)))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_last:base_schema,PASS
a7ls28b_bf7b2fcc958c9348,basis_premium_like|positioning_like,signed_spread,parent_identity,2,mark_trade_basis_bps;top_long_short_position_ratio_last,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,16)),CSRank(Abs(ZScore(Mean(top_long_short_position_ratio_last,8))))),Sign(Abs(ZScore(Mean(top_long_short_position_ratio_last,8)))))",,,mark_trade_basis_bps:base_schema;top_long_short_position_ratio_last:base_schema,PASS
a7ls28b_07ab9a25390d557c,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_trade_basis_bps;top_long_short_position_ratio_mean,"Sub(CSRank(TSRank(mark_trade_basis_bps,36)),CSRank(Abs(ZScore(Mean(top_long_short_position_ratio_mean,36)))))",,,mark_trade_basis_bps:base_schema;top_long_short_position_ratio_mean:base_schema,PASS
a7ls28b_f2bb2295ef66d04d,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,global_long_short_account_ratio_last;mark_trade_basis_bps,"SafeDiv(Delta(mark_trade_basis_bps,48),Abs(Delta(global_long_short_account_ratio_last,6)))",,,global_long_short_account_ratio_last:base_schema;mark_trade_basis_bps:base_schema,PASS
a7ls28b_db01d2418359bda2,basis_premium_like|positioning_like,signed_spread,parent_identity,2,global_long_short_account_ratio_last;mark_index_basis_bps,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,96)),CSRank(CSRank(global_long_short_account_ratio_last))),Sign(CSRank(global_long_short_account_ratio_last)))",,,global_long_short_account_ratio_last:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_aa3e52e5227f8834,basis_premium_like|positioning_like,safe_div_abs,parent_identity,2,mark_index_basis_bps;top_global_account_divergence,"SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(top_global_account_divergence)))",,top_global_account_divergence,mark_index_basis_bps:base_schema;top_global_account_divergence:derived_dep_generated,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_ba8dd8e950f90e92,basis_premium_like|positioning_like,signed_spread,parent_identity,2,global_long_short_account_ratio_last;mark_index_basis_bps,"Mul(Sub(CSRank(TSRank(mark_index_basis_bps,336)),CSRank(Mean(global_long_short_account_ratio_last,6))),Sign(Mean(global_long_short_account_ratio_last,6)))",,,global_long_short_account_ratio_last:base_schema;mark_index_basis_bps:base_schema,PASS
a7ls28b_2a97d58d325bdb47,basis_premium_like|positioning_like,spread_rank,parent_identity,2,account_position_divergence;mark_trade_basis_bps,"Sub(CSRank(Decay(mark_trade_basis_bps,2)),CSRank(ZScore(Mean(account_position_divergence,168))))",,account_position_divergence,account_position_divergence:derived_dep_generated;mark_trade_basis_bps:base_schema,HOLD_CONTRACT_DRIFT_BACKFILL_REQUIRED
a7ls28b_26b7e500c1108909,basis_premium_like|positioning_like,spread_rank,parent_identity,2,mark_index_basis_bps;top_long_short_account_ratio_mean,"Sub(CSRank(TSRank(mark_index_basis_bps,240)),CSRank(ZScore(Mean(top_long_short_account_ratio_mean,36))))",,,mark_index_basis_bps:base_schema;top_long_short_account_ratio_mean:base_schema,PASS
a7ls28b_9602b12497c3af69,basis_premium_like|positioning_like,signed_spread,parent_identity,2,global_long_short_account_ratio_mean;mark_index_basis_bps,"Mul(Sub(CSRank(Clip(ZScore(mark_index_basis_bps),-3,3)),CSRank(CSRank(global_long_short_account_ratio_mean))),Sign(CSRank(global_long_short_account_ratio_mean)))",,,global_long_short_account_ratio_mean:base_schema;mark_index_basis_bps:base_schema,PASS
