axis,raw_fields,quota_share_within_raw_arm,notes
price_like,trade_close;mark_close;index_close;trade_return_1h,0.12,No single price axis may dominate raw arm.
basis_premium_like,mark_index_basis_bps;premium_close_bps,0.14,"Allowed because strongest current evidence, but capped inside raw arm."
funding_state_like,funding_rate_state_last_ffill_8h;funding_event_age_hours,0.1,"Use repaired PIT state, not sparse raw funding_rate."
open_interest_like,open_interest_last;open_interest_mean;open_interest_value_last;open_interest_value_mean,0.12,Raw OI axis gets real quota despite weak prior.
positioning_like,global_long_short_account_ratio_last;top_long_short_account_ratio_last;top_long_short_position_ratio_last,0.1,Positioning axis included to test independent information.
taker_flow_like,taker_buy_sell_volume_ratio_last;taker_buy_sell_volume_ratio_mean;kline_taker_buy_quote_share,0.1,Flow proxy axis.
liquidity_like,quote_volume;trade_count;liquidity_rank_active_universe,0.1,"Must survive neutralization, not standalone liquidity beta."
volatility_like,realized_vol_24h;realized_vol_72h;realized_vol_168h,0.08,Mostly interaction/state axis.
listing_age_like,listing_age_days;age_x_liquidity;age_x_volatility,0.07,Allowed as lifecycle axis; not proof universe substitute.
regime_state,upper_regime_state;latent_state;liquidity_tier;major_meme_multiplier_tags,0.07,Conditioning and neutralization axis; direct signal use capped.
