candidate_id,label_family,horizon_h,orientation_from_train,premay_all_positive,one_bar_lag_ok,control_ratio_premay_max,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,decision
a7ab3_4092255ee6888704,L7_ranked_future_return,4,-1.0,True,True,0.7422230314641165,0.02836884763604387,0.020419269216842537,0.04474284864473412,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_ced6188c184ada50,L7_ranked_future_return,4,-1.0,True,True,0.981989858366847,0.027510006078005377,0.019876128310573147,0.04542161312849161,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_2af478d1ff284e21,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.024525849302014107,0.028914338973883482,0.036153688894040074,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_3edc6f38cc9be3f3,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.024525849302014107,0.028914338973883482,0.036153688894040074,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,1,-1.0,True,True,0.8825573169255974,0.020483133080925153,0.026549380569721323,0.03458668160510998,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,4,-1.0,True,True,0.9633075807159003,0.029077759673080895,0.04464594002172563,0.0598930044744465,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_da7270f10c2caee8,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.024525849302014107,0.028914338973883482,0.036153688894040074,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_d4939ee84cb32793,L7_ranked_future_return,1,-1.0,True,True,0.9751233547536498,0.019569602199556994,0.024678292252614226,0.0324775118477309,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_165c7d8966b27a17,L7_ranked_future_return,4,-1.0,True,True,0.6126478081923302,0.016866222454996894,0.037115436840471756,0.03815597196358369,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6eb23cd8ce4aeef1,L7_ranked_future_return,1,1.0,True,True,0.935474085143198,0.007163611368670476,0.022483886442074896,0.0249090493483748,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_f0f4c568b02b1b72,L7_ranked_future_return,1,-1.0,True,True,0.8774384826360727,0.008334299180961208,0.021892626719208778,0.02169559380312162,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0bc78809db3a1428,L7_ranked_future_return,4,-1.0,True,True,0.8282358214464629,0.017023426184564452,0.03065432314297538,0.0455930419770329,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_87c3ee594944936f,L7_ranked_future_return,1,1.0,True,True,0.7812134869928389,0.036545981613458144,0.023249615780474606,0.018825287247683807,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_12f53c28ae64a7c9,L7_ranked_future_return,1,-1.0,True,True,0.6488493375046525,0.01746117329121067,0.026032551479678565,0.014126090456605933,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_db425196e6b15b0a,L7_ranked_future_return,1,1.0,True,True,0.6614931767069742,0.018914556289599753,0.02306622670843812,0.015259223625335413,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0b7b3deaa9bdd1bc,L7_ranked_future_return,1,-1.0,True,True,0.7500914007120499,0.021314479109593856,0.031413969098144166,0.023799665421601272,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0b7b3deaa9bdd1bc,L1_cross_sectional_relative_return,1,-1.0,True,True,0.9586871305260203,0.00021312303718823167,0.0003257607532463148,0.0003300062996934585,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0b7b3deaa9bdd1bc,L0_raw_forward_return,1,-1.0,True,True,0.9586871305260204,0.0002131230371882316,0.00032576075324631474,0.0003300062996934585,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0caf6e64238a4009,L7_ranked_future_return,1,-1.0,True,True,0.7552204023352892,0.013867115284557044,0.017973411730474488,0.021949765386830754,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_259e51a3d817578c,L7_ranked_future_return,1,1.0,True,True,0.9299997775652289,0.0055083899963941675,0.016965435532890333,0.02532927355380415,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_3144de7015d18195,L7_ranked_future_return,1,1.0,True,True,0.9475570636449948,0.012993870087055066,0.014326981275433985,0.021793144413537323,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_3144de7015d18195,L1_cross_sectional_relative_return,1,1.0,True,True,0.8235712208413303,0.00024405432061545978,0.00027484766593706183,0.0005599470233174254,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_3144de7015d18195,L0_raw_forward_return,1,1.0,True,True,0.8235712208413308,0.00024405432061545978,0.0002748476659370617,0.0005599470233174253,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_7005b0d4aa2dce2e,L1_cross_sectional_relative_return,4,-1.0,True,True,0.574380660782599,0.00034948335848994117,0.0007051726328219718,0.0006939839120585747,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_7005b0d4aa2dce2e,L0_raw_forward_return,4,-1.0,True,True,0.5743806607825986,0.00034948335848994117,0.0007051726328219719,0.0006939839120585747,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_2ad4a9e8d3c38900,L7_ranked_future_return,4,1.0,True,True,0.9862537764350452,0.010166110593834059,0.006834927193254706,0.012039380948686116,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_7935162ab6cc52c9,L7_ranked_future_return,4,1.0,True,True,0.7776954504798147,0.017448313441679363,0.02668961495777138,0.025752520550006583,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_e142ac349de3313f,L7_ranked_future_return,1,1.0,True,True,0.9040588080861117,0.007664403363725339,0.016133679750682535,0.010213758177509916,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_fdd86cd8983e9d9b,L7_ranked_future_return,1,1.0,True,True,0.43889342387874786,0.021119948616906192,0.03715994114768454,0.02780530443517231,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_04daf24ce962db97,L7_ranked_future_return,1,-1.0,True,True,0.99973230580447,0.008425560806254477,0.014247972012662554,0.01628930560823815,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_e5d6e69d28752387,L7_ranked_future_return,1,1.0,True,True,0.8866761720462625,0.018704310651133493,0.026156553144448657,0.03710901829491015,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_5f3490d60d842a6e,L7_ranked_future_return,1,1.0,True,True,0.4439226250365132,0.024798942718796676,0.034552474501622625,0.025602849894400658,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6406fc0cf7ff3b35,L7_ranked_future_return,1,1.0,True,True,0.818843474644514,0.011976191955630053,0.020795290884549133,0.012710186028539959,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
