candidate_id,label_family,horizon_h,orientation_from_train,premay_all_positive,one_bar_lag_ok,control_ratio_premay_max,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,decision
a7ab3_fdd86cd8983e9d9b,L7_ranked_future_return,1,1.0,True,True,0.43889342387874786,0.021119948616906192,0.03715994114768454,0.02780530443517231,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_5f3490d60d842a6e,L7_ranked_future_return,1,1.0,True,True,0.4439226250365132,0.024798942718796676,0.034552474501622625,0.025602849894400658,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_7005b0d4aa2dce2e,L0_raw_forward_return,4,-1.0,True,True,0.5743806607825986,0.00034948335848994117,0.0007051726328219719,0.0006939839120585747,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_7005b0d4aa2dce2e,L1_cross_sectional_relative_return,4,-1.0,True,True,0.574380660782599,0.00034948335848994117,0.0007051726328219718,0.0006939839120585747,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_165c7d8966b27a17,L7_ranked_future_return,4,-1.0,True,True,0.6126478081923302,0.016866222454996894,0.037115436840471756,0.03815597196358369,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_12f53c28ae64a7c9,L7_ranked_future_return,1,-1.0,True,True,0.6488493375046525,0.01746117329121067,0.026032551479678565,0.014126090456605933,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_db425196e6b15b0a,L7_ranked_future_return,1,1.0,True,True,0.6614931767069742,0.018914556289599753,0.02306622670843812,0.015259223625335413,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_4092255ee6888704,L7_ranked_future_return,4,-1.0,True,True,0.7422230314641165,0.02836884763604387,0.020419269216842537,0.04474284864473412,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0b7b3deaa9bdd1bc,L7_ranked_future_return,1,-1.0,True,True,0.7500914007120499,0.021314479109593856,0.031413969098144166,0.023799665421601272,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_0caf6e64238a4009,L7_ranked_future_return,1,-1.0,True,True,0.7552204023352892,0.013867115284557044,0.017973411730474488,0.021949765386830754,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
