semantic_pair,count,share
basis_premium_like,5,0.10416666666666667
basis_premium_like|liquidity_like,5,0.10416666666666667
basis_premium_like|listing_age_like,4,0.08333333333333333
basis_premium_like|price_like,4,0.08333333333333333
open_interest_like|taker_flow_like,4,0.08333333333333333
taker_flow_like,4,0.08333333333333333
positioning_like|basis_premium_like,3,0.0625
volatility_like|liquidity_rank_active_universe|regime_state,2,0.041666666666666664
open_interest_like|positioning_like,2,0.041666666666666664
basis_premium_like|positioning_like,2,0.041666666666666664
basis_premium|positioning_flow|regime_state,1,0.020833333333333332
funding_state_like|liquidity_like,1,0.020833333333333332
funding_state_like|regime_state,1,0.020833333333333332
listing_age_like|basis_premium_like,1,0.020833333333333332
funding_state_like|open_interest_like,1,0.020833333333333332
listing_age_like|liquidity_like,1,0.020833333333333332
funding_state_like|positioning_like,1,0.020833333333333332
price_like,1,0.020833333333333332
positioning_like|taker_flow_like,1,0.020833333333333332
taker_flow_like|liquidity_like,1,0.020833333333333332
taker_flow_like|listing_age_like,1,0.020833333333333332
taker_flow_like|regime_state,1,0.020833333333333332
taker_flow_like|volatility_like,1,0.020833333333333332
