semantic_pair,count,share
basis_premium_like,12,0.0975609756097561
basis_premium_like|liquidity_like,12,0.0975609756097561
basis_premium_like|price_like,11,0.08943089430894309
basis_premium_like|positioning_like,9,0.07317073170731707
basis_premium_like|listing_age_like,7,0.056910569105691054
positioning_like|basis_premium_like,6,0.04878048780487805
price_like|positioning_like,5,0.04065040650406504
taker_flow_like,5,0.04065040650406504
open_interest_like|positioning_like,4,0.032520325203252036
regime_state|price_like,4,0.032520325203252036
open_interest_like|taker_flow_like,4,0.032520325203252036
price_like,3,0.024390243902439025
basis_premium_like|volatility_like,3,0.024390243902439025
taker_flow_like|listing_age_like,3,0.024390243902439025
positioning_like|taker_flow_like,2,0.016260162601626018
basis_premium_like|open_interest_like,2,0.016260162601626018
price_like|liquidity_like,2,0.016260162601626018
volatility_like|liquidity_rank_active_universe|regime_state,2,0.016260162601626018
funding_state_like|basis_premium_like,2,0.016260162601626018
listing_age_like|basis_premium_like,2,0.016260162601626018
basis_premium_like|taker_flow_like,1,0.008130081300813009
basis_premium_like|regime_state,1,0.008130081300813009
basis_premium_like|funding_state_like,1,0.008130081300813009
basis_premium|positioning_flow|regime_state,1,0.008130081300813009
liquidity_like,1,0.008130081300813009
funding_state_like|liquidity_like,1,0.008130081300813009
funding_state_like,1,0.008130081300813009
positioning_like|regime_state,1,0.008130081300813009
positioning_like|listing_age_like,1,0.008130081300813009
listing_age_like|liquidity_like,1,0.008130081300813009
positioning_like,1,0.008130081300813009
funding_state_like|open_interest_like,1,0.008130081300813009
funding_state_like|positioning_like,1,0.008130081300813009
funding_state_like|regime_state,1,0.008130081300813009
price_like|basis_premium_like,1,0.008130081300813009
price_like|regime_state,1,0.008130081300813009
price_like|open_interest_like,1,0.008130081300813009
price_like|listing_age_like,1,0.008130081300813009
price_like|funding_state_like,1,0.008130081300813009
taker_flow_like|liquidity_like,1,0.008130081300813009
price_like|taker_flow_like,1,0.008130081300813009
taker_flow_like|regime_state,1,0.008130081300813009
taker_flow_like|volatility_like,1,0.008130081300813009
