family,control_mode,control_count,research_like_count,research_like_rate
F0_low_turnover_price_basis,row_shuffle,42,0,0.0
F0_low_turnover_price_basis,sign_flip,42,0,0.0
F0_low_turnover_price_basis,time_shuffle,42,0,0.0
F0_low_turnover_price_basis,wrong_lag_stale_24h,42,0,0.0
F1_funding_residual_controls,row_shuffle,12,0,0.0
F1_funding_residual_controls,sign_flip,12,1,0.08333333333333333
F1_funding_residual_controls,time_shuffle,12,0,0.0
F1_funding_residual_controls,wrong_lag_stale_24h,12,4,0.3333333333333333
F2_metrics_crowding_oi_interaction,row_shuffle,74,0,0.0
F2_metrics_crowding_oi_interaction,sign_flip,74,0,0.0
F2_metrics_crowding_oi_interaction,time_shuffle,74,0,0.0
F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,74,19,0.25675675675675674
F3_cross_symbol_relative_strength,row_shuffle,12,0,0.0
F3_cross_symbol_relative_strength,sign_flip,12,0,0.0
F3_cross_symbol_relative_strength,time_shuffle,12,0,0.0
F3_cross_symbol_relative_strength,wrong_lag_stale_24h,12,5,0.4166666666666667
F4_volatility_liquidity_capped,row_shuffle,16,0,0.0
F4_volatility_liquidity_capped,sign_flip,16,7,0.4375
F4_volatility_liquidity_capped,time_shuffle,16,0,0.0
F4_volatility_liquidity_capped,wrong_lag_stale_24h,16,2,0.125
