shard,manifest_path,decision,blockers,missing_numeric_fields,input_blueprint_count,hours_per_split,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,generated_at
s000,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_manifest.json,PASS_A7LS6S000_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,56,1120,1,16,11,9,2026-06-05T12:07:08Z
s001,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_001\a7ls6_s001_manifest.json,HOLD_A7LS6S001_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,62,1240,0,24,14,9,2026-06-05T12:08:37Z
s002,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_002\a7ls6_s002_manifest.json,HOLD_A7LS6S002_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,,64,2160,40,800,0,2,1,1,2026-06-05T12:03:29Z
s003,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_003\a7ls6_s003_manifest.json,PASS_A7LS6S003_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,4,15,7,7,2026-06-05T12:08:57Z
s004,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_004\a7ls6_s004_manifest.json,PASS_A7LS6S004_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,1,16,7,6,2026-06-05T12:16:04Z
s005,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_005\a7ls6_s005_manifest.json,HOLD_A7LS6S005_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,,64,2160,46,920,6,6,3,3,2026-06-05T12:16:54Z
s006,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_006\a7ls6_s006_manifest.json,HOLD_A7LS6S006_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,,64,2160,46,920,1,1,2,2,2026-06-05T12:19:08Z
s007,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_007\a7ls6_s007_manifest.json,PASS_A7LS6S007_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,60,1200,2,7,5,5,2026-06-05T12:22:35Z
s008,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_008\a7ls6_s008_manifest.json,PASS_A7LS6S008_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,60,1200,6,48,15,13,2026-06-05T12:28:31Z
s009,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_009\a7ls6_s009_manifest.json,PASS_A7LS6S009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,62,1240,12,83,27,13,2026-06-05T12:29:45Z
s010,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_010\a7ls6_s010_manifest.json,PASS_A7LS6S010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,19,2160,19,380,7,12,7,6,2026-06-05T12:23:36Z
