field_name,missing_count,missing_rate,dtype
funding_x_basis,249108,0.3053475162352387,float64
premium_minus_funding_bps,244546,0.299755582740268,float64
funding_rate_zscore_168h,236201,0.2895265855864911,float64
funding_rate_change_9obs,212113,0.2600003922443486,float64
funding_rate_change_3obs,211879,0.2597135635644224,float64
funding_rate_change_1obs,211801,0.2596179540044471,float64
funding_rate,211762,0.2595701492244593,float64
funding_source,211762,0.2595701492244593,object
funding_mark_price,211762,0.2595701492244593,float64
funding_time,211762,0.2595701492244593,"datetime64[ns, UTC]"
hours_since_funding,211762,0.2595701492244593,float64
funding_rate_bps,211762,0.2595701492244593,float64
premium_index_return_24h,131933,0.1617186676440088,float64
premium_index_return_1h,131098,0.1606951550468364,float64
premium_index_range_bps,131061,0.1606498017940276,float64
mark_index_basis_zscore_168h,38943,0.0477349114630959,float64
index_price_return_24h,38297,0.0469430681843254,float64
mark_index_basis_change_24h,38297,0.0469430681843254,float64
mark_index_basis_change_4h,37537,0.0460114878563601,float64
index_price_return_1h,37423,0.0458717508071653,float64
mark_index_basis_change_1h,37423,0.0458717508071653,float64
index_price_source,37385,0.045825171790767,object
index_price_close,37385,0.045825171790767,float64
index_price_low,37385,0.045825171790767,float64
index_price_high,37385,0.045825171790767,float64
index_price_open,37385,0.045825171790767,float64
index_price_range_bps,37385,0.045825171790767,float64
mark_index_basis_bps,37385,0.045825171790767,float64
mark_index_basis,37385,0.045825171790767,float64
index_price_close_time,37385,0.045825171790767,"datetime64[ns, UTC]"
index_price_sample_count,37385,0.045825171790767,float64
premium_index_change_24h,33759,0.041380553015501,float64
premium_index_change_4h,32979,0.0404244574157471,float64
premium_index_change_1h,32862,0.040281043075784,float64
premium_index_open,32823,0.0402332382957963,float64
premium_index_sample_count,32823,0.0402332382957963,float64
premium_index_close_time,32823,0.0402332382957963,"datetime64[ns, UTC]"
premium_index_high,32823,0.0402332382957963,float64
premium_index_low,32823,0.0402332382957963,float64
premium_index_close,32823,0.0402332382957963,float64
premium_index_bps,32823,0.0402332382957963,float64
premium_index_source,32823,0.0402332382957963,object
mark_price_return_24h,21869,0.0268062239372016,float64
mark_price_return_1h,20995,0.0257349065600415,float64
mark_price_sample_count,20957,0.0256883275436433,float64
mark_price_source,20957,0.0256883275436433,object
mark_price_close_time,20957,0.0256883275436433,"datetime64[ns, UTC]"
mark_price_close,20957,0.0256883275436433,float64
mark_price_open,20957,0.0256883275436433,float64
mark_price_low,20957,0.0256883275436433,float64
mark_price_high,20957,0.0256883275436433,float64
mark_price_range_bps,20957,0.0256883275436433,float64
market_structure_historical_backfill_allowed,39,4.7804779987693335e-05,object
market_structure_source,39,4.7804779987693335e-05,object
market_structure_pit_contract,39,4.7804779987693335e-05,object
