semantic_pair,decision,count
basis_premium_like,A7FF27_NUMERIC_CLUE,7
basis_premium_like,A7FF27_RANK_LABEL_DIAGNOSTIC_CLUE,2
basis_premium_like,HOLD_A7FF27_CONTROL_DOMINATED,5
basis_premium_like,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,1
basis_premium_like,HOLD_A7FF27_PRE_MAY_UNSTABLE,5
basis_premium_like|basis_premium_like,A7FF27_NUMERIC_CLUE,12
basis_premium_like|basis_premium_like,A7FF27_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like|basis_premium_like,HOLD_A7FF27_CONTROL_DOMINATED,30
basis_premium_like|basis_premium_like,HOLD_A7FF27_COST2_PROXY_FRAGILE,3
basis_premium_like|basis_premium_like,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,12
basis_premium_like|basis_premium_like,HOLD_A7FF27_PRE_MAY_UNSTABLE,59
basis_premium_like|price_like,A7FF27_NUMERIC_CLUE,6
basis_premium_like|price_like,A7FF27_RANK_LABEL_DIAGNOSTIC_CLUE,1
basis_premium_like|price_like,HOLD_A7FF27_CONTROL_DOMINATED,3
basis_premium_like|price_like,HOLD_A7FF27_PRE_MAY_UNSTABLE,30
basis_premium_like|volatility_like,A7FF27_NUMERIC_CLUE,20
basis_premium_like|volatility_like,A7FF27_RANK_LABEL_DIAGNOSTIC_CLUE,5
basis_premium_like|volatility_like,HOLD_A7FF27_CONTROL_DOMINATED,13
basis_premium_like|volatility_like,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,4
basis_premium_like|volatility_like,HOLD_A7FF27_PRE_MAY_UNSTABLE,38
price_like|volatility_like,A7FF27_NUMERIC_CLUE,4
price_like|volatility_like,A7FF27_RANK_LABEL_DIAGNOSTIC_CLUE,2
price_like|volatility_like,HOLD_A7FF27_CONTROL_DOMINATED,7
price_like|volatility_like,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,3
price_like|volatility_like,HOLD_A7FF27_PRE_MAY_UNSTABLE,4
