label_family,decision,count
L0_raw_forward_return,HOLD_A7FF27_PRE_MAY_UNSTABLE,29
L0_raw_forward_return,HOLD_A7FF27_CONTROL_DOMINATED,14
L0_raw_forward_return,A7FF27_NUMERIC_CLUE,10
L0_raw_forward_return,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,2
L0_raw_forward_return,HOLD_A7FF27_COST2_PROXY_FRAGILE,1
L1_cross_sectional_relative_return,HOLD_A7FF27_PRE_MAY_UNSTABLE,29
L1_cross_sectional_relative_return,HOLD_A7FF27_CONTROL_DOMINATED,14
L1_cross_sectional_relative_return,A7FF27_NUMERIC_CLUE,11
L1_cross_sectional_relative_return,HOLD_A7FF27_COST2_PROXY_FRAGILE,1
L1_cross_sectional_relative_return,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,1
L3_liquidity_tier_relative_return,HOLD_A7FF27_PRE_MAY_UNSTABLE,29
L3_liquidity_tier_relative_return,HOLD_A7FF27_CONTROL_DOMINATED,14
L3_liquidity_tier_relative_return,A7FF27_NUMERIC_CLUE,9
L3_liquidity_tier_relative_return,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,3
L3_liquidity_tier_relative_return,HOLD_A7FF27_COST2_PROXY_FRAGILE,1
L5_vol_adjusted_return,HOLD_A7FF27_PRE_MAY_UNSTABLE,28
L5_vol_adjusted_return,A7FF27_NUMERIC_CLUE,19
L5_vol_adjusted_return,HOLD_A7FF27_CONTROL_DOMINATED,7
L5_vol_adjusted_return,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,2
L7_ranked_future_return,HOLD_A7FF27_PRE_MAY_UNSTABLE,21
L7_ranked_future_return,A7FF27_RANK_LABEL_DIAGNOSTIC_CLUE,14
L7_ranked_future_return,HOLD_A7FF27_ONE_BAR_LAG_FRAGILE,12
L7_ranked_future_return,HOLD_A7FF27_CONTROL_DOMINATED,9
