semantic_pair,motif,label_family,non_l7_rows
open_interest_like|positioning_like|regime_state,seed_gated_sign,L3_liquidity_tier_relative_return,575
basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,256
basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,239
basis_premium_like|positioning_like,spread_rank,L1_cross_sectional_relative_return,233
basis_premium_like|positioning_like,spread_rank,L0_raw_forward_return,230
basis_premium_like|positioning_like,spread_rank,L3_liquidity_tier_relative_return,218
open_interest_like|positioning_like|listing_age_like,seed_sub,L3_liquidity_tier_relative_return,210
basis_premium_like|positioning_like,signed_spread,L3_liquidity_tier_relative_return,173
basis_premium_like|positioning_like,signed_spread,L1_cross_sectional_relative_return,167
basis_premium_like|positioning_like,signed_spread,L0_raw_forward_return,165
basis_premium_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,145
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L0_raw_forward_return,104
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L1_cross_sectional_relative_return,104
basis_premium_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,93
basis_premium_like|positioning_like,safe_div_abs,L0_raw_forward_return,93
open_interest_like|positioning_like|listing_age_like,seed_sub,L1_cross_sectional_relative_return,83
open_interest_like|positioning_like,safe_div_abs,L1_cross_sectional_relative_return,80
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L0_raw_forward_return,79
open_interest_like|positioning_like|listing_age_like,seed_sub,L0_raw_forward_return,79
basis_premium_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,78
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L1_cross_sectional_relative_return,75
open_interest_like|positioning_like,safe_div_abs,L0_raw_forward_return,71
basis_premium_like|age_x_volatility|positioning_like,seed_mul,L3_liquidity_tier_relative_return,64
basis_premium_like|age_x_volatility|positioning_like,seed_sub,L3_liquidity_tier_relative_return,44
open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,41
open_interest_like|positioning_like,safe_div_abs,L3_liquidity_tier_relative_return,29
open_interest_like|positioning_like,smooth_mul,L1_cross_sectional_relative_return,23
open_interest_like|positioning_like,smooth_mul,L0_raw_forward_return,22
basis_premium_like|positioning_like,mean_reversion_gate,L5_vol_adjusted_return,18
basis_premium_like|positioning_like,mean_reversion_gate,L0_raw_forward_return,14
basis_premium_like|positioning_like,mean_reversion_gate,L3_liquidity_tier_relative_return,12
basis_premium_like|positioning_like,sub,L5_vol_adjusted_return,11
basis_premium_like|positioning_like,mean_reversion_gate,L1_cross_sectional_relative_return,7
open_interest_like|positioning_like,safe_div_abs,L5_vol_adjusted_return,5
open_interest_like|positioning_like,smooth_mul,L3_liquidity_tier_relative_return,3
open_interest_like|positioning_like|regime_state,seed_gated_sign,L1_cross_sectional_relative_return,3
open_interest_like|positioning_like|regime_state,seed_gated_sign,L0_raw_forward_return,1
