track,symbol,tier,priority,probe_score,included_in_primary_core48,included_in_secondary_liquid80_pool,required_before_experiment,historical_proof_status
baseline_core12_existing,BTCUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,ETHUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,SOLUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,BNBUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,XRPUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,DOGEUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,ADAUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,LINKUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,AVAXUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,LTCUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,BCHUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
baseline_core12_existing,SUIUSDT,core12_existing,P0_existing_control,,True,True,existing panel controls remain required,existing_core12_only
primary_core48_top36_addition,ALGOUSDT,core48_candidate,P0_backfill_contract,11.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,CELOUSDT,core48_candidate,P0_backfill_contract,11.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,ACHUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,APEUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,ARUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,ATOMUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,CHZUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,DASHUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
primary_core48_top36_addition,GMXUSDT,core48_candidate,P0_backfill_contract,10.0,True,True,raw checksum/source trace + listing policy + gold panel build,not_authorized_until_a7ac2_a7ac3_pass
