panel_id,lane_id,arm,proposal_id,rank,full_exact_identity
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:c7d8d96e82288f4d2062c5de,0,exact-signal:1e819720e80db536534d4f64
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:5b479e7b50b89cd555cefcdf,1,exact-signal:fcf900feb63925d26ecaa5f8
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:564632657d175b1cdf273611,2,exact-signal:0ed2157caa0b3ea8fab65338
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:73220a535a8baa7e316f7a5e,3,exact-signal:633c1d8510c7dbdf4c61056e
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:954c98bae64d5afa33c40ec8,4,exact-signal:40dec6fc63c687d991b8bcf3
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:e068f141086eb66f44e01eb7,5,exact-signal:12238732db25eaad8bd55d73
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:1bd4821b5f02f289cd17519b,6,exact-signal:8568ba5a68c07c4a705c3c36
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:8c7729db6b8028e3e991e9bd,7,exact-signal:9afb1f965f7b3ca2229ed5e4
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:ec7c3b278774d5b651e3ecd1,8,exact-signal:67ddf68961dadf73f831e41d
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:fd7aad2025b3506ffbdc21f3,9,exact-signal:7b30273e1b71ae2acb9d9090
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:aa281b4f866195626964e019,10,exact-signal:e019c26670016d3bf3b0c439
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:6df16de9dd59434cc8f81747,11,exact-signal:07c8c7c8e5af29d5a6deb9c0
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:9ab0648198d90fdf3e727609,12,exact-signal:c17de3b394d69996e1bf79c8
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:75129acb5cab0462812fc036,13,exact-signal:11be9e003a10d8fafd25ac25
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:63b02799aca5b6d84a778d34,14,exact-signal:161524d128cd13d3b1bd0b18
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:fccb7c72a3f63f65e3c5ed90,15,exact-signal:cb887e6bef79bf9bcbfdf3e6
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:f4f3768ef642f58ecc7555f2,16,exact-signal:5add503d3cea4f3b81ba5720
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:d67f7b7908545953123c5ee9,17,exact-signal:56aeed8c7adabc6544212f43
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:3d6eb065ea034710c053460f,18,exact-signal:ebba23d7040f07210701649b
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:6b928b49018f913bf7b75135,19,exact-signal:fd964514c23e377b9c877329
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:51651a525a7f6d6b438bda14,20,exact-signal:1cd3d7b9b16ff1c5aaaf8a3b
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:80821e65e2dcba3067986d89,21,exact-signal:44c33304d3c9343941c29616
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:959a94e660ce83da72e5c191,22,exact-signal:0a7ebd11553132ad57ab7660
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:264abbd2c722d1f155faf4ea,23,exact-signal:cddeeb02a2c68357fa709d59
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:a69e178c1c1fd0fef1d3521c,24,exact-signal:6d96125cb32317119c05f3da
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:a024df1fc2ed07dc2278e56a,25,exact-signal:cbdc624258038b7cc76282bd
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:06f9659ba55ed903ae1edc67,26,exact-signal:092c49fd966631fc6316a8f2
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:a57eb7559cc3032821e84716,27,exact-signal:5318df5613cd82d59c8eeda0
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:67c476490692ae1dbd752aeb,28,exact-signal:ad95a4de7b4b169ab1ae6685
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:1ed0e3509470278055dca0ff,29,exact-signal:c8a3e444053c2c8393e0e2f5
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:c63c2466534f50f38d0cbcec,30,exact-signal:9a4164e7860698eb9802b7f6
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:9c420f3cedf20e49f95a3821,31,exact-signal:441e7bc4cef49e93a1e89828
main,typed_random,STRATIFIED_ADMISSION,epoch-candidate:ea28850ec67ecb248e991432,32,exact-signal:fc9281058f783581892aa865
