repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,stage,algorithm,implementation_status,implementation_entrypoint,feedback_function,feedback_coordinate,cost_in_feedback,benchmark_increment_in_feedback,uncertainty_in_feedback,stability_in_feedback,learnable_parameters,nonlearnable_parameters,field_identity_learnable,target_horizon_learnable,lookback_window_learnable,portfolio_mapping_learnable,matched_control,objective_mismatch_classification,conclusion_scope,cannot_conclude,evidence_paths,closure_commit_sha,implementation_commit_sha,data_scope,budget,runtime_artifact
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,typed_random,NOT_IMPLEMENTED,,NONE,NONE,NO,NO,NO,NO,NONE,field identity;lookback window;target horizon;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO,NO_FIXED_RANK_WEIGHTS,NONE,NOT_APPLICABLE_NOT_IMPLEMENTED,No implementation recovered in the audited closure scope.,Does not prove absence outside the accepted closure or repository.,,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,typed_ast,IMPLEMENTED_DETERMINISTIC_TYPED_RECIPE_ENUMERATION,alphafactory_crypto/b1s_canary.py#generate_proposals,NONE_FOR_GENERATION;proxy_score_for_global_top_k,fixed recipe/ordinal;selector uses gross proxy,NO,NO,NO,NO,NONE,field identity;lookback window;target horizon;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO,NO_FIXED_RANK_WEIGHTS,NONE,GENERATOR_NONADAPTIVE_SELECTOR_PROXY_MISMATCH,Typed recipes are reachable; no adaptive learning is implemented for this lane.,Does not qualify typed AST search quality.,crypto-frontier-provenance-closure-20260714:alphafactory_crypto/b1s_canary.py#generate_proposals/global_top_k;git_blob=7e38a554b9a7870814efa48900c9a9eb150f8af0;sha256=40C210975F619A66EDEF61B2155DB823ED9BC78CD54415939139E885C86D2FA3,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,cem,IMPLEMENTED_LABEL_SHARED_POLICY,scripts/crypto_b1s_canary.py#run;alphafactory_crypto/b1s_canary.py#generate_proposals,proxy_score,subsampled development coordinates;gross rank-weight portfolio series,NO,NO,NO,NO,one preferred operator shared across algorithm labels,algorithm-specific policy state;field identity;window;coefficient;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO_FIXED_BY_ENUMERATION,NO_FIXED_RANK_WEIGHTS,"global_top_k and stratified admission compare selectors, not adaptive algorithm labels",CONFIRMED_PROXY_TO_STRICT_OBJECTIVE_MISMATCH_AND_ALGORITHM_LABEL_DEGENERACY,B1S adaptive labels do not identify separate CEM/UCT/evolutionary capabilities.,Cannot infer those algorithms are ineffective when independently implemented.,crypto-frontier-provenance-closure-20260714:scripts/crypto_b1s_canary.py#run;git_blob=9bf6e5619a0e4565c1d9f9efc60a92ead55d3c9f;sha256=B1F4AE590C3D7B1E47D95FF09325E3F14B6FD1B6CD68BB7CC5BE2004416F1EC3|crypto-frontier-provenance-closure-20260714:alphafactory_crypto/b1s_canary.py#proxy_score/strict_evaluate;git_blob=7e38a554b9a7870814efa48900c9a9eb150f8af0;sha256=40C210975F619A66EDEF61B2155DB823ED9BC78CD54415939139E885C86D2FA3,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,uct_mcts,IMPLEMENTED_LABEL_SHARED_POLICY,scripts/crypto_b1s_canary.py#run;alphafactory_crypto/b1s_canary.py#generate_proposals,proxy_score,subsampled development coordinates;gross rank-weight portfolio series,NO,NO,NO,NO,one preferred operator shared across algorithm labels,algorithm-specific policy state;field identity;window;coefficient;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO_FIXED_BY_ENUMERATION,NO_FIXED_RANK_WEIGHTS,"global_top_k and stratified admission compare selectors, not adaptive algorithm labels",CONFIRMED_PROXY_TO_STRICT_OBJECTIVE_MISMATCH_AND_ALGORITHM_LABEL_DEGENERACY,B1S adaptive labels do not identify separate CEM/UCT/evolutionary capabilities.,Cannot infer those algorithms are ineffective when independently implemented.,crypto-frontier-provenance-closure-20260714:scripts/crypto_b1s_canary.py#run;git_blob=9bf6e5619a0e4565c1d9f9efc60a92ead55d3c9f;sha256=B1F4AE590C3D7B1E47D95FF09325E3F14B6FD1B6CD68BB7CC5BE2004416F1EC3|crypto-frontier-provenance-closure-20260714:alphafactory_crypto/b1s_canary.py#proxy_score/strict_evaluate;git_blob=7e38a554b9a7870814efa48900c9a9eb150f8af0;sha256=40C210975F619A66EDEF61B2155DB823ED9BC78CD54415939139E885C86D2FA3,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,evolutionary,IMPLEMENTED_LABEL_SHARED_POLICY,scripts/crypto_b1s_canary.py#run;alphafactory_crypto/b1s_canary.py#generate_proposals,proxy_score,subsampled development coordinates;gross rank-weight portfolio series,NO,NO,NO,NO,one preferred operator shared across algorithm labels,algorithm-specific policy state;field identity;window;coefficient;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO_FIXED_BY_ENUMERATION,NO_FIXED_RANK_WEIGHTS,"global_top_k and stratified admission compare selectors, not adaptive algorithm labels",CONFIRMED_PROXY_TO_STRICT_OBJECTIVE_MISMATCH_AND_ALGORITHM_LABEL_DEGENERACY,B1S adaptive labels do not identify separate CEM/UCT/evolutionary capabilities.,Cannot infer those algorithms are ineffective when independently implemented.,crypto-frontier-provenance-closure-20260714:scripts/crypto_b1s_canary.py#run;git_blob=9bf6e5619a0e4565c1d9f9efc60a92ead55d3c9f;sha256=B1F4AE590C3D7B1E47D95FF09325E3F14B6FD1B6CD68BB7CC5BE2004416F1EC3|crypto-frontier-provenance-closure-20260714:alphafactory_crypto/b1s_canary.py#proxy_score/strict_evaluate;git_blob=7e38a554b9a7870814efa48900c9a9eb150f8af0;sha256=40C210975F619A66EDEF61B2155DB823ED9BC78CD54415939139E885C86D2FA3,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,surrogate,NOT_IMPLEMENTED,,NONE,NONE,NO,NO,NO,NO,NONE,field identity;lookback window;target horizon;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO,NO_FIXED_RANK_WEIGHTS,NONE,NOT_APPLICABLE_NOT_IMPLEMENTED,No implementation recovered in the audited closure scope.,Does not prove absence outside the accepted closure or repository.,,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,llm_repair,NOT_IMPLEMENTED,,NONE,NONE,NO,NO,NO,NO,NONE,field identity;lookback window;target horizon;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO,NO_FIXED_RANK_WEIGHTS,NONE,NOT_APPLICABLE_NOT_IMPLEMENTED,No implementation recovered in the audited closure scope.,Does not prove absence outside the accepted closure or repository.,,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_b1s_canary_001,SHA256:35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,B1S,rx_ucb,NOT_RECOVERED,NONE_NAMED_RX_UCB,NONE,NONE,NO,NO,NO,NO,NONE,field identity;lookback window;target horizon;portfolio mapping,NO,NO_FIXED_TARGET_LABEL,NO,NO_FIXED_RANK_WEIGHTS,NONE,NOT_RECOVERED,No named RX-UCB implementation was recovered in accepted-closure alphafactory_crypto/scripts/config/reports; ordinary UCT/UCB implementations are recorded separately.,Does not prove RX-UCB is absent outside this ref or under an unrecognized name.,static_search_scope=crypto-frontier-provenance-closure-20260714:alphafactory_crypto|scripts|config|reports;positive_UCB=crypto-frontier-provenance-closure-20260714:scripts/crypto_epoch2.py#select_local_mcts_action;git_blob=101daa457a2e7e2088fa1b10391d615245add1c6;sha256=A2B09D06C87EBC109F706442ECBCE59DA64E5B16C9683267AED94CB21450FEF4,4726795f61052470d56e2d1475e4f6da9d262943,39dbd40e6ce7bde3fbaba0067da6a5bfbae797f8,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,5120 proposals;64 adaptive feedback queries;635 logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/b1s_canary_20260711/b1s_canary_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_crypto_nextgen_search_epoch0_001,SHA256:68150BEACEBB4A92AA4C2C34A93D9E56F1538E2685BF683806FDBCB004B1E875,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,EPOCH0,typed_random,IMPLEMENTED_SAME_CANONICAL_SAMPLER,nextgen_epoch.make_program,NONE,deterministic hash choice by seed/ordinal/salt,NO,NO,NO,NO,NONE,all ProgramSpec slots;mapping,NO_RANDOM_SAMPLING_ONLY,NO_FIXED_TARGET_LABEL,NO_RANDOM_SAMPLING_ONLY,NO_FIXED_RANK_WEIGHTS,NONE,TYPED_RANDOM_VS_TYPED_AST_CANONICAL_COMPARISON_DEGENERATE,"Given equal seed/ordinal and family scope, lane labels do not enter _choice and canonical programs coincide.",Does not show typed grammars are useless; it shows this pair is not an independent algorithm comparison.,crypto-frontier-provenance-closure-20260714:alphafactory_crypto/nextgen_epoch.py#make_program/canonical_program;git_blob=00a045f71bdbbb61b53e8c9d1705da8fd02f1b2f;sha256=B376E5A9C3E7035F07DCBC7B67C3BFF70BC5B08357C2529817AD5F99633C5337,4726795f61052470d56e2d1475e4f6da9d262943,3b608e08f3e95af45a00ea1b24694c600a268f9c,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,32768 proposals;2048 adaptive feedback queries;1801 executed logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/nextgen_epoch0_20260711/epoch0_run_manifest.json
crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,20260711_crypto_nextgen_search_epoch0_001,SHA256:68150BEACEBB4A92AA4C2C34A93D9E56F1538E2685BF683806FDBCB004B1E875,HISTORICAL_SEARCH_INSTRUMENT_OBJECTIVE_QUALIFICATION,false,true,EPOCH0,typed_ast,IMPLEMENTED_SAME_CANONICAL_SAMPLER,nextgen_epoch.make_program,NONE,deterministic hash choice by seed/ordinal/salt,NO,NO,NO,NO,NONE,all ProgramSpec slots;mapping,NO_RANDOM_SAMPLING_ONLY,NO_FIXED_TARGET_LABEL,NO_RANDOM_SAMPLING_ONLY,NO_FIXED_RANK_WEIGHTS,NONE,TYPED_RANDOM_VS_TYPED_AST_CANONICAL_COMPARISON_DEGENERATE,"Given equal seed/ordinal and family scope, lane labels do not enter _choice and canonical programs coincide.",Does not show typed grammars are useless; it shows this pair is not an independent algorithm comparison.,crypto-frontier-provenance-closure-20260714:alphafactory_crypto/nextgen_epoch.py#make_program/canonical_program;git_blob=00a045f71bdbbb61b53e8c9d1705da8fd02f1b2f;sha256=B376E5A9C3E7035F07DCBC7B67C3BFF70BC5B08357C2529817AD5F99633C5337,4726795f61052470d56e2d1475e4f6da9d262943,3b608e08f3e95af45a00ea1b24694c600a268f9c,FROZEN_DEVELOPMENT_ONLY_EXISTING_ARTIFACT;NO_DATA_READ_BY_THIS_AUDIT,32768 proposals;2048 adaptive feedback queries;1801 executed logical strict evaluations,crypto-frontier-provenance-closure-20260714:runtime/nextgen_epoch0_20260711/epoch0_run_manifest.json
