source_row_ordinal,repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,field_name,field_family,base_classification,formula_provenance_status,formula_evidence,base_dependency_set,canonical_information_axis,axis_resolution_status,static_independence_status,unit_signature,window_family,nested_derivation_depth,algebraic_equivalence,monotonic_rank_equivalence_risk,scope_restrictions,generator_enabled,runtime_loaded,mapping_status,lineage_status,audit_notes
1,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_trade_count,activity_liquidity,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_trade_count,TRADE_ACTIVITY_COUNT,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,0,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
2,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_underlying_trade_count,activity_liquidity,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_underlying_trade_count,TRADE_AGGREGATION_MULTIPLICITY,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,0,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
3,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_quantity,activity_liquidity,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_quantity,EXECUTED_QUANTITY,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,BASE_ASSET_QUANTITY,1H_AGGREGATE,0,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
4,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_notional,activity_liquidity,RAW_OBSERVATION,CURRENT_BUILDER_SOURCE_COLUMN_DECLARATION,scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py:50-79,agg_notional,EXECUTED_NOTIONAL,RESOLVED_SOURCE_SEMANTICS_FORMULA_EXTERNAL,NOT_IDENTIFIABLE_STATICALLY,QUOTE_NOTIONAL,1H_AGGREGATE,0,NONE_PROVEN,NONE_PROVEN,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
5,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_buy_agg_trade_count,flow,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_buy_agg_trade_count,UNRESOLVED::agg_buy_agg_trade_count,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,CONDITIONAL_SIDE_MIRROR_CANDIDATE_FORMULA_UNRESOLVED_WITH::agg_sell_agg_trade_count,FORMULA_UNRESOLVED_NO_NUMERIC_OR_RANK_EQUIVALENCE_CLAIM,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
6,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_sell_agg_trade_count,flow,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_sell_agg_trade_count,UNRESOLVED::agg_sell_agg_trade_count,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,CONDITIONAL_SIDE_MIRROR_CANDIDATE_FORMULA_UNRESOLVED_WITH::agg_buy_agg_trade_count,FORMULA_UNRESOLVED_NO_NUMERIC_OR_RANK_EQUIVALENCE_CLAIM,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
7,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_buy_underlying_trade_count,flow,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_buy_underlying_trade_count,UNRESOLVED::agg_buy_underlying_trade_count,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,CONDITIONAL_SIDE_MIRROR_CANDIDATE_FORMULA_UNRESOLVED_WITH::agg_sell_underlying_trade_count,FORMULA_UNRESOLVED_NO_NUMERIC_OR_RANK_EQUIVALENCE_CLAIM,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
8,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_sell_underlying_trade_count,flow,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_sell_underlying_trade_count,UNRESOLVED::agg_sell_underlying_trade_count,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,COUNT,1H_AGGREGATE,-1,CONDITIONAL_SIDE_MIRROR_CANDIDATE_FORMULA_UNRESOLVED_WITH::agg_buy_underlying_trade_count,FORMULA_UNRESOLVED_NO_NUMERIC_OR_RANK_EQUIVALENCE_CLAIM,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
9,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_buy_quantity,flow,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_buy_quantity,UNRESOLVED::agg_buy_quantity,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,BASE_ASSET_QUANTITY,1H_AGGREGATE,-1,CONDITIONAL_SIDE_MIRROR_CANDIDATE_FORMULA_UNRESOLVED_WITH::agg_sell_quantity,FORMULA_UNRESOLVED_NO_NUMERIC_OR_RANK_EQUIVALENCE_CLAIM,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
10,main@09ac397c61b0b462497e9a8c0ea84981cc6a93f9,09ac397c61b0b462497e9a8c0ea84981cc6a93f9,NOT_APPLICABLE_STATIC_AUDIT,STATIC_HASHED_INVENTORY_NO_NUMERIC_DATA,STATIC_FEATURE_SPACE_QUALIFICATION,false,true,agg_sell_quantity,flow,FORMULA_PROVENANCE_UNRESOLVED,REGISTRY_ONLY_FORMULA_EXTERNAL,feature_lineage_ledger.csv:REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,UNRESOLVED::agg_sell_quantity,UNRESOLVED::agg_sell_quantity,UNRESOLVED_FORMULA_OR_SEMANTICS,NOT_IDENTIFIABLE_STATICALLY,BASE_ASSET_QUANTITY,1H_AGGREGATE,-1,CONDITIONAL_SIDE_MIRROR_CANDIDATE_FORMULA_UNRESOLVED_WITH::agg_buy_quantity,FORMULA_UNRESOLVED_NO_NUMERIC_OR_RANK_EQUIVALENCE_CLAIM,"STATIC_ONLY_NOT_CURRENT_RUNTIME_LOADED;core3_available_rows_only;symbol_scope=BTCUSDT,ETHUSDT,SOLUSDT;available_lag_bars=1",true,false,STATIC_ONLY,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL,"classification is structural only; no numeric values, returns, selectors, or performance artifacts were read"
